Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",137,NEW YORK,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",163,OLC/HDQ,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",37,PHILADELPHIA,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",124,PHOENIX,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",81,SAN FRANCISCO,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",49,ST. LOUIS,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",18,WFO,2396
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,ATLANTA,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,BIRMINGHAM,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",1,CHARLOTTE,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",25,CHICAGO,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",23,DALLAS,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,HOUSTON,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",1,INDIANAPOLIS,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,LOS ANGELES,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",15,MEMPHIS,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",5,MIAMI,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",55,NEW YORK,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",76,OLC/HDQ,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",5,PHILADELPHIA,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",62,PHOENIX,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",41,SAN FRANCISCO,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",9,ST. LOUIS,323
42 U.S.C.  Sec. 12117,Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",5,WFO,323
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,ATLANTA,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,BIRMINGHAM,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,CHARLOTTE,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",3,CHICAGO,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,DALLAS,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,HOUSTON,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,INDIANAPOLIS,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,LOS ANGELES,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,MEMPHIS,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,MIAMI,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",15,NEW YORK,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",1,OLC/HDQ,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,PHILADELPHIA,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",7,PHOENIX,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,SAN FRANCISCO,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,ST. LOUIS,26
42 U.S.C.  Sec. 2000ff (Section 2 of GINA),Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,WFO,26
