Agency,Average Number of Days to Adjudicate,Component,Median Number of Days to Adjudicate,Number Denied,Number Granted,Year
FEC,0.0,FEC,0.0,0.0,0.0,2008
FERC,6.0,FERC,6.0,6.0,0.0,2008
FFIEC,0.0,FFIEC,0.0,0.0,0.0,2008
FLRA,114.0,Authority,114.0,2.0,0.0,2008
FMC,0.0,FMC,0.0,0.0,0.0,2008
FMCS,0.0,FMCS,0.0,0.0,0.0,2008
FMSHRC,0.0,FMSHRC,0.0,0.0,0.0,2008
FOMC,0.0,FOMC,0.0,0.0,2.0,2008
FRB,16.0,FRB,13.0,0.0,13.0,2008
FTC,20.67,FTC,18.5,7.0,5.0,2008
GSA,0.0,GSA,0.0,0.0,0.0,2008
HHS,24.0,ACF,15.0,4.0,3.0,2008
HHS,0.0,AOA,0.0,0.0,0.0,2008
HHS,0.0,CMS,0.0,0.0,0.0,2008
HHS,7.7,OIG,9.0,8.0,1.0,2008
HHS,0.0,OPHS,0.0,0.0,0.0,2008
HHS,0.0,AHRQ,0.0,0.0,0.0,2008
HHS,229.5,CDC,330.0,1.0,54.0,2008
HHS,16.7,FDA,8.0,6.0,29.0,2008
HHS,0.0,HRSA,0.0,0.0,0.0,2008
HHS,20.0,IHS,10.0,0.0,2.0,2008
HHS,35.0,NIH,41.0,3.0,0.0,2008
HHS,0.0,SAMHSA,0.0,0.0,0.0,2008
HHS,0.0,OS,0.0,0.0,0.0,2008
HUD,,FO,,0.0,0.0,2008
HUD,,HQ,,0.0,0.0,2008
HUD,,IG,,0.0,0.0,2008
IAF,0.0,IAF,0.0,0.0,0.0,2008
IMLS,1.0,IMLS,1.0,0.0,4.0,2008
MSPB,1.0,MSPB,1.0,0.0,4.0,2008
NARA,5.0,NARA,5.0,151.0,1.0,2008
NASA,8.0,JSC,6.0,0.0,11.0,2008
NCUA,3.33,NCUA,2.0,3.0,0.0,2008
NEH,0.0,NEH,0.0,0.0,22.0,2008
NIGC,1.0,NIGC,1.0,0.0,3.0,2008
NMB,,NMB,,0.0,0.0,2008
NRPC,28.0,NRPC,13.0,2.0,1.0,2008
NSF,0.0,Foundation,0.0,0.0,0.0,2008
NSF,0.0,OIG,0.0,0.0,0.0,2008
OGE,,OGE,,0.0,0.0,2008
OMB,21.0,OMB,22.0,0.0,31.0,2008
ONDCP,0.0,OLC,0.0,0.0,0.0,2008
OPIC,0.0,OPIC,0.0,0.0,0.0,2008
OPM,0.0,OPM,0.0,0.0,0.0,2008
OSHRC,17.5,OSHRC,17.5,1.0,1.0,2008
OSTP,,OSTP,,0.0,0.0,2008
PC,17.0,FOIA Office,14.0,2.0,9.0,2008
PC,18.0,OIG,18.0,0.0,1.0,2008
PRC,,PRC,,0.0,0.0,2008
SBA,3.1,SBA,2.0,2.0,7.0,2008
SEC,0.0,HQ,0.0,0.0,0.0,2008
SSA,40.0,SSA,29.0,52.0,38.0,2008
SSS,0.0,SSS,0.0,0.0,0.0,2008
State,9.0,DoS,2.0,29.0,2.0,2008
State,0.0,OIG,0.0,0.0,0.0,2008
STB,3.5,STB,3.0,2.0,2.0,2008
Treasury,0.0,BEP,0.0,0.0,0.0,2008
Treasury,0.0,BPD,0.0,0.0,0.0,2008
Treasury,118.0,DO,59.0,87.0,1.0,2008
Treasury,0.0,FinCEN,0.0,0.0,0.0,2008
Treasury,14.0,FMS,8.0,14.0,0.0,2008
Treasury,2.0,IRS,1.0,32.0,2.0,2008
Treasury,0.0,MINT,0.0,0.0,0.0,2008
Treasury,0.0,OCC,0.0,0.0,0.0,2008
Treasury,0.0,OTS,0.0,0.0,0.0,2008
Treasury,53.0,TIGTA,53.0,1.0,0.0,2008
Treasury,0.0,TTB,0.0,0.0,0.0,2008
TVA,0.0,TVA,0.0,2.0,2.0,2008
U.S. CPSC,45.0,U.S. CPSC,12.0,12.0,1.0,2008
U.S. DOL,2.0,ADJ BDS,2.0,3.0,0.0,2008
U.S. DOL,1.0,ALJ,1.0,1.0,2.0,2008
U.S. DOL,0.0,ASP,0.0,0.0,0.0,2008
U.S. DOL,0.0,BLS,0.0,0.0,0.0,2008
U.S. DOL,0.0,CFO,0.0,0.0,0.0,2008
U.S. DOL,8.0,EBSA,8.0,0.0,1.0,2008
U.S. DOL,12.0,ESA,12.0,27.0,9.0,2008
U.S. DOL,0.0,ETA,0.0,20.0,9.0,2008
U.S. DOL,1.0,ILAB,1.0,2.0,2.0,2008
U.S. DOL,0.0,JOB CORP,0.0,0.0,0.0,2008
U.S. DOL,0.0,MSHA,0.0,0.0,0.0,2008
U.S. DOL,66.0,OASAM,33.0,1.0,3.0,2008
U.S. DOL,0.0,OCIA,0.0,0.0,0.0,2008
U.S. DOL,0.0,ODEP,0.0,0.0,0.0,2008
U.S. DOL,1.0,OIG,1.0,0.0,6.0,2008
U.S. DOL,0.0,OPA,0.0,0.0,0.0,2008
U.S. DOL,0.0,OSBP,0.0,0.0,0.0,2008
U.S. DOL,4.8,OSHA,8.0,23.0,118.0,2008
U.S. DOL,0.0,SOL,0.0,0.0,0.0,2008
U.S. DOL,4.3,VETS,4.0,0.0,13.0,2008
U.S. DOL,1.0,WB,1.0,4.0,0.0,2008
US RRB,0.0,OIG,0.0,0.0,0.0,2008
US RRB,7.0,RRB,7.0,0.0,1.0,2008
USIBWC,1.0,USIBWC,1.0,0.0,4.0,2008
USITC,11.75,USITC,10.0,0.0,4.0,2008
USNRC,3.0,USNRC,1.0,5.0,17.0,2008
VA,0.0,A&MM (049),0.0,0.0,0.0,2008
VA,,Admin (03),,0.0,0.0,2008
VA,0.0,BVA (01),0.0,0.0,0.0,2008
VA,,OC&LA (009),,0.0,0.0,2008
VA,0.0,OCFM (00CFM),0.0,0.0,0.0,2008
VA,,ODM&EEO (06),,0.0,0.0,2008
VA,0.0,GC (02),0.0,0.0,0.0,2008
VA,0.0,OHRM (05),0.0,0.0,0.0,2008
VA,0.0,IG (50),0.0,0.0,0.0,2008
VA,15.0,NCA (40),15.0,1.0,0.0,2008
VA,,OASHRA (006),,0.0,0.0,2008
VA,,OASP&IA (002),,0.0,0.0,2008
VA,,ODASB (041),,0.0,0.0,2008
VA,,ODASIA (075),,0.0,0.0,2008
VA,6.0,OF (047),6.0,0.0,1.0,2008
VA,12.0,OI&T (005),12.0,1.0,0.0,2008
VA,,MGMT (004),,0.0,0.0,2008
VA,0.0,ORM (08),0.0,0.0,0.0,2008
VA,,OSDBU (00SB),,0.0,0.0,2008
VA,0.0,P&P (008),0.0,0.0,0.0,2008
VA,,PA (80),,0.0,0.0,2008
VA,0.0,S&LE (07),0.0,0.0,0.0,2008
VA,0.0,SEC (00),0.0,0.0,0.0,2008
VA,1.0,VBA (20),1.0,1.0,3.0,2008
VA,,VCS (785),,0.0,0.0,2008
VA,0.0,VHA (10),0.0,3.0,26.0,2008
CEQ,10.0,CEQ,6.0,0.0,1.0,2009
CFTC,0.0,CFTC,0.0,0.0,0.0,2009
CIA,,CIA,,10.0,1.0,2009
CNCS,0.0,CNCS,0.0,0.0,0.0,2009
CO,0.0,CO,0.0,0.0,0.0,2009
CPPBSD,5.0,CPPBSD,4.5,2.0,2.0,2009
CSB,24.0,CSB,24.0,2.0,2.0,2009
DHS,3.0,CBP,3.0,1.0,0.0,2009
DHS,13.0,CRCL,13.0,0.0,1.0,2009
DHS,7.0,FEMA,7.0,2.0,0.0,2009
DHS,0.0,FLETC,0.0,0.0,0.0,2009
DHS,0.0,I&A,0.0,0.0,0.0,2009
DHS,57.21,ICE,50.0,9.0,24.0,2009
DHS,11.66,MGMT,1.0,0.0,3.0,2009
DHS,0.0,NPPD,0.0,0.0,0.0,2009
DHS,0.0,OGC,0.0,0.0,0.0,2009
DHS,9.0,OIG,9.0,2.0,0.0,2009
DHS,0.0,OPS,0.0,0.0,0.0,2009
DHS,0.0,PLCY,0.0,0.0,0.0,2009
DHS,6.06,PRIV,6.0,3.0,15.0,2009
DHS,0.0,S&T,0.0,0.0,0.0,2009
DHS,0.0,TSA,0.0,0.0,0.0,2009
DHS,0.0,US-VISIT,0.0,0.0,0.0,2009
DHS,338.0,USCG,338.0,2.0,0.0,2009
DHS,7.25,USCIS,5.0,7.0,0.0,2009
DHS,12.48,USSS,13.0,33.0,0.0,2009
DNFSB,0.0,OGC,0.0,0.0,0.0,2009
DNFSB,0.0,OGM,0.0,0.0,0.0,2009
DOC,1.0,BIS,1.0,0.0,2.0,2009
DOC,2.0,Census,2.0,2.0,5.0,2009
DOC,0.0,EDA,0.0,0.0,0.0,2009
DOC,0.0,ESA,0.0,0.0,0.0,2009
DOC,1.0,ITA,1.0,0.0,26.0,2009
DOC,0.0,MBDA,0.0,0.0,0.0,2009
DOC,7.0,NIST,5.0,5.0,0.0,2009
DOC,14.0,NOAA,15.0,6.0,29.0,2009
DOC,16.0,NTIA,21.0,1.0,1.0,2009
DOC,1.0,NTIS,1.0,0.0,3.0,2009
DOC,0.0,OIG,0.0,0.0,0.0,2009
DOC,10.0,OS,10.0,1.0,4.0,2009
DOC,5.0,PTO,4.0,9.0,0.0,2009
DoD,2.0,AF,1.0,202.0,87.0,2009
DoD,1.0,AFRICOM,1.0,0.0,1.0,2009
DoD,11.0,ARMY,0.0,113.0,814.0,2009
DoD,0.0,ASBCA,0.0,0.0,0.0,2009
DoD,0.0,CENTCOM,0.0,0.0,0.0,2009
DoD,16.0,DCAA,7.0,7.0,0.0,2009
DoD,6.0,DCMA,6.0,1.0,0.0,2009
DoD,10.0,DeCA,9.0,2.0,0.0,2009
DoD,0.0,DFAS,0.0,0.0,0.0,2009
DoD,0.0,DIA,0.0,0.0,0.0,2009
DoD,0.0,DISA,0.0,0.0,0.0,2009
DoD,2.0,DLA,1.0,3.0,18.0,2009
DoD,8.0,DoDEA,8.0,2.0,4.0,2009
DoD,0.0,DoDIG,0.0,0.0,0.0,2009
DoD,0.0,DSS,0.0,0.0,0.0,2009
DoD,0.0,DTIC,0.0,0.0,0.0,2009
DoD,1.0,DTRA,1.0,1.0,7.0,2009
DoD,183.0,EUCOM,174.0,0.0,3.0,2009
DoD,0.0,JFCOM,0.0,0.0,0.0,2009
DoD,6.0,NAVY,6.0,88.0,858.0,2009
DoD,0.0,NGA,0.0,0.0,0.0,2009
DoD,0.0,NGB,0.0,0.0,0.0,2009
DoD,0.0,NORTHCOM,0.0,0.0,0.0,2009
DoD,0.0,NRO,0.0,0.0,0.0,2009
DoD,35.0,NSA,13.0,26.0,6.0,2009
DoD,26.0,OSD/JS,0.0,26.0,58.0,2009
DoD,1.0,PACOM,1.0,1.0,0.0,2009
DoD,0.0,SOCOM,0.0,0.0,2.0,2009
DoD,0.0,SOUTHCOM,0.0,0.0,0.0,2009
DoD,0.0,STRATCOM,0.0,0.0,0.0,2009
DoD,0.0,TRANSCOM,0.0,0.0,0.0,2009
DoD,92.0,TRICARE,33.0,2.0,3.0,2009
DOE,3.0,BPA,4.0,1.0,2.0,2009
DOE,13.0,CBFO,13.0,0.0,2.0,2009
DOE,1.0,CH,1.0,0.0,3.0,2009
DOE,8.0,EMCBC,7.0,2.0,1.0,2009
DOE,5.0,GFO,5.0,0.0,1.0,2009
DOE,3.0,HQ,2.0,1.0,21.0,2009
DOE,0.0,ID,0.0,0.0,0.0,2009
DOE,0.0,NETL,0.0,0.0,0.0,2009
DOE,29.0,NNSA/AL,30.0,1.0,6.0,2009
DOE,0.0,NR,0.0,0.0,0.0,2009
DOE,1.0,ORO,1.0,0.0,4.0,2009
DOE,0.0,OSTI,0.0,0.0,0.0,2009
DOE,0.0,PNSO,0.0,0.0,0.0,2009
DOE,2.0,RL,5.0,14.0,6.0,2009
DOE,3.0,SEPA,3.0,0.0,2.0,2009
DOE,0.0,SPR,0.0,0.0,0.0,2009
DOE,0.0,SROO,0.0,0.0,0.0,2009
DOE,0.0,SWPA,0.0,0.0,0.0,2009
DOE,0.0,WAPA,0.0,0.0,0.0,2009
DOI,18.0,BIA,16.0,2.0,6.0,2009
DOI,12.0,BLM,1.0,3.0,135.0,2009
DOI,8.0,BOR,1.0,4.0,9.0,2009
DOI,9.0,FWS,1.0,1.0,266.0,2009
DOI,7.0,MMS,6.0,3.0,11.0,2009
DOI,5.0,NPS,2.0,0.0,58.0,2009
DOI,1.0,OIG,1.0,0.0,11.0,2009
DOI,13.0,OS,3.0,7.0,19.0,2009
DOI,3.0,OSM,1.0,0.0,6.0,2009
DOI,,SOL,,0.0,0.0,2009
DOI,8.0,USGS,8.0,0.0,1.0,2009
DOJ,,Office of the AG,,0.0,0.0,2009
DOJ,,Office of the DAG,,0.0,0.0,2009
DOJ,,Office of the Assoc. AG,,0.0,0.0,2009
DOJ,1.0,Antitrust,1.0,4.0,0.0,2009
DOJ,1.0,ATF,1.0,1.0,7.0,2009
DOJ,1.0,BOP,1.0,454.0,3.0,2009
DOJ,2.0,Civil,2.0,3.0,0.0,2009
DOJ,16.0,Civil Rights,16.0,1.0,0.0,2009
DOJ,,COPS,,0.0,0.0,2009
DOJ,,Criminal,,0.0,0.0,2009
DOJ,,CRS,,0.0,0.0,2009
DOJ,1.0,DEA,1.0,23.0,3.0,2009
DOJ,10.0,ENRD,10.0,2.0,0.0,2009
DOJ,3.0,EOIR,1.0,11.0,35.0,2009
DOJ,2.9,EOUSA,1.0,22.0,0.0,2009
DOJ,,EOUST,,0.0,0.0,2009
DOJ,103.0,FBI,36.0,351.0,86.0,2009
DOJ,,FCSC,,0.0,0.0,2009
DOJ,,JMD,,0.0,0.0,2009
DOJ,,NDIC,,0.0,0.0,2009
DOJ,13.2,NSD,15.0,7.0,3.0,2009
DOJ,,ODR,,0.0,0.0,2009
DOJ,,OFDT,,0.0,0.0,2009
DOJ,8.0,OIG,8.0,0.0,1.0,2009
DOJ,2.0,OIP,2.0,11.0,0.0,2009
DOJ,,OIPL,,0.0,0.0,2009
DOJ,,OJP,,0.0,0.0,2009
DOJ,,OLA,,0.0,0.0,2009
DOJ,,OLC,,0.0,0.0,2009
DOJ,,OLP,,0.0,0.0,2009
DOJ,,OPR,,0.0,0.0,2009
DOJ,,OSG,,0.0,0.0,2009
DOJ,,OVW,,0.0,0.0,2009
DOJ,,Pardon Attorney,,0.0,0.0,2009
DOJ,,Public Affairs,,0.0,0.0,2009
DOJ,,PRAO,,0.0,0.0,2009
DOJ,,TAX,,0.0,0.0,2009
DOJ,5.0,USMS,3.0,7.0,1.0,2009
DOJ,,USNCB,,0.0,0.0,2009
DOJ,,USPC,,0.0,0.0,2009
DOT,5.0,FAA,1.0,39.0,130.0,2009
DOT,5.0,FHWA,1.0,2.0,10.0,2009
DOT,1.0,FMCSA,1.0,1.0,2.0,2009
DOT,,FRA,,0.0,0.0,2009
DOT,,FTA,,0.0,0.0,2009
DOT,20.0,MARAD,18.0,2.0,10.0,2009
DOT,2.0,NHTSA,2.0,1.0,1.0,2009
DOT,,OIG,,0.0,0.0,2009
DOT,4.0,OST,2.0,0.0,1.0,2009
DOT,6.0,PHMSA,2.0,0.0,4.0,2009
DOT,1.0,RITA,1.0,0.0,2.0,2009
DOT,,SLSDC,,0.0,0.0,2009
ED,0.0,FSA,0.0,0.0,0.0,2009
ED,0.0,IES,0.0,0.0,0.0,2009
ED,0.0,IES-NAGB,0.0,0.0,0.0,2009
ED,0.0,OCFO,0.0,0.0,0.0,2009
ED,0.0,OCFO-CAM,0.0,0.0,0.0,2009
ED,0.0,OCFO-FSS,0.0,0.0,0.0,2009
ED,0.0,OCIO,0.0,0.0,0.0,2009
ED,0.0,OCO,0.0,0.0,0.0,2009
ED,0.0,OCR,0.0,0.0,0.0,2009
ED,47.0,OCR-Atlanta,47.0,2.0,0.0,2009
ED,25.0,OCR-Boston,31.0,3.0,0.0,2009
ED,0.0,OCR-Chicago,0.0,0.0,0.0,2009
ED,10.0,OCR-Cleveland,10.0,1.0,0.0,2009
ED,57.0,OCR-Dallas,42.0,3.0,0.0,2009
ED,7.0,OCR-Denver,7.0,3.0,0.0,2009
ED,4.0,OCR-Kansas City,4.0,1.0,0.0,2009
ED,3.0,OCR-Metro,3.0,1.0,0.0,2009
ED,5.0,OCR-New York,5.0,1.0,0.0,2009
ED,0.0,OCR-Philadelphia,0.0,0.0,0.0,2009
ED,5.0,OCR-San Francisco,5.0,2.0,0.0,2009
ED,0.0,OCR-Seattle,0.0,0.0,0.0,2009
ED,0.0,OELA,0.0,0.0,0.0,2009
ED,0.0,OESE,0.0,0.0,0.0,2009
ED,0.0,OGC,0.0,0.0,0.0,2009
ED,0.0,OIG,0.0,0.0,0.0,2009
ED,0.0,OII,0.0,0.0,0.0,2009
ED,0.0,OLCA,0.0,0.0,0.0,2009
ED,0.0,OM,0.0,0.0,0.0,2009
ED,9.0,OM-RIMS,5.0,143.0,29.0,2009
