10th,2nd,3rd,4th,5th,6th,7th,8th,9th,Agency,Component,Oldest Request,Unnamed: 1,Year
1964,3321,3320,3055,2923,2904,2824,2218,2213,DoD,STRATCOM,3447,Number of Days Pending,2008
1999-12-01,1995-06-29,1995-06-30,1996-07-22,1997-01-31,1997-02-28,1997-06-23,1998-11-24,1999-11-23,DoD,TRICARE,1994-12-29,Date of Receipt,2008
2213,3321,3320,3055,2923,2904,2824,2468,2218,DoD,TRICARE,3447,Number of Days Pending,2008
2004-07-20,2001-01-25,2001-01-26,2001-06-14,2001-08-29,2001-09-07,2003-06-13,2003-09-16,2004-07-20,DOE,HQ,1998-06-11,Date of Receipt,2008
1534,2806,2805,2666,2590,2581,1937,1842,1534,DOE,HQ,3765,Number of Days Pending,2008
,2008-01-11,2008-01-11,2008-02-06,2008-05-16,,,,,DOE,NNSA/AL,2007-08-30,Date of Receipt,2008
,183,183,166,95,,,,,DOE,NNSA/AL,273,Number of Days Pending,2008
,,,,,,,,,DOJ,Office of the AG,2008-03-31,Date of Receipt,2008
,,,,,,,,,DOJ,Office of the AG,128,Number of Days Pending,2008
,,,,,,,,,DOJ,Office of the DAG,2008-01-28,Date of Receipt,2008
,,,,,,,,,DOJ,Office of the DAG,172,Number of Days Pending,2008
,,,,,,,,,DOJ,ATF,2008-04-04,Date of Receipt,2008
,,,,,,,,,DOJ,ATF,144,Number of Days Pending,2008
2007-05-14,2003-02-21,2005-05-16,2005-09-27,2006-01-11,2006-05-02,2006-05-25,2006-10-12,2007-02-15,DOJ,Criminal,2001-09-28,Date of Receipt,2008
505,2048,1233,1099,993,882,859,719,593,DOJ,Criminal,2559,Number of Days Pending,2008
2007-06-13,2006-11-07,2006-11-09,2007-01-25,2007-03-07,2007-03-20,2007-03-22,2007-04-04,2007-06-06,DOJ,DEA,2006-05-02,Date of Receipt,2008
511,729,727,650,609,596,594,581,518,DOJ,DEA,918,Number of Days Pending,2008
,2008-04-01,2008-06-11,2008-07-07,2008-07-15,2008-09-23,,,,DOJ,EOUSA,2008-02-19,Date of Receipt,2008
,182,111,85,77,7,,,,DOJ,EOUSA,224,Number of Days Pending,2008
2008-03-07,2007-11-29,2007-12-04,2008-01-07,2008-01-29,2008-01-30,2008-02-26,2008-02-29,2008-03-07,DOJ,FBI,2007-10-09,Date of Receipt,2008
207,306,301,267,245,244,217,214,207,DOJ,FBI,357,Number of Days Pending,2008
,2008-09-18,,,,,,,,DOJ,NSD,2008-08-28,Date of Receipt,2008
,8,,,,,,,,DOJ,NSD,21,Number of Days Pending,2008
,,,,,,,,,DOJ,OJP,2007-12-31,Date of Receipt,2008
,,,,,,,,,DOJ,OJP,221,Number of Days Pending,2008
,,,,,,,,,DOT,OST,2007-08-28,Date of Receipt,2008
,,,,,,,,,DOT,OST,272,Number of Days Pending,2008
2008-09-16,2006-12-13,2006-12-20,2007-02-27,2007-08-28,2008-05-20,2008-05-20,2008-05-20,2008-08-15,EPA,HQ,2006-01-30,Date of Receipt,2008
10,452,447,400,274,92,92,92,32,EPA,HQ,670,Number of Days Pending,2008
,,,,,,,,,NRPC,NRPC,2008-04-01,Date of Receipt,2008
,,,,,,,,,NRPC,NRPC,182,Number of Days Pending,2008
,,,,,,,,,OPM,OPM,2008-09-04,Date of Receipt,2008
,,,,,,,,,OPM,OPM,27,Number of Days Pending,2008
2005-03-22,2003-07-11,2004-03-17,2004-04-06,2004-04-21,2004-08-13,2004-08-13,2004-08-13,2005-02-10,State,DoS,2003-05-16,Date of Receipt,2008
887,1308,1141,1127,1116,1036,1036,1036,914,State,DoS,1346,Number of Days Pending,2008
,2008-05-19,2008-05-30,2008-06-05,2008-08-06,2008-09-11,,,,Treasury,DO,2008-02-28,Date of Receipt,2008
,85,80,75,35,20,,,,Treasury,DO,125,Number of Days Pending,2008
,,,,,,,,,Treasury,FMS,2008-09-30,Date of Receipt,2008
,,,,,,,,,Treasury,FMS,1,Number of Days Pending,2008
,,,,,,,,,Treasury,TIGTA,2008-09-25,Date of Receipt,2008
,,,,,,,,,Treasury,TIGTA,3,Number of Days Pending,2008
2006-02-13,2003-11-24,2004-06-03,2004-08-03,2005-02-11,2005-03-24,2005-07-01,2005-07-14,2005-09-19,CIA,CIA,2001-07-27,Date of Receipt,2009
1326,2138,1946,1885,1693,1652,1553,1540,1473,CIA,CIA,2987,Number of Days Pending,2009
,2009-03-03,,,,,,,,DHS,CRCL,2008-08-08,Date of Receipt,2009
,149,,,,,,,,DHS,CRCL,287,Number of Days Pending,2009
2009-08-06,2008-04-23,2008-07-28,2008-09-19,2008-09-19,2008-11-25,2009-04-29,2009-06-22,2009-07-13,DHS,FEMA,2007-10-30,Date of Receipt,2009
39,362,296,258,258,213,108,71,57,DHS,FEMA,482,Number of Days Pending,2009
2009-09-23,2009-04-14,2009-04-14,2009-04-15,2009-04-28,2009-04-28,2009-05-01,2009-06-04,2009-06-25,DHS,I&A,2009-04-07,Date of Receipt,2009
6,119,119,118,109,109,106,83,68,DHS,I&A,124,Number of Days Pending,2009
,2009-09-23,2009-09-29,2009-09-30,,,,,,DHS,MGMT,2009-08-31,Date of Receipt,2009
,6,2,1,,,,,,DHS,MGMT,22,Number of Days Pending,2009
,2009-07-23,,,,,,,,DHS,NPPD,2009-03-31,Date of Receipt,2009
,49,,,,,,,,DHS,NPPD,129,Number of Days Pending,2009
,2009-04-16,2009-04-22,,,,,,,DHS,OGC,2009-03-26,Date of Receipt,2009
,117,113,,,,,,,DHS,OGC,132,Number of Days Pending,2009
,,,,,,,,,DHS,PLCY,2009-07-30,Date of Receipt,2009
,,,,,,,,,DHS,PLCY,44,Number of Days Pending,2009
,,,,,,,,,DHS,PRIV,2009-08-24,Date of Receipt,2009
,,,,,,,,,DHS,PRIV,27,Number of Days Pending,2009
,,,,,,,,,DHS,S&T,2009-05-09,Date of Receipt,2009
,,,,,,,,,DHS,S&T,100,Number of Days Pending,2009
,2008-04-10,2009-06-04,2009-09-14,2009-09-17,,,,,DHS,TSA,2007-10-18,Date of Receipt,2009
,371,83,13,10,,,,,DHS,TSA,489,Number of Days Pending,2009
,,,,,,,,,DHS,US-VISIT,2009-07-30,Date of Receipt,2009
,,,,,,,,,DHS,US-VISIT,44,Number of Days Pending,2009
,2008-12-16,2009-05-22,2009-07-28,,,,,,DHS,USCG,2008-12-11,Date of Receipt,2009
,199,91,46,,,,,,DHS,USCG,202,Number of Days Pending,2009
2009-08-06,2008-07-21,2008-08-20,2008-08-20,2009-03-19,2009-04-02,2009-06-03,2009-06-04,2009-08-06,DHS,USCIS,2007-11-27,Date of Receipt,2009
39,301,279,279,137,127,84,83,39,DHS,USCIS,464,Number of Days Pending,2009
,2009-07-28,,,,,,,,DOC,BIS,2009-06-05,Date of Receipt,2009
,45,,,,,,,,DOC,BIS,81,Number of Days Pending,2009
2009-09-17,2009-06-26,2009-07-01,2009-08-04,2009-08-11,2009-08-24,2009-08-28,2009-09-15,2009-09-17,DOC,ITA,2009-02-26,Date of Receipt,2009
10,67,64,41,36,27,23,12,10,DOC,ITA,152,Number of Days Pending,2009
2007-08-21,2006-07-27,2006-11-21,2007-02-15,2007-04-02,2007-04-11,2007-06-11,2007-06-11,2007-07-18,DoD,AF,2005-06-22,Date of Receipt,2009
530,798,718,660,629,622,580,580,554,DoD,AF,1073,Number of Days Pending,2009
2008-05-12,2003-06-23,2003-09-19,2004-01-29,2004-08-16,2007-10-19,2007-11-24,2008-01-16,2008-01-16,DoD,ARMY,2002-02-08,Date of Receipt,2009
350,1576,1514,1426,1287,489,466,430,430,DoD,ARMY,1920,Number of Days Pending,2009
2008-12-16,2008-07-30,2008-08-07,2008-10-27,2008-11-18,2008-11-20,2008-11-25,2008-12-02,2008-12-11,DoD,CENTCOM,2008-07-30,Date of Receipt,2009
200,295,289,234,219,217,214,210,203,DoD,CENTCOM,295,Number of Days Pending,2009
2004-05-14,2002-01-24,2002-03-12,2002-04-13,2002-09-27,2002-12-10,2003-09-25,2004-03-15,2004-04-01,DoD,DIA,2001-12-17,Date of Receipt,2009
1344,1923,1891,1867,1751,1702,1502,1388,1375,DoD,DIA,1947,Number of Days Pending,2009
,2009-04-13,2009-05-05,2009-09-30,2009-09-30,,,,,DoD,DISA,2009-02-19,Date of Receipt,2009
,170,148,39,39,,,,,DoD,DISA,223,Number of Days Pending,2009
,2009-03-09,,,,,,,,DoD,DoDIG,2008-08-20,Date of Receipt,2009
,144,,,,,,,,DoD,DoDIG,277,Number of Days Pending,2009
,2009-08-20,,,,,,,,DoD,DTRA,2009-07-07,Date of Receipt,2009
,28,,,,,,,,DoD,DTRA,60,Number of Days Pending,2009
2009-06-12,2008-02-06,2008-06-10,2008-08-19,2008-08-19,2009-01-15,2009-01-15,2009-03-13,2009-06-12,DoD,EUCOM,2007-12-13,Date of Receipt,2009
76,414,327,278,278,178,178,140,76,DoD,EUCOM,449,Number of Days Pending,2009
2008-11-18,2007-07-17,2007-10-09,2007-11-07,2008-07-16,2008-10-01,2008-10-03,2008-10-03,2008-10-27,DoD,JFCOM,2006-10-04,Date of Receipt,2009
237,570,515,494,323,269,267,267,252,DoD,JFCOM,800,Number of Days Pending,2009
2002-09-04,2000-04-07,2000-04-07,2001-05-15,2001-05-15,2001-05-15,2001-07-24,2002-05-30,2002-06-06,DoD,NAVY,2000-04-07,Date of Receipt,2009
1768,2372,2372,2095,2095,2095,2047,1835,1830,DoD,NAVY,2372,Number of Days Pending,2009
,2009-03-10,2009-03-24,2009-07-15,,,,,,DoD,NGA,2009-03-03,Date of Receipt,2009
,140,131,53,,,,,,DoD,NGA,145,Number of Days Pending,2009
,2009-09-22,2009-09-23,,,,,,,DoD,NRO,2009-07-31,Date of Receipt,2009
,6,5,,,,,,,DoD,NRO,42,Number of Days Pending,2009
2009-03-17,2007-04-02,2008-02-04,2008-08-12,2008-08-22,2008-09-12,2008-12-11,2009-02-26,2009-03-11,DoD,NSA,2005-12-15,Date of Receipt,2009
139,630,419,286,278,264,203,152,143,DoD,NSA,953,Number of Days Pending,2009
2008-12-02,2008-10-16,2008-10-29,2008-11-06,2008-11-06,2008-11-07,2008-11-14,2008-11-21,2008-11-26,DoD,OSD/JS,2008-10-10,Date of Receipt,2009
231,262,253,247,247,246,242,237,234,DoD,OSD/JS,265,Number of Days Pending,2009
2009-08-10,2009-01-20,2009-04-01,2009-04-14,2009-04-15,2009-06-29,2009-08-03,2009-08-03,2009-08-04,DoD,PACOM,2008-07-18,Date of Receipt,2009
36,176,127,118,117,65,41,41,40,DoD,PACOM,300,Number of Days Pending,2009
2007-06-22,2004-11-17,2005-03-08,2005-11-21,2006-01-03,2006-01-23,2007-02-09,2007-02-12,2007-06-20,DoD,SOCOM,2004-03-23,Date of Receipt,2009
568,1217,1144,965,937,924,661,660,570,DoD,SOCOM,1382,Number of Days Pending,2009
,,,,,,,,,DoD,SOUTHCOM,2007-06-11,Date of Receipt,2009
,,,,,,,,,DoD,SOUTHCOM,577,Number of Days Pending,2009
2001-12-09,1996-07-22,1997-01-31,2000-02-09,2000-02-14,2000-04-27,2000-06-30,2000-10-12,2001-12-01,DoD,TRANSCOM,1995-06-29,Date of Receipt,2009
1952,3302,3170,2413,2410,2358,2313,2242,1957,DoD,TRANSCOM,3563,Number of Days Pending,2009
2004-07-20,2001-01-25,2001-01-26,2001-06-14,2001-08-29,2002-07-03,2002-07-22,2003-06-13,2004-07-07,DOE,HQ,1998-06-11,Date of Receipt,2009
1206,2014,2013,1925,1877,1681,1669,1462,1214,DOE,HQ,2623,Number of Days Pending,2009
,,,,,,,,,DOI,OS,2009-08-28,Date of Receipt,2009
,,,,,,,,,DOI,OS,22,Number of Days Pending,2009
,2009-06-24,2009-07-07,,,,,,,DOJ,Office of the AG,2009-02-05,Date of Receipt,2009
,70,61,,,,,,,DOJ,Office of the AG,168,Number of Days Pending,2009
,2009-09-02,,,,,,,,DOJ,Office of the DAG,2009-02-05,Date of Receipt,2009
,20,,,,,,,,DOJ,Office of the DAG,168,Number of Days Pending,2009
,2009-06-26,,,,,,,,DOJ,Antitrust,2009-06-10,Date of Receipt,2009
,66,,,,,,,,DOJ,Antitrust,78,Number of Days Pending,2009
,2009-09-22,,,,,,,,DOJ,Civil,2009-03-13,Date of Receipt,2009
,6,,,,,,,,DOJ,Civil,138,Number of Days Pending,2009
,2008-07-17,2008-08-04,2008-08-11,2009-04-14,,,,,DOJ,Criminal,2008-01-15,Date of Receipt,2009
,301,289,284,118,,,,,DOJ,Criminal,429,Number of Days Pending,2009
2009-01-26,2008-03-03,2008-03-26,2008-05-16,2008-07-16,2008-09-12,2008-09-30,2008-11-10,2008-11-10,DOJ,DEA,2008-01-29,Date of Receipt,2009
173,399,382,345,304,263,251,223,223,DOJ,DEA,423,Number of Days Pending,2009
,2008-10-24,2009-02-09,2009-03-17,2009-07-14,2009-08-24,2009-09-09,2009-09-15,2009-09-22,DOJ,EOUSA,2008-02-19,Date of Receipt,2009
,341,233,197,78,37,21,15,8,DOJ,EOUSA,589,Number of Days Pending,2009
2008-08-21,2008-02-20,2008-03-21,2008-03-28,2008-04-04,2008-04-10,2008-06-25,2008-07-02,2008-07-16,DOJ,FBI,2008-01-07,Date of Receipt,2009
405,587,558,551,544,538,462,455,441,DOJ,FBI,631,Number of Days Pending,2009
,,,,,,,,,DOJ,JMD,2009-09-23,Date of Receipt,2009
,,,,,,,,,DOJ,JMD,6,Number of Days Pending,2009
,2008-12-22,2009-02-18,2009-02-19,2009-04-29,2009-06-18,2009-06-30,2009-07-20,,DOJ,NSD,2008-03-27,Date of Receipt,2009
,220,178,177,128,92,84,70,,DOJ,NSD,421,Number of Days Pending,2009
,,,,,,,,,DOJ,OJP,2007-12-31,Date of Receipt,2009
,,,,,,,,,DOJ,OJP,470,Number of Days Pending,2009
,,,,,,,,,DOT,FAA,2009-09-03,Date of Receipt,2009
,,,,,,,,,DOT,FAA,18,Number of Days Pending,2009
2009-09-29,2006-12-13,2006-12-20,2007-08-28,2008-09-23,2008-09-25,2009-01-27,2009-02-17,2009-08-19,EPA,HQ,2006-01-30,Date of Receipt,2009
1,702,697,525,255,254,169,155,29,EPA,HQ,920,Number of Days Pending,2009
,,,,,,,,,FDIC,FDIC,2009-09-25,Date of Receipt,2009
,,,,,,,,,FDIC,FDIC,3,Number of Days Pending,2009
,,,,,,,,,HHS,NIH,2009-07-16,Date of Receipt,2009
,,,,,,,,,HHS,NIH,53,Number of Days Pending,2009
,2009-09-09,2009-09-18,,,,,,,OMB,OMB,2009-09-09,Date of Receipt,2009
,15,8,,,,,,,OMB,OMB,15,Number of Days Pending,2009
2005-06-10,2004-03-17,2004-08-13,2004-08-13,2004-08-13,2005-02-10,2005-03-22,2005-04-18,2005-04-22,State,DoS,2003-05-16,Date of Receipt,2009
1081,1392,1287,1287,1287,1165,1138,1119,1115,State,DoS,1597,Number of Days Pending,2009
,2009-03-03,2009-06-18,2009-07-14,2009-09-18,2009-09-28,,,,Treasury,DO,2008-11-19,Date of Receipt,2009
,181,79,56,8,2,,,,Treasury,DO,292,Number of Days Pending,2009
,,,,,,,,,Treasury,FMS,2009-09-30,Date of Receipt,2009
,,,,,,,,,Treasury,FMS,1,Number of Days Pending,2009
,2009-08-14,,,,,,,,U.S. DOL,EBSA,2009-07-21,Date of Receipt,2009
,33,,,,,,,,U.S. DOL,EBSA,49,Number of Days Pending,2009
,2009-06-19,,,,,,,,U.S. DOL,ESA,2009-03-04,Date of Receipt,2009
,78,,,,,,,,U.S. DOL,ESA,155,Number of Days Pending,2009
,2009-06-19,,,,,,,,U.S. DOL,ESA - OLMS,2009-03-04,Date of Receipt,2009
,78,,,,,,,,U.S. DOL,ESA - OLMS,155,Number of Days Pending,2009
,,,,,,,,,U.S. DOL,ETA,2009-08-25,Date of Receipt,2009
,,,,,,,,,U.S. DOL,ETA,21,Number of Days Pending,2009
,,,,,,,,,U.S. DOL,SOL,2009-09-28,Date of Receipt,2009
,,,,,,,,,U.S. DOL,SOL,3,Number of Days Pending,2009
,,,,,,,,,VA,C&LA,2009-08-10,Date of Receipt,2009
,,,,,,,,,VA,C&LA,36,Number of Days Pending,2009
,2009-09-17,,,,,,,,VA,VBA,2009-08-10,Date of Receipt,2009
,9,,,,,,,,VA,VBA,36,Number of Days Pending,2009
,,,,,,,,,VA,VHA,2009-08-10,Date of Receipt,2009
,,,,,,,,,VA,VHA,36,Number of Days Pending,2009
,2010-09-29,2010-09-29,,,,,,,CEQ,CEQ,2010-09-02,Date of Receipt,2010
,1,1,,,,,,,CEQ,CEQ,23,Number of Days Pending,2010
2006-08-18,2004-06-03,2005-02-11,2005-07-01,2005-07-14,2005-09-19,2006-02-13,2006-06-08,2006-08-10,CIA,CIA,2003-11-24,Date of Receipt,2010
1505,2311,2058,1918,1905,1838,1691,1576,1513,CIA,CIA,2503,Number of Days Pending,2010
,2010-09-04,2010-09-09,2010-09-15,,,,,,DHS,CBP,2010-08-25,Date of Receipt,2010
,18,16,12,,,,,,DHS,CBP,26,Number of Days Pending,2010
2010-05-27,2009-04-24,2009-08-11,2009-09-08,2009-10-05,2009-10-21,2010-01-22,2010-03-19,2010-03-19,DHS,FEMA,2008-09-19,Date of Receipt,2010
88,358,283,264,245,234,172,137,137,DHS,FEMA,505,Number of Days Pending,2010
,2010-09-20,,,,,,,,DHS,I&A,2010-08-13,Date of Receipt,2010
,9,,,,,,,,DHS,I&A,35,Number of Days Pending,2010
,,,,,,,,,DHS,MGMT,2010-09-29,Date of Receipt,2010
,,,,,,,,,DHS,MGMT,1,Number of Days Pending,2010
,,,,,,,,,DHS,S&T,2010-06-25,Date of Receipt,2010
,,,,,,,,,DHS,S&T,70,Number of Days Pending,2010
2010-06-15,2009-06-04,2009-09-17,2009-10-21,2009-12-07,2009-12-16,2010-02-17,2010-02-25,2010-06-02,DHS,TSA,2008-04-10,Date of Receipt,2010
76,330,257,234,203,196,159,153,85,DHS,TSA,618,Number of Days Pending,2010
2010-07-20,2009-12-24,2009-12-24,2010-03-11,2010-04-07,2010-05-05,2010-05-06,2010-05-12,2010-07-14,DHS,USCG,2009-07-28,Date of Receipt,2010
52,190,190,143,124,104,103,99,56,DHS,USCG,293,Number of Days Pending,2010
,,,,,,,,,DHS,USCIS,2010-09-10,Date of Receipt,2010
,,,,,,,,,DHS,USCIS,15,Number of Days Pending,2010
,2010-08-16,2010-08-19,2010-09-02,2010-09-02,2010-09-02,2010-09-02,,,DHS,USSS,2010-06-20,Date of Receipt,2010
,33,30,20,20,20,20,,,DHS,USSS,72,Number of Days Pending,2010
,2010-09-15,,,,,,,,DOC,OIG,2010-09-15,Date of Receipt,2010
,13,,,,,,,,DOC,OIG,13,Number of Days Pending,2010
,,,,,,,,,DOC,OS,2010-09-27,Date of Receipt,2010
,,,,,,,,,DOC,OS,3,Number of Days Pending,2010
2008-04-25,2007-02-15,2007-04-11,2007-09-07,2007-10-05,2007-10-17,2007-12-18,2008-03-13,2008-04-23,DoD,AF,2006-07-26,Date of Receipt,2010
610,909,871,767,747,740,698,641,612,DoD,AF,1047,Number of Days Pending,2010
2008-06-17,2008-04-21,2008-05-06,2008-06-16,2008-06-16,2008-06-17,2008-06-17,2008-06-17,2008-06-17,DoD,ARMY,2007-04-10,Date of Receipt,2010
574,614,603,575,575,574,574,574,574,DoD,ARMY,872,Number of Days Pending,2010
2009-10-08,2009-03-12,2009-04-01,2009-04-15,2009-06-08,2009-07-09,2009-08-31,2009-09-23,2009-09-29,DoD,CENTCOM,2008-11-20,Date of Receipt,2010
245,392,378,368,331,309,272,256,252,DoD,CENTCOM,466,Number of Days Pending,2010
,,,,,,,,,DoD,DFAS,2010-09-29,Date of Receipt,2010
,,,,,,,,,DoD,DFAS,1,Number of Days Pending,2010
2004-08-26,2000-12-18,2001-12-17,2002-03-12,2002-05-13,2002-12-10,2004-03-12,2004-03-15,2004-08-12,DoD,DIA,1999-03-04,Date of Receipt,2010
1526,2450,2200,2144,2100,1955,1642,1641,1536,DoD,DIA,2901,Number of Days Pending,2010
,,,,,,,,,DoD,DISA,2010-09-20,Date of Receipt,2010
,,,,,,,,,DoD,DISA,8,Number of Days Pending,2010
,,,,,,,,,DoD,DoDIG,2010-06-28,Date of Receipt,2010
,,,,,,,,,DoD,DoDIG,66,Number of Days Pending,2010
,2009-09-25,,,,,,,,DoD,EUCOM,2008-08-19,Date of Receipt,2010
,254,,,,,,,,DoD,EUCOM,530,Number of Days Pending,2010
,2010-09-13,2010-09-13,2010-09-30,,,,,,DoD,JFCOM,2010-07-19,Date of Receipt,2010
,13,13,1,,,,,,DoD,JFCOM,52,Number of Days Pending,2010
2010-09-10,2009-03-20,2009-04-03,2009-04-03,2009-06-09,2010-02-08,2010-04-08,2010-06-04,2010-07-14,DoD,NAVY,2008-11-13,Date of Receipt,2010
14,386,376,376,330,164,122,82,55,DoD,NAVY,471,Number of Days Pending,2010
2009-09-28,2009-01-22,2009-05-21,2009-05-24,2009-06-15,2009-07-07,2009-07-15,2009-08-10,2009-08-25,DoD,NGA,2008-07-03,Date of Receipt,2010
253,426,342,340,326,311,305,287,276,DoD,NGA,462,Number of Days Pending,2010
,2009-10-28,2009-11-09,2010-04-30,2010-06-29,2010-08-12,2010-09-17,2010-09-29,,DoD,NRO,2009-07-31,Date of Receipt,2010
,232,224,106,65,34,9,1,,DoD,NRO,293,Number of Days Pending,2010
2009-07-30,2008-08-22,2008-09-12,2009-03-11,2009-03-24,2009-07-10,2009-07-28,2009-07-28,2009-07-28,DoD,NSA,2005-12-15,Date of Receipt,2010
294,527,513,393,384,308,296,296,296,DoD,NSA,1200,Number of Days Pending,2010
2000-01-28,1998-07-01,1998-08-14,1999-07-15,1999-07-29,1999-10-26,1999-11-05,1999-11-19,2000-01-11,DoD,OSD/JS,1994-01-27,Date of Receipt,2010
2674,3068,3037,2808,2798,2737,2729,2720,2686,DoD,OSD/JS,4178,Number of Days Pending,2010
,2009-08-03,2009-08-27,2010-03-23,,,,,,DoD,PACOM,2009-01-20,Date of Receipt,2010
,292,274,134,,,,,,DoD,PACOM,427,Number of Days Pending,2010
2009-03-29,2007-02-09,2007-02-12,2007-06-22,2007-06-22,2007-08-27,2007-12-06,2008-10-20,2009-01-22,DoD,SOCOM,2006-01-23,Date of Receipt,2010
400,913,912,820,820,775,706,488,426,DoD,SOCOM,1176,Number of Days Pending,2010
2010-01-25,2008-06-11,2008-10-30,2008-10-30,2008-11-21,2009-06-01,2009-07-30,2010-01-25,2010-01-25,DoD,SOUTHCOM,2007-06-11,Date of Receipt,2010
174,578,480,480,465,336,294,174,174,DoD,SOUTHCOM,829,Number of Days Pending,2010
2008-11-13,2002-12-11,2004-04-07,2004-05-19,2004-06-04,2004-11-03,2006-06-12,2006-06-16,2008-08-26,DoD,TRANSCOM,2002-11-21,Date of Receipt,2010
471,1954,1624,1594,1580,1479,1078,1074,525,DoD,TRANSCOM,1967,Number of Days Pending,2010
,,,,,,,,,DoD,TRICARE,2010-06-16,Date of Receipt,2010
,,,,,,,,,DoD,TRICARE,74,Number of Days Pending,2010
2010-03-12,2006-11-29,2006-12-05,2009-11-10,2009-11-12,2009-11-12,2009-11-18,2010-01-29,2010-02-01,DOE,HQ,2001-06-14,Date of Receipt,2010
141,891,887,223,222,222,218,170,169,DOE,HQ,2158,Number of Days Pending,2010
