Year,Agency,Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year
2011,NEA,NEA,0,4,4,0
2011,NEH,NEH,0,2,1,1
2011,NIGC,NIGC,1,1,2,0
2011,NLRB,NLRB,2,79,58,23
2011,NMB,NMB,0,0,0,0
2011,NRPC,NRPC,2,7,7,2
2011,NSF,OGC,1,10,11,0
2011,NSF,OIG,0,10,10,0
2011,NTSB,NTSB,1,9,10,0
2011,ODNI,ODNI,3,15,3,15
2011,OGE,OGE,0,3,3,0
2011,OMB,OMB,0,10,10,0
2011,ONDCP,ONDCP,0,1,1,0
2011,ONHIR,ONHIR,0,0,0,0
2011,OPIC,OPIC,0,2,2,0
2011,OPM,OPM,3,31,26,8
2011,OSC,OSC,7,9,7,9
2011,OSHRC,OSHRC,0,0,0,0
2011,OSTP,OSTP,0,6,6,0
2011,PBGC,PBGC,1,7,5,3
2011,PC,FOIA Office,0,12,10,2
2011,PC,OIG,0,1,1,0
2011,PRC,PRC,0,0,0,0
2011,RATB,RATB,0,0,0,0
2011,SBA,SBA,1,22,22,1
2011,SEC,SEC,15,169,162,22
2011,SIGAR,SIGAR,0,1,1,0
2011,SIGIR,SIGIR,0,0,0,0
2011,SSA,SSA,16,98,100,14
2011,SSS,SSS,0,0,0,0
2011,State,DoS,368,342,381,329
2011,State,OIG,0,0,0,0
2011,STB,STB,0,0,0,0
2011,Treasury,BEP,0,1,1,0
2011,Treasury,BPD,0,5,5,0
2011,Treasury,CFPB,0,0,0,0
2011,Treasury,DO,32,57,37,52
2011,Treasury,FinCEN,0,10,10,0
2011,Treasury,FMS,0,3,1,2
2011,Treasury,IRS,35,199,230,4
2011,Treasury,MINT,0,4,4,0
2011,Treasury,OCC,12,35,35,12
2011,Treasury,OTS,1,4,5,0
2011,Treasury,TIGTA,0,24,21,3
2011,Treasury,TTB,0,5,5,0
2011,TVA,TVA,0,4,4,0
2011,U.S. CPSC,U.S. CPSC,0,21,21,0
2011,U.S. DOL,ADJ BDS,1,0,0,1
2011,U.S. DOL,ALJ,2,1,2,1
2011,U.S. DOL,ASP,0,0,0,0
2011,U.S. DOL,BLS,0,0,0,0
2011,U.S. DOL,CFO,0,0,0,0
2011,U.S. DOL,EBSA,0,13,10,3
2011,U.S. DOL,ETA,15,50,57,8
2011,U.S. DOL,EXEC SEC,0,0,0,0
2011,U.S. DOL,ILAB,0,0,0,0
2011,U.S. DOL,MSHA,12,24,24,12
2011,U.S. DOL,OASAM,3,15,11,7
2011,U.S. DOL,OCIA,0,0,0,0
2011,U.S. DOL,ODEP,0,0,0,0
2011,U.S. DOL,OFCCP,3,6,8,1
2011,U.S. DOL,OIG,2,1,0,3
2011,U.S. DOL,OLMS,6,10,13,3
2011,U.S. DOL,OPA,0,0,0,0
2011,U.S. DOL,OSEC,0,0,0,0
2011,U.S. DOL,OSHA,61,120,162,19
2011,U.S. DOL,OWCP,20,54,55,19
2011,U.S. DOL,SOL,0,2,2,0
2011,U.S. DOL,VETS,5,7,9,3
2011,U.S. DOL,WB,0,0,0,0
2011,U.S. DOL,WHD,13,35,40,8
2011,US ADF,US ADF,0,0,0,0
2011,US RRB,OIG,0,0,0,0
2011,US RRB,RRB,0,4,4,0
2011,USAID,USAID,13,13,3,23
2011,USCCR,USCCR,0,0,0,0
2011,USDA,AMS,7,7,6,8
2011,USDA,APHIS,57,24,11,70
2011,USDA,ASCR,0,3,3,0
2011,USDA,DM,0,1,1,0
2011,USDA,FAS,0,0,0,0
2011,USDA,FNCS,7,35,30,12
2011,USDA,FS,27,52,54,25
2011,USDA,FSA,3,31,29,5
2011,USDA,FSIS,5,1,1,5
2011,USDA,GIPSA,0,2,1,1
2011,USDA,NAD,1,0,0,1
2011,USDA,NRCS,2,15,15,2
2011,USDA,OBPA,0,0,0,0
2011,USDA,OCFO,0,0,0,0
2011,USDA,OGC,3,1,3,1
2011,USDA,OIG,6,13,12,7
2011,USDA,OSEC/OCIO,2,3,2,3
2011,USDA,RD,15,23,21,17
2011,USDA,REE,0,2,2,0
2011,USDA,RMA,2,12,1,13
2011,USIBWC,USIBWC,0,2,2,0
2011,USITC,USITC,0,1,1,0
2011,USNRC,USNRC,1,13,14,0
2011,USPS,OIG,0,19,18,1
2011,USPS,PS & PIS,3,109,102,10
2011,USTDA,USTDA,0,2,2,0
2011,USTR,USTR,0,5,5,0
2011,VA,GC,202,345,229,318
2012,ABMC,ABMC,0,0,0,0
2012,ACUS,ACUS,0,0,0,0
2012,AFRH,AFRH,0,0,0,0
2012,BBG,BBG,0,4,4,0
2012,CEQ,CEQ,0,1,1,0
2012,CFTC,CFTC,2,6,3,5
2012,CIA,CIA,200,315,302,213
2012,CIGIE,CIGIE,0,3,1,2
2012,CNCS,CNCS,0,2,1,1
2012,CO,CO,0,0,0,0
2012,CPPBSD,CPPBSD,0,0,0,0
2012,CSB,CSB,0,1,1,0
2012,CSOSA,CSOSA,0,2,2,0
2012,DHS,CBP,18,474,476,16
2012,DHS,FLETC,0,1,1,0
2012,DHS,ICE,40,288,303,25
2012,DHS,OGC,150,113,161,102
2012,DHS,OIG,14,19,19,14
2012,DHS,TSA,4,32,25,11
2012,DHS,USCG,49,35,51,33
2012,DHS,USCIS,186,1349,1431,104
2012,DHS,USSS,0,34,23,11
2012,DNFSB,OGC,0,0,0,0
2012,DNFSB,OGM,0,0,0,0
2012,DOC,PTO,1,10,10,1
2012,DOC,AGC/Admin,56,66,86,36
2012,DoD,AF,45,303,219,129
2012,DoD,ARMY,29,122,125,26
2012,DoD,ASBCA,0,0,0,0
2012,DoD,DCAA,0,3,3,0
2012,DoD,DCMA,1,8,6,3
2012,DoD,DeCA,0,0,0,0
2012,DoD,DFAS,0,6,6,0
2012,DoD,DIA,203,117,163,157
2012,DoD,DISA,3,1,1,3
2012,DoD,DLA,1,23,18,6
2012,DoD,DoD IG,27,23,20,30
2012,DoD,DSS,0,1,0,1
2012,DoD,DTRA,1,1,1,1
2012,DoD,NAVY,12,293,288,17
2012,DoD,NGA,1,4,0,5
2012,DoD,NRO,2,6,7,1
2012,DoD,NSA,67,57,44,80
2012,DoD,OSD/JS,363,180,179,364
2012,DOE,BPA,0,0,0,0
2012,DOE,CBFO,0,0,0,0
2012,DOE,CH,0,0,0,0
2012,DOE,EMCBC,0,0,0,0
2012,DOE,GFO,0,0,0,0
2012,DOE,HQ,11,74,73,12
2012,DOE,ID,0,0,0,0
2012,DOE,NETL,0,0,0,0
2012,DOE,NNSA,0,0,0,0
2012,DOE,NR,0,0,0,0
2012,DOE,NRLFO,0,0,0,0
2012,DOE,ORO,0,0,0,0
2012,DOE,OSTI,0,0,0,0
2012,DOE,ROO,0,0,0,0
2012,DOE,SEPA,0,0,0,0
2012,DOE,SPR,0,0,0,0
2012,DOE,SRO,0,0,0,0
2012,DOE,SWPA,0,0,0,0
2012,DOE,WAPA,0,0,0,0
2012,DOI,FOIA/PA Appeals,234,188,225,197
2012,DOJ,OIP,497,3564,3403,658
2012,DOJ,USPC,4,5,9,0
2012,DOT,FAA,47,110,128,29
2012,DOT,FHWA,14,8,9,13
2012,DOT,FMCSA,5,2,5,2
2012,DOT,FRA,0,2,2,0
2012,DOT,FTA,5,8,12,1
2012,DOT,MARAD,0,1,0,1
2012,DOT,NHTSA,1,6,7,0
2012,DOT,OIG,0,2,0,2
2012,DOT,OST,2,7,9,0
2012,DOT,PHMSA,0,0,0,0
2012,DOT,RITA,0,1,1,0
2012,DOT,SLSDC,0,0,0,0
2012,ED,OM-PIRMS,41,25,34,32
2012,EEOC,OLC/HDQ,28,370,380,18
2012,EPA,HQ,106,215,246,75
2012,Ex-Im Bank,HQ,1,1,0,2
2012,FCA,FCA,0,0,0,0
2012,FCC,FCC,15,18,23,10
2012,FCSIC,FCSIC,0,0,0,0
2012,FDIC,FDIC,2,44,40,6
2012,FEC,FEC,1,4,4,1
2012,FERC,FERC,1,5,5,1
2012,FFIEC,FFIEC,0,1,1,0
2012,FHFA,FHFA FOIA,0,11,10,1
2012,FHFA,FHFA-OIG,0,1,1,0
2012,FLRA,FSIP,0,0,0,0
2012,FLRA,Authority,0,0,0,0
2012,FLRA,OGC,0,2,2,0
2012,FMC,FMC,0,0,0,0
2012,FMCS,FMCS,0,1,1,0
2012,FMSHRC,FMSHRC,0,0,0,0
2012,FOMC,FOMC,0,1,1,0
2012,FRB,FRB,1,25,18,8
2012,FRTIB,FRTIB,0,0,0,0
2012,FTC,FTC,3,29,32,0
2012,GSA,GSA,3,33,28,8
2012,HHS,CMS,36,111,53,94
2012,HHS,OS,203,200,192,211
2012,HUD,HQ,2,33,32,3
2012,HUD,OIG,0,10,10,0
2012,HUD,R01,0,0,0,0
2012,HUD,R02,0,1,1,0
2012,HUD,R03,0,1,0,1
2012,HUD,R04,0,3,3,0
2012,HUD,R05,0,1,1,0
2012,HUD,R06,0,4,4,0
2012,HUD,R07,0,0,0,0
2012,HUD,R08,0,1,1,0
2012,HUD,R09,0,1,1,0
2012,HUD,R0X,0,1,0,1
2012,IAF,IAF,0,0,0,0
2012,IMLS,IMLS,0,0,0,0
2012,LSC,OLA,0,2,2,0
2012,LSC,OIG,0,0,0,0
2012,MCC,MCC,0,1,1,0
2012,MSPB,MSPB,0,23,22,1
2012,NARA,NARA,6,61,60,7
2012,NASA,ARC,0,0,0,0
2012,NASA,DFRC,0,0,0,0
2012,NASA,GRC,0,0,0,0
2012,NASA,GSFC,0,0,0,0
2012,NASA,HQ,0,0,0,0
2012,NASA,JPL,0,0,0,0
2012,NASA,JSC,0,0,0,0
2012,NASA,KSC,0,0,0,0
2012,NASA,LaRC,0,0,0,0
2012,NASA,MSFC,0,0,0,0
2012,NASA,NSSC,0,0,0,0
2012,NASA,OGC,0,23,21,2
2012,NASA,OIG,0,3,3,0
2012,NASA,SSC,0,0,0,0
2012,NCPC,NCPC,0,2,2,0
2012,NCUA,NCUA,1,7,8,0
2012,NEA,NEA,0,1,1,0
2012,NEH,NEH,1,1,2,0
2012,NIGC,NIGC,0,0,0,0
2012,NLRB,NLRB,22,34,54,2
2012,NMB,NMB,0,0,0,0
2012,NRPC,NRPC,2,2,3,1
2012,NSF,OGC,0,4,4,0
2012,NSF,OIG,0,8,8,0
2012,NTSB,NTSB,0,7,7,0
2012,ODNI,ODNI,15,16,12,19
2012,OGE,OGE,0,4,4,0
2012,OMB,OMB,0,17,17,0
2012,ONDCP,ONDCP,0,0,0,0
2012,ONHIR,ONHIR,0,0,0,0
2012,OPIC,OPIC,0,4,4,0
2012,OPM,OPM,8,30,34,4
2012,OSC,OSC,9,8,6,11
2012,OSHRC,OSHRC,0,0,0,0
2012,OSTP,OSTP,0,8,8,0
2012,PBGC,PBGC,2,6,8,0
2012,PC,FOIA Office,2,9,11,0
2012,PC,OIG,0,0,0,0
2012,PRC,PRC,0,0,0,0
2012,RATB,RATB,0,1,1,0
2012,SBA,SBA,1,21,22,0
2012,SEC,SEC,22,115,121,16
2012,SIGAR,SIGAR,0,0,0,0
2012,SIGIR,SIGIR,0,1,1,0
2012,SSA,SSA,14,867,844,37
2012,SSS,SSS,0,0,0,0
2012,State,DoS,329,212,130,411
2012,State,OIG,0,0,0,0
2012,STB,STB,0,0,0,0
2012,Treasury,BEP,0,0,0,0
2012,Treasury,BPD,0,0,0,0
2012,Treasury,CFPB,0,12,8,4
2012,Treasury,DO,52,23,22,53
2012,Treasury,FinCEN,0,14,13,1
2012,Treasury,FMS,2,6,7,1
2012,Treasury,IRS,4,184,178,10
2012,Treasury,MINT,0,3,3,0
2012,Treasury,OCC,12,47,54,5
2012,Treasury,TIGTA,3,23,25,1
2012,Treasury,TTB,0,1,1,0
2012,TVA,TVA,0,6,6,0
2012,U.S. CPSC,U.S. CPSC,0,19,19,0
2012,U.S. DOL,ADJ BDS,1,0,0,1
2012,U.S. DOL,ALJ,1,1,2,0
2012,U.S. DOL,ASP,0,0,0,0
2012,U.S. DOL,BLS,0,1,0,1
2012,U.S. DOL,CFO,0,0,0,0
2012,U.S. DOL,EBSA,3,7,6,4
2012,U.S. DOL,ETA,8,55,49,14
2012,U.S. DOL,EXEC SEC,0,0,0,0
2012,U.S. DOL,ILAB,0,0,0,0
2012,U.S. DOL,MSHA,12,26,25,13
2012,U.S. DOL,OASAM,7,12,10,9
2012,U.S. DOL,OCIA,0,0,0,0
2012,U.S. DOL,ODEP,0,0,0,0
2012,U.S. DOL,OFCCP,1,12,10,3
2012,U.S. DOL,OIG,3,2,1,4
2012,U.S. DOL,OLMS,3,8,4,7
2012,U.S. DOL,OPA,0,0,0,0
2012,U.S. DOL,OSEC,0,0,0,0
2012,U.S. DOL,OSHA,19,129,109,39
2012,U.S. DOL,OWCP,19,115,98,36
2012,U.S. DOL,SOL,0,3,2,1
2012,U.S. DOL,VETS,3,1,1,3
2012,U.S. DOL,WB,0,0,0,0
2012,U.S. DOL,WHD,8,42,37,13
2012,US ADF,US ADF,0,0,0,0
2012,US RRB,OIG,0,0,0,0
2012,US RRB,RRB,0,2,2,0
2012,USAID,USAID,23,18,5,36
2012,USCCR,USCCR,0,0,0,0
2012,USDA,AMS,7,5,8,4
2012,USDA,APHIS,71,36,23,84
2012,USDA,ASCR,0,1,1,0
2012,USDA,DM,0,2,1,1
2012,USDA,FAS,0,0,0,0
2012,USDA,FNCS,12,31,24,19
2012,USDA,FS,25,66,57,34
2012,USDA,FSA,5,18,22,1
2012,USDA,FSIS,5,3,7,1
2012,USDA,GIPSA,1,3,3,1
2012,USDA,NAD,1,0,0,1
2012,USDA,NRCS,2,11,13,0
2012,USDA,OBPA,0,0,0,0
2012,USDA,OCFO,0,4,2,2
2012,USDA,OGC,1,0,1,0
2012,USDA,OIG,7,10,12,5
2012,USDA,OSEC/OCIO,2,4,3,3
2012,USDA,RD,17,11,1,27
2012,USDA,REE,0,2,1,1
2012,USDA,RMA,13,3,1,15
2012,USIBWC,USIBWC,0,0,0,0
2012,USITC,USITC,0,0,0,0
2012,USNRC,USNRC,0,10,10,0
2012,USPS,OIG,1,20,18,3
2012,USPS,PS & PIS,10,128,121,17
2012,USTDA,USTDA,0,1,0,1
2012,USTR,USTR,0,1,1,0
2012,VA,GC,318,225,353,190
2013,ABMC,ABMC,0,0,0,0
2013,ACUS,ACUS,0,0,0,0
2013,AFRH,AFRH,0,0,0,0
2013,BBG,BBG,0,3,2,1
2013,CEQ,CEQ,0,1,1,0
2013,CFPB,CFPB,4,16,20,0
2013,CFTC,CFTC,5,5,6,4
2013,CIA,CIA,213,338,360,191
2013,CIGIE,CIGIE,2,3,3,2
2013,CNCS,CNCS,1,0,1,0
2013,CO,CO,0,1,0,1
2013,CPPBSD,CPPBSD,0,0,0,0
2013,CSB,CSB,0,0,0,0
2013,CSOSA,CSOSA,0,0,0,0
2013,DHS,CBP,16,346,354,8
2013,DHS,FEMA,60,16,45,31
2013,DHS,FLETC,0,7,5,2
2013,DHS,ICE,0,350,317,33
2013,DHS,OGC,111,92,179,24
2013,DHS,OIG,14,17,3,28
2013,DHS,TSA,11,18,22,7
2013,DHS,USCG,40,34,45,29
2013,DHS,USCIS,105,1959,2001,63
2013,DHS,USSS,11,66,75,2
2013,DNFSB,DNFSB,0,0,0,0
2013,DOC,PTO,1,28,28,1
2013,DOC,AGC/Admin.,36,48,48,36
2013,DoD,AF,72,258,176,154
2013,DoD,ARMY,26,115,106,35
2013,DoD,ASBCA,0,0,0,0
2013,DoD,DCAA,0,6,6,0
2013,DoD,DCMA,3,3,6,0
2013,DoD,DeCA,0,0,0,0
2013,DoD,DFAS,0,2,2,0
2013,DoD,DIA,158,91,155,94
2013,DoD,DISA,3,1,0,4
2013,DoD,DLA,6,7,13,0
2013,DoD,DoD IG,30,26,29,27
2013,DoD,DSS,0,1,1,0
2013,DoD,DTRA,1,4,3,2
2013,DoD,NAVY,17,315,312,20
2013,DoD,NGA,5,10,2,13
2013,DoD,NRO,1,12,6,7
2013,DoD,NSA,80,87,99,68
2013,DoD,OSD/JS,364,173,229,308
2013,DOE,BPA,0,0,0,0
2013,DOE,CBFO,0,0,0,0
2013,DOE,CH,0,0,0,0
2013,DOE,EMCBC,0,0,0,0
2013,DOE,GFO,0,0,0,0
2013,DOE,HQ,12,77,80,9
2013,DOE,ID,0,0,0,0
2013,DOE,NETL,0,0,0,0
2013,DOE,NNSA,0,0,0,0
2013,DOE,NR,0,0,0,0
2013,DOE,NRLFO,0,0,0,0
2013,DOE,ORO,0,0,0,0
2013,DOE,OSTI,0,0,0,0
2013,DOE,ROO,0,0,0,0
2013,DOE,SEPA,0,0,0,0
2013,DOE,SPR,0,0,0,0
2013,DOE,SRO,0,0,0,0
2013,DOE,SWPA,0,0,0,0
2013,DOE,WAPA,0,0,0,0
2013,DOI,FOIA/PA Appeals,197,175,177,195
2013,DOJ,OIP,657,3327,3398,586
2013,DOJ,USPC,0,0,0,0
2013,DOT,FAA,29,83,83,29
2013,DOT,FHWA,13,13,16,10
2013,DOT,FMCSA,2,3,4,1
2013,DOT,FRA,0,5,4,1
2013,DOT,FTA,1,3,1,3
2013,DOT,MARAD,1,3,4,0
2013,DOT,NHTSA,0,9,9,0
2013,DOT,OIG,2,6,5,3
2013,DOT,OST,0,4,4,0
2013,DOT,PHMSA,0,0,0,0
2013,DOT,RITA,0,1,0,1
2013,DOT,SLSDC,0,0,0,0
2013,ED,OM-PIRMS,32,43,20,55
2013,EEOC,OLC/HDQ,18,291,291,18
2013,EPA,HQ,81,283,182,182
2013,EPA,Region 1,0,0,0,0
2013,EPA,Region 2,0,0,0,0
2013,EPA,Region 3,0,0,0,0
2013,EPA,Region 4,0,0,0,0
2013,EPA,Region 5,1,0,1,0
2013,EPA,Region 6,1,0,1,0
2013,EPA,Region 7,0,0,0,0
2013,EPA,Region 8,0,0,0,0
2013,EPA,Region 9,0,0,0,0
2013,EPA,Region 10,0,0,0,0
2013,Ex-Im Bank,HQ,1,3,2,2
2013,FCA,FCA,0,1,1,0
2013,FCC,FCC,10,28,16,22
2013,FCSIC,FCSIC,0,0,0,0
2013,FDIC,FDIC,6,29,34,1
2013,FEC,FEC,1,3,1,3
2013,FERC,FERC,1,13,12,2
2013,FFIEC,FFIEC,0,0,0,0
2013,FHFA,FHFA-HQ,1,10,11,0
2013,FHFA,FHFA-OIG,0,2,2,0
2013,FLRA,FSIP,0,0,0,0
2013,FLRA,Authority,0,0,0,0
2013,FLRA,IG,0,0,0,0
2013,FLRA,OGC,0,4,3,1
2013,FLRA,ATRO,0,0,0,0
2013,FLRA,BORO,0,0,0,0
2013,FLRA,CHRO,0,0,0,0
2013,FLRA,DARO,0,0,0,0
2013,FLRA,DERO,0,0,0,0
2013,FLRA,SFRO,0,0,0,0
2013,FLRA,WARO,0,0,0,0
2013,FMC,FMC,0,0,0,0
2013,FMCS,FMCS,0,2,1,1
2013,FMSHRC,FMSHRC,0,1,1,0
2013,FOMC,FOMC,0,0,0,0
2013,FRB,FRB,8,31,37,2
2013,FRTIB,FRTIB,0,1,1,0
2013,FTC,FTC,0,29,26,3
2013,GSA,GSA,8,21,23,6
2013,HHS,CMS,94,116,59,151
2013,HHS,OS,211,199,222,188
2013,HUD,HQ,3,25,24,4
2013,HUD,OIG,0,1,1,0
2013,HUD,R01,0,1,1,0
2013,HUD,R02,0,0,0,0
2013,HUD,R03,1,3,4,0
2013,HUD,R04,0,4,4,0
2013,HUD,R05,0,3,3,0
2013,HUD,R06,0,3,3,0
2013,HUD,R07,0,1,1,0
2013,HUD,R08,0,1,1,0
2013,HUD,R09,0,4,4,0
2013,HUD,R0X,1,0,1,0
2013,IAF,IAF,0,0,0,0
2013,IMLS,IMLS,0,1,1,0
2013,LSC,OLA,1,0,1,0
2013,LSC,OIG,0,0,0,0
2013,MCC,MCC,0,2,1,1
2013,MSPB,MSPB,1,18,18,1
2013,NARA,NARA,7,70,63,14
2013,NASA,ARC,0,0,0,0
2013,NASA,DFRC,0,0,0,0
2013,NASA,GRC,0,0,0,0
2013,NASA,GSFC,0,0,0,0
2013,NASA,HQ,0,0,0,0
2013,NASA,JPL,0,0,0,0
2013,NASA,JSC,0,0,0,0
2013,NASA,KSC,0,0,0,0
2013,NASA,LaRC,0,0,0,0
2013,NASA,MSFC,0,0,0,0
2013,NASA,NSSC,0,0,0,0
2013,NASA,OGC,2,19,16,5
2013,NASA,OIG,0,0,0,0
2013,NASA,SSC,0,0,0,0
2013,NCPC,NCPC,0,0,0,0
2013,NCUA,NCUA,0,5,5,0
2013,NEA,NEA,0,1,1,0
2013,NEH,NEH,0,0,0,0
2013,NIGC,NIGC,0,3,3,0
2013,NLRB,NLRB,2,27,26,3
2013,NMB,NMB,0,0,0,0
2013,NRPC,NRPC,1,4,2,3
2013,NSF,OGC,0,8,2,6
2013,NSF,OIG,0,2,2,0
2013,NTSB,NTSB,0,7,4,3
2013,ODNI,ODNI,19,26,23,22
2013,OGE,OGE,0,2,2,0
2013,OMB,OMB,0,9,4,5
2013,ONDCP,ONDCP,0,0,0,0
2013,ONHIR,ONHIR,0,0,0,0
2013,OPIC,OPIC,0,1,1,0
2013,OPM,OPM,4,41,39,6
2013,OSC,OSC,11,9,8,12
2013,OSHRC,OSHRC,0,0,0,0
2013,OSTP,OSTP,0,5,5,0
2013,PBGC,PBGC,0,5,3,2
2013,PC,FOIA Office,0,8,5,3
2013,PC,OIG,0,1,1,0
2013,PRC,PRC,0,0,0,0
2013,RATB,RATB,0,1,1,0
2013,SBA,SBA,0,13,12,1
2013,SEC,SEC,16,143,149,10
2013,SIGAR,SIGAR,0,1,1,0
2013,SSA,SSA,37,452,459,30
2013,SSS,SSS,0,0,0,0
2013,State,DoS,401,276,367,310
2013,State,OIG,0,6,3,3
2013,STB,STB,0,0,0,0
2013,Treasury,BEP,0,2,2,0
2013,Treasury,BPD,0,4,4,0
2013,Treasury,DO,53,25,13,65
2013,Treasury,FinCEN,1,14,14,1
2013,Treasury,FMS,1,12,12,1
2013,Treasury,IRS,10,239,235,14
2013,Treasury,MINT,0,5,5,0
2013,Treasury,OCC,8,22,27,3
2013,Treasury,TIGTA,1,35,34,2
2013,Treasury,TTB,0,0,0,0
2013,TVA,TVA,0,9,9,0
2013,U.S. CPSC,U.S. CPSC,0,12,12,0
2013,U.S. DOL,ADJ BDS,0,1,1,0
2013,U.S. DOL,ALJ,0,1,1,0
2013,U.S. DOL,ASP,0,0,0,0
2013,U.S. DOL,BLS,1,2,2,1
2013,U.S. DOL,CFO,0,0,0,0
2013,U.S. DOL,EBSA,4,11,4,11
2013,U.S. DOL,ETA,14,44,40,18
2013,U.S. DOL,EXEC SEC,0,0,0,0
2013,U.S. DOL,ILAB,0,0,0,0
2013,U.S. DOL,MSHA,13,9,8,14
2013,U.S. DOL,OASAM,9,11,7,13
2013,U.S. DOL,OCIA,0,0,0,0
2013,U.S. DOL,ODEP,0,0,0,0
2013,U.S. DOL,OFCCP,3,10,6,7
2013,U.S. DOL,OIG,2,2,2,2
2013,U.S. DOL,OLMS,7,6,9,4
2013,U.S. DOL,OPA,0,0,0,0
2013,U.S. DOL,OSEC,0,0,0,0
2013,U.S. DOL,OSHA,39,118,103,54
2013,U.S. DOL,OWCP,36,210,179,67
2013,U.S. DOL,SOL,1,3,0,4
2013,U.S. DOL,VETS,3,12,9,6
2013,U.S. DOL,WB,0,0,0,0
2013,U.S. DOL,WHD,13,24,22,15
2013,US ADF,US ADF,0,0,0,0
2013,US RRB,OIG,0,0,0,0
2013,US RRB,RRB,0,2,2,0
2013,USAID,USAID,36,9,25,20
2013,USCCR,USCCR,0,0,0,0
2013,USDA,AMS,4,14,11,7
2013,USDA,APHIS,84,25,19,90
2013,USDA,ASCR,0,0,0,0
2013,USDA,FAS,0,1,1,0
2013,USDA,FNCS,19,34,42,11
2013,USDA,FS,34,79,67,46
2013,USDA,FSA,1,26,25,2
2013,USDA,FSIS,1,9,6,4
2013,USDA,GIPSA,1,1,2,0
2013,USDA,NAD,0,0,0,0
2013,USDA,NRCS,0,7,2,5
2013,USDA,OBPA,0,0,0,0
2013,USDA,OCFO,2,0,1,1
2013,USDA,OGC,0,2,1,1
2013,USDA,OIG,5,11,15,1
2013,USDA,OSEC/OCIO/DM,4,4,1,7
2013,USDA,RD,27,5,0,32
2013,USDA,REE,1,2,3,0
2013,USDA,RMA,15,9,0,24
2013,USIBWC,USIBWC,0,0,0,0
2013,USITC,USITC,0,0,0,0
2013,USNRC,USNRC,0,23,15,8
2013,USPS,OIG,3,38,35,6
2013,USPS,PS & PIS,17,93,96,14
2013,USTDA,USTDA,1,0,1,0
2013,USTR,USTR,0,3,2,1
2013,VA,Admin,0,0,0,0
2013,VA,BVA,0,0,0,0
2013,VA,C&LA,0,0,0,0
2013,VA,CFM,0,0,0,0
2013,VA,GC,190,298,243,245
2013,VA,HRM,0,0,0,0
2013,VA,IG,0,0,0,0
2013,VA,Mgmt,0,0,0,0
2013,VA,NCA,0,0,0,0
2013,VA,OAL,0,0,0,0
2013,VA,OASHRA,0,0,0,0
2013,VA,OASP&IA,0,0,0,0
2013,VA,ODASB,0,0,0,0
2013,VA,ODASIA,0,0,0,0
2013,VA,ODI,0,0,0,0
2013,VA,OF,0,0,0,0
2013,VA,OIT,0,0,0,0
2013,VA,ORM,0,0,0,0
2013,VA,OSDBU,0,0,0,0
2013,VA,OSP,0,0,0,0
2013,VA,P&P,0,0,0,0
2013,VA,PA,0,0,0,0
2013,VA,SEC,0,0,0,0
2013,VA,VBA,0,0,0,0
2013,VA,VHA,0,0,0,0
2014,ABMC,ABMC,0,0,0,0
2014,ACUS,ACUS,0,0,0,0
2014,AFRH,AFRH,0,0,0,0
2014,BBG,BBG,1,96,97,0
2014,CEQ,CEQ,0,0,0,0
2014,CFPB,CFPB,0,28,25,3
2014,CFTC,CFTC,4,8,6,6
2014,CIA,CIA,191,294,324,161
2014,CIGIE,CIGIE,2,8,10,0
2014,CNCS,CNCS,0,1,1,0
2014,CO,CO,1,0,1,0
2014,CPPBSD,CPPBSD,0,0,0,0
2014,CSB,CSB,0,3,3,0
2014,CSOSA,CSOSA,0,1,1,0
2014,DHS,CBP,16,1004,991,29
2014,DHS,FEMA,31,16,17,30
2014,DHS,FLETC,2,2,4,0
2014,DHS,ICE,33,477,339,171
2014,DHS,OGC,24,93,101,16
2014,DHS,OIG,28,16,25,19
2014,DHS,TSA,7,35,36,6
2014,DHS,USCG,29,32,28,33
2014,DHS,USCIS,63,1926,1919,70
2014,DHS,USSS,2,33,30,5
2014,DNFSB,DNFSB,0,1,0,1
2014,DOC,PTO,1,13,14,0
2014,DOC,AGC/Admin,36,56,55,37
2014,DoD,AF,124,210,186,148
2014,DoD,ARMY,35,105,114,26
2014,DoD,ASBCA,0,0,0,0
2014,DoD,DCAA,0,2,2,0
2014,DoD,DCMA,0,5,2,3
2014,DoD,DeCA,0,1,1,0
2014,DoD,DFAS,0,1,0,1
2014,DoD,DHA,4,17,8,13
2014,DoD,DIA,91,58,68,81
2014,DoD,DISA,4,6,10,0
2014,DoD,DLA,0,8,8,0
2014,DoD,DoD IG,27,19,22,24
2014,DoD,DSS,0,0,0,0
2014,DoD,DTRA,2,1,1,2
2014,DoD,NAVY,21,252,257,16
2014,DoD,NGA,13,7,9,11
2014,DoD,NRO,6,5,6,5
2014,DoD,NSA,67,177,133,111
2014,DoD,OSD/JS,308,185,134,359
2014,DOE,BPA,0,0,0,0
2014,DOE,CBFO,0,0,0,0
2014,DOE,CH,0,0,0,0
2014,DOE,EMCBC,0,0,0,0
2014,DOE,GFO,0,0,0,0
2014,DOE,HQ,9,79,77,11
2014,DOE,ID,0,0,0,0
2014,DOE,NETL,0,0,0,0
2014,DOE,NNSA,0,0,0,0
