Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
50 U.S.C. § 403g (Central Intelligency Agency Act of 1949),"Intelligence sources and methods; certain information pertaining to CIA employees, specifically: ?the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency?","Larson v. Dep?t of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff?d on other grounds, 541 F.3d 205 (3d Cir. 2008)",21,DoS,21
50 U.S.C. § 403g (Central Intelligency Agency Act of 1949),"Intelligence sources and methods; certain information pertaining to CIA employees, specifically: ?the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency?","Larson v. Dep?t of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff?d on other grounds, 541 F.3d 205 (3d Cir. 2008)",0,OIG,21
50 U.S.C. § 403-1(i)(1) (National Security Act of 1947),Intelligence sources and methods,"CIA v. Sims, 471 U.S. 159,167 (1985); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Wolf v. CIA, 473 F.3d 370, 378, 380 (D.C. Cir. 2007)",1,DoS,1
50 U.S.C. § 403-1(i)(1) (National Security Act of 1947),Intelligence sources and methods,"CIA v. Sims, 471 U.S. 159,167 (1985); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Wolf v. CIA, 473 F.3d 370, 378, 380 (D.C. Cir. 2007)",0,OIG,1
50 U.S.C. § 402 note (National Security Agency Act of 1959),Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees,"ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App'x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th (D.C. Cir. 1979); Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App'x. 591 (2d Cir. 2009).",4,DoS,4
50 U.S.C. § 402 note (National Security Agency Act of 1959),Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees,"ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App'x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th (D.C. Cir. 1979); Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App'x. 591 (2d Cir. 2009).",0,OIG,4
"19 U.S.C. §§ 2605(h), 2605(i) (Convention on Cultural Property Implementation Act)","Certain records pertaining to Cultural Property Advisory Committee proceedings where ""it is determined by the President or his designee that the disclosure of matters involved in the Committee's proceedings would compromise the Government's negotiating objectives or [certain] bargaining positions""; certain ""information (including trade secrets and commercial or financial information which is privileged or confidential) submitted in confidence by the private sector to officers or employees of the United States or to the [Cultural Property Advisory] Committee"" Certain records pertaining to Cultural Property Advisory Committee proceedings where ""it is determined by the President or his designee that the disclosure of matters involved in the Committee's proceedings would compromise the Government's negotiating objectives or [certain] bargaining positions""; certain ""information (including trade secrets and commercial or financial information which is privileged or confidential) submitted in confidence by the private sector to officers or employees of the United States or to the [Cultural Property Advisory] Committee"" Certain records pertaining to Cultural Property Advisory Committee proceedings where ""it is determined by the President or his designee that the disclosure of matters involved in the Committee's proceedings would compromise the Government's negotiating objectives or [certain] bargaining positions""; certain ""information (including trade secrets and commercial or financial information which is privileged or confidential) submitted in confidence by the private sector to officers or employees of the United States or to the [Cultural Property Advisory] Committee""","Ancient Coin Collectors Guild v. U.S. Dep't of State, 641 F.3d 504, 511 (D.C. Cir. 2011) (19 U.S.C. § 2605(h)); Ancient Coin Collectors Guild v. U.S. Dep't of State, 866 F. Supp. 2d 28, 32 (D.D.C. 2012) (19 U.S.C. § 2605(i)).",1,DoS,1
"19 U.S.C. §§ 2605(h), 2605(i) (Convention on Cultural Property Implementation Act)","Certain records pertaining to Cultural Property Advisory Committee proceedings where ""it is determined by the President or his designee that the disclosure of matters involved in the Committee's proceedings would compromise the Government's negotiating objectives or [certain] bargaining positions""; certain ""information (including trade secrets and commercial or financial information which is privileged or confidential) submitted in confidence by the private sector to officers or employees of the United States or to the [Cultural Property Advisory] Committee"" Certain records pertaining to Cultural Property Advisory Committee proceedings where ""it is determined by the President or his designee that the disclosure of matters involved in the Committee's proceedings would compromise the Government's negotiating objectives or [certain] bargaining positions""; certain ""information (including trade secrets and commercial or financial information which is privileged or confidential) submitted in confidence by the private sector to officers or employees of the United States or to the [Cultural Property Advisory] Committee"" Certain records pertaining to Cultural Property Advisory Committee proceedings where ""it is determined by the President or his designee that the disclosure of matters involved in the Committee's proceedings would compromise the Government's negotiating objectives or [certain] bargaining positions""; certain ""information (including trade secrets and commercial or financial information which is privileged or confidential) submitted in confidence by the private sector to officers or employees of the United States or to the [Cultural Property Advisory] Committee""","Ancient Coin Collectors Guild v. U.S. Dep't of State, 641 F.3d 504, 511 (D.C. Cir. 2011) (19 U.S.C. § 2605(h)); Ancient Coin Collectors Guild v. U.S. Dep't of State, 866 F. Supp. 2d 28, 32 (D.D.C. 2012) (19 U.S.C. § 2605(i)).",0,OIG,1
10 U.S.C. § 130,"Certain ""technical data with military or space application in the possession of, or under the control of, the Department of Defense""","Newport Aeronautical Sales v. Dep't of the Air Force, 684 F.3d 160, 165 (D.C. Cir. 2012); Chenkin v. Dep't of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff'd, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",1,DoS,1
10 U.S.C. § 130,"Certain ""technical data with military or space application in the possession of, or under the control of, the Department of Defense""","Newport Aeronautical Sales v. Dep't of the Air Force, 684 F.3d 160, 165 (D.C. Cir. 2012); Chenkin v. Dep't of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff'd, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",0,OIG,1
22 U.S.C. § 4004 (Foreign Service Act),Protects Foreign Service employee records,No,1,DoS,1
22 U.S.C. § 4004 (Foreign Service Act),Protects Foreign Service employee records,No,0,OIG,1
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",1,DoS,1
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",0,OIG,1
