"7 USC §8791","Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information....maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.","Ctr. for Biological Diversity v. USDA, 626 F3d. 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C.C 2009).","48","NRCS","213"
"7 USC §8791","Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information....maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain geospatial information...maintained by the Secretary.","Ctr. for Biological Diversity v. USDA, 626 F3d. 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C.C 2009).","2","RMA","213"
"16 USC §470hh","Information pertaining to the nature and location of certain archaeological resources.<br/>Information pertaining to the nature and location of certain archaeological resources.","Hornbostel v. US Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","33","FS","35"
"16 USC §470hh","Information pertaining to the nature and location of certain archaeological resources.<br/>Information pertaining to the nature and location of certain archaeological resources.","Hornbostel v. US Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","2","NRCS","35"
"7 USC §8401(h)(1)(c)","Site specific or transfer specific safeguard and security measures used by a registered person to prevent unauthorized access.","None.","3","REE","3"
"41 USC §4702","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.<br/>Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.<br/>Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","Sinkerfield v. HUD, No. 10-885, 2012 US Dist. Lexis 35233, at 13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (DC Cir. Aug. 25, 2004).","3","NRCS","7"
"41 USC §4702","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.<br/>Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.<br/>Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","Sinkerfield v. HUD, No. 10-885, 2012 US Dist. Lexis 35233, at 13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (DC Cir. Aug. 25, 2004).","3","OSEC/OCIO/DM","7"
"41 USC §4702","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.<br/>Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.<br/>Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","Sinkerfield v. HUD, No. 10-885, 2012 US Dist. Lexis 35233, at 13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (DC Cir. Aug. 25, 2004).","1","RD","7"
Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Numberof Times Relied upon per Component,Total Number of Times Relied upon by Agency
"7 U.S.C. § 608(d)(2)","Information for marketing order programs that are categorized as trade secrets and commericial or financial information.","None.","1","AMS","1"
"7 U.S.C. § 1502(c)","Personal information provided by agricultural producer (policy information, yield data, etc.)<br/>Personal information provided by agricultural producer (policy information, yield data, etc.)","None.","5","NRCS","13"
"7 U.S.C. § 1502(c)","Personal information provided by agricultural producer (policy information, yield data, etc.)<br/>Personal information provided by agricultural producer (policy information, yield data, etc.)","None.","8","RMA","13"
"7 U.S.C. § 2018(c)","Information obtained pursuant to chapter 51 of title 7 of the United States Code, which concerns the handling of information submitted by applicants to the Supplemental Nutrition Assistance Program","Argus Leader Media v. U.S. Dep't of Agriculture, 2012 WL 4482939 (Sept. 27, 2012)","79","FNCS","79"
"7 U.S.C. § 2276(a)(2)
(Food Security Act of 1985)",""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information"<br/>"[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information"<br/>"[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information"","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C 2010).","2","AMS","6"
"7 U.S.C. § 2276(a)(2)
(Food Security Act of 1985)",""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information"<br/>"[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information"<br/>"[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information"","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C 2010).","2","REE","6"
"7 U.S.C. § 2276(a)(2)
(Food Security Act of 1985)",""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information"<br/>"[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information"<br/>"[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information"","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C 2010).","2","RD","6"
"7 U.S.C. § 8791",""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"","Ctr. for Biological Diversity v. USDA, 626 F3d. 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C.C 2009).","13","APHIS","230"
"7 U.S.C. § 8791",""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"","Ctr. for Biological Diversity v. USDA, 626 F3d. 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C.C 2009).","158","FSA","230"
"7 U.S.C. § 8791",""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"","Ctr. for Biological Diversity v. USDA, 626 F3d. 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C.C 2009).","56","NRCS","230"
"7 U.S.C. § 8791",""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"<br/>"[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information . . . maintained by the Secretary"","Ctr. for Biological Diversity v. USDA, 626 F3d. 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C.C 2009).","3","RMA","230"
"16 U.S.C. § 470hh
(Archaeological Resources Protection Act of 1979)","Information pertaining to the nature and location of certain archaeological resources.<br/>Information pertaining to the nature and location of certain archaeological resources.","Hornbostel v. US Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","21","FS","23"
"16 U.S.C. § 470hh
(Archaeological Resources Protection Act of 1979)","Information pertaining to the nature and location of certain archaeological resources.<br/>Information pertaining to the nature and location of certain archaeological resources.","Hornbostel v. US Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","2","NRCS","23"
"16 USC 470w-3","Information about the location, character, or ownership of a historic resource","None.","21","FS","21"
"41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts<br/>Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","6","NRCS","9"
"41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts<br/>Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","3","OSEC/OCIO/DM","9"
Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Numberof Times Relied upon per Component,Total Number of Times Relied upon by Agency
"5 U.S.C. § 574(b)","Information in connection with dispute resoultion.","None.","4","AMS","4"
"7 U.S.C. § 608d(2)","Information for marketing order programs that is categorized as trade secrets and commercial or financial information.","None.","3","AMS","3"
"7 U.S.C. § 1502 (c)","Personal information in connection with policy holders and/or yield data.","None.","2","RMA","2"
"7 U.S.C. § 2018 (c)","Names and other personally identifiable information of SNAP (Food Stamps) recipients and firms participating  in program.","Argus Leader Media v. US Dep't of Agriculture, 2012 WL 4482939 (Sept. 27, 2012).","25","FNCS","25"
"7 U.S.C. § 2276(a)(2)","Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information.<br/>Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular inf","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C. 2010).","1","AMS","6"
"7 U.S.C. § 2276(a)(2)","Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information.<br/>Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular inf","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C. 2010).","5","REE","6"
"7 U.S.C. § 8791","Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial information...maintained by the the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).","25","APHIS","354"
"7 U.S.C. § 8791","Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial information...maintained by the the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).","261","FSA","354"
"7 U.S.C. § 8791","Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial information...maintained by the the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).","51","NRCS","354"
"7 U.S.C. § 8791","Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial information...maintained by the the Secretary.<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial<br/>Information provided by an agricultural producer or owner of agricultural land concerning agricultural operations, farming, or conservation practices, or the land itself, in order to participate in programs of the Department and certain certain geospatial","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).","17","RMA","354"
"16 U.S.C. § 470hh","Information pertaining to the nature and location of certain archaeological resources.<br/>Information pertaining to the nature and location of certain archaeological resources.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","30","FS","31"
"16 U.S.C. § 470hh","Information pertaining to the nature and location of certain archaeological resources.<br/>Information pertaining to the nature and location of certain archaeological resources.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","1","NRCS","31"
"16 U.S.C. § 470w-3","Archaeological site maps, cultural resources and historic sites.","None.","14","FS","14"
"41 U.S.C. § 2102","Contractor bid or proposal information; source selection information.","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at 3-4 (E.D. Cal. May 4, 2001)(dictum).","1","OGC","1"
"41 U.S.C. § 4702(b)","Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.","Sinkerfield v. HUD, No. 10-885, 2012 U.S. Dist. Lexis 35233, at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. Dep't of the Interior, 305 F. Supp. 2d. 21,30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","3","APHIS","15"
"41 U.S.C. § 4702(b)","Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.","Sinkerfield v. HUD, No. 10-885, 2012 U.S. Dist. Lexis 35233, at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. Dep't of the Interior, 305 F. Supp. 2d. 21,30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","10","FSA","15"
"41 U.S.C. § 4702(b)","Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.","Sinkerfield v. HUD, No. 10-885, 2012 U.S. Dist. Lexis 35233, at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. Dep't of the Interior, 305 F. Supp. 2d. 21,30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","1","NRCS","15"
"41 U.S.C. § 4702(b)","Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.","Sinkerfield v. HUD, No. 10-885, 2012 U.S. Dist. Lexis 35233, at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. Dep't of the Interior, 305 F. Supp. 2d. 21,30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","1","OGC","15"
Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Numberof Times Relied upon per Component,Total Number of Times Relied upon by Agency
"5 U.S.C. § 574(b)","Information in connection with a dispute resolution.","None.","1","AMS","1"
"7 U.S.C. § 136i-1","Data "that would directly or indirectly reveal the identity of individual producers [of certain pesticides]."","Doe v. Veneman, 380 F.3d 807, 818 (5th Cir. 2004).","2","APHIS","2"
"7 U.S.C. § 608(d)(2)","Information for marketing order programs that is categorized as trade secrets and commercial or financial information.","None.","1","AMS","1"
"7 U.S.C. § 1502(c)","Personal information in connection with policy holders and /or yield data.","None.","3","FSA","9"
"7 U.S.C. § 1502(c)","Personal information in connection with policy holders and /or yield data.","None.","2","NRCS","9"
"7 U.S.C. § 1502(c)","Personal information in connection with policy holders and /or yield data.","None.","4","RMA","9"
"7 U.S.C. § 2018(c)","Names and other personally identifiable information of SNAP (Food Stamps) recipients and firms participating in program.","Argus Leader Media v. U.S. Dep't of Agriculture, 2012 WL 4482939 (Sept. 27, 2012).","56","FNCS","56"
"7 U.S.C. § 2105(c)","Information provided by handlers or any class of handlers in preparation of the filing of reports.","None","1","AMS","1"
"7 U.S.C. § 2276(a)(2)",""Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information."","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C. 2010).","2","FSA","5"
"7 U.S.C. § 2276(a)(2)",""Information furnished under a provision of law referred to in subsection (d) of this section?unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information."","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C. 2010).","3","REE","5"
