Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
OPHS/PSC,205,43,14,14,10,1,6,0,1,0,1,1,1,297,2010
Total,35349,4179,1947,1303,1114,869,676,585,455,343,1461,600,588,49469,2010
ACF,6,5,11,18,17,11,28,10,19,20,78,9,154,386,2011
AOA,16,0,0,0,0,0,0,0,0,0,0,0,0,16,2011
CMS,38244,5083,1933,1113,796,412,260,156,152,84,266,90,52,48641,2011
OIG,466,2,0,0,0,0,0,0,0,0,0,0,0,468,2011
AHRQ,33,1,2,1,0,0,0,0,0,0,0,0,0,37,2011
CDC,17,8,8,0,2,0,1,3,0,0,1,0,0,40,2011
FDA,2423,717,438,392,492,441,244,116,91,81,253,99,220,6007,2011
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
IHS,14,8,9,11,4,3,3,2,4,0,0,0,0,58,2011
NIH,788,251,65,30,19,9,11,7,9,5,7,2,1,1204,2011
SAMHSA,1,32,17,0,0,0,0,0,0,0,0,0,0,50,2011
OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
OASH,235,74,29,28,11,3,4,0,3,0,1,1,0,389,2011
Total,42243,6181,2512,1593,1341,879,551,294,278,190,606,201,427,57296,2011
ACF,31,23,20,11,8,6,14,4,1,3,16,2,36,175,2012
CMS,41338,5773,918,406,200,129,63,35,21,5,41,12,11,48952,2012
OIG,425,2,0,0,0,0,0,0,0,0,0,0,0,427,2012
AHRQ,24,0,0,0,0,0,0,0,0,0,0,0,0,24,2012
CDC,4,26,5,2,0,0,0,0,0,0,1,0,2,40,2012
FDA,182,357,532,504,369,497,414,495,462,399,1684,109,199,6203,2012
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
IHS,19,16,14,8,4,6,5,7,0,0,0,0,0,79,2012
NIH,704,205,52,10,0,0,0,0,1,0,0,0,0,972,2012
SAMHSA,12,10,12,16,4,1,0,0,0,0,0,0,0,55,2012
OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
OASH,181,35,8,5,4,1,1,3,0,0,0,0,0,238,2012
ACL,18,0,0,0,0,0,0,0,0,0,0,0,0,18,2012
Total,42938,6447,1561,962,589,640,497,544,485,407,1742,123,248,57183,2012
ACF,23,2,2,0,3,3,2,0,2,3,10,24,102,176,2013
CMS,40613,3614,751,329,192,116,92,86,72,54,486,274,84,46763,2013
OIG,453,0,0,0,0,0,0,0,0,0,0,0,0,453,2013
AHRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
CDC,213,54,26,14,17,10,10,10,6,6,14,10,31,421,2013
FDA,436,493,544,436,431,471,493,533,460,420,1430,105,149,6401,2013
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
IHS,15,21,19,3,0,0,0,0,0,0,0,0,0,58,2013
NIH,796,198,38,8,6,0,0,0,0,0,0,0,0,1046,2013
SAMHSA,23,5,7,0,3,2,4,4,4,6,5,5,5,73,2013
OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
OASH,206,0,0,0,0,0,0,0,0,0,0,0,0,206,2013
ACL,17,0,1,0,0,0,0,0,0,0,0,0,0,18,2013
Total,42795,4387,1388,790,652,602,601,633,544,489,1945,418,371,55615,2013
ACF,382,90,50,236,150,73,80,1,0,1,2,3,15,1083,2014
CMS,16341,2493,423,171,96,50,43,41,34,16,154,148,82,20092,2014
OIG,515,0,0,0,0,0,0,0,0,0,0,0,0,515,2014
CDC,268,57,28,21,15,7,5,4,9,10,10,0,9,443,2014
FDA,320,461,577,497,598,454,613,548,463,415,1628,134,68,6776,2014
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
IHS,15,23,21,5,0,0,0,0,0,0,0,0,0,64,2014
NIH,743,171,27,5,2,0,0,0,0,0,0,0,0,948,2014
SAMHSA,9,12,2,12,2,2,1,0,1,2,13,5,1,62,2014
OS,33,1,0,0,0,0,0,0,0,0,0,0,0,34,2014
OASH,188,5,0,0,0,0,0,0,0,0,0,0,0,193,2014
ACL,5,3,0,0,0,0,0,0,0,0,0,0,0,8,2014
Total,18819,3316,1128,947,863,586,742,594,507,444,1807,290,175,30218,2014
ACF,397,86,9,11,20,47,97,118,109,17,17,3,6,937,2015
CMS,17098,62,59,22,1,1,1,0,0,1,0,0,0,17245,2015
OIG,762,0,0,0,0,0,0,0,0,0,0,0,0,762,2015
CDC,185,52,35,29,16,21,10,11,13,11,21,18,34,456,2015
FDA,5249,559,178,96,50,60,46,28,44,28,0,0,0,6338,2015
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
IHS,21,23,19,0,0,0,0,0,0,0,0,0,0,63,2015
NIH,787,176,21,6,0,0,0,0,0,0,0,0,0,990,2015
SAMHSA,59,2,5,3,2,2,2,0,0,0,5,0,1,81,2015
OS,668,18,0,0,0,0,0,0,0,0,0,0,0,686,2015
OASH,23,193,1,0,0,0,0,0,0,0,0,0,0,217,2015
ACL,4,5,0,0,2,0,0,0,0,0,0,0,0,11,2015
Total,25253,1176,327,167,91,131,156,157,166,57,43,21,41,27786,2015
