Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
OPHS/PSC,205,43,14,14,10,1,6,0,1,0,1,1,1,297,2010
Total,35349,4179,1947,1303,1114,869,676,585,455,343,1461,600,588,49469,2010
ACF,6,5,11,18,17,11,28,10,19,20,78,9,154,386,2011
AOA,16,0,0,0,0,0,0,0,0,0,0,0,0,16,2011
CMS,38244,5083,1933,1113,796,412,260,156,152,84,266,90,52,48641,2011
OIG,466,2,0,0,0,0,0,0,0,0,0,0,0,468,2011
AHRQ,33,1,2,1,0,0,0,0,0,0,0,0,0,37,2011
CDC,17,8,8,0,2,0,1,3,0,0,1,0,0,40,2011
FDA,2423,717,438,392,492,441,244,116,91,81,253,99,220,6007,2011
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
IHS,14,8,9,11,4,3,3,2,4,0,0,0,0,58,2011
NIH,788,251,65,30,19,9,11,7,9,5,7,2,1,1204,2011
SAMHSA,1,32,17,0,0,0,0,0,0,0,0,0,0,50,2011
OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
OASH,235,74,29,28,11,3,4,0,3,0,1,1,0,389,2011
Total,42243,6181,2512,1593,1341,879,551,294,278,190,606,201,427,57296,2011
ACF,31,23,20,11,8,6,14,4,1,3,16,2,36,175,2012
CMS,41338,5773,918,406,200,129,63,35,21,5,41,12,11,48952,2012
OIG,425,2,0,0,0,0,0,0,0,0,0,0,0,427,2012
AHRQ,24,0,0,0,0,0,0,0,0,0,0,0,0,24,2012
CDC,4,26,5,2,0,0,0,0,0,0,1,0,2,40,2012
FDA,182,357,532,504,369,497,414,495,462,399,1684,109,199,6203,2012
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
IHS,19,16,14,8,4,6,5,7,0,0,0,0,0,79,2012
NIH,704,205,52,10,0,0,0,0,1,0,0,0,0,972,2012
SAMHSA,12,10,12,16,4,1,0,0,0,0,0,0,0,55,2012
OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
OASH,181,35,8,5,4,1,1,3,0,0,0,0,0,238,2012
ACL,18,0,0,0,0,0,0,0,0,0,0,0,0,18,2012
Total,42938,6447,1561,962,589,640,497,544,485,407,1742,123,248,57183,2012
HQ,318,86,39,29,14,13,5,13,6,4,12,0,0,539,2013
OIG,10,45,8,0,0,0,0,0,0,0,0,0,0,63,2013
R01,2,45,8,0,0,0,0,0,0,0,0,0,0,55,2013
R02,46,18,5,1,0,0,0,0,0,0,0,0,0,70,2013
R03,85,20,1,0,0,0,0,0,0,0,0,0,0,106,2013
R04,165,27,4,4,0,0,0,0,0,0,0,0,0,200,2013
R05,50,52,0,0,0,0,0,0,0,0,0,0,0,102,2013
R06,126,15,3,3,0,0,0,0,0,0,0,0,0,147,2013
R07,26,7,1,0,0,0,0,0,0,0,0,0,0,34,2013
R08,47,32,7,4,0,0,1,0,0,0,0,0,0,91,2013
R09,100,32,14,7,4,0,0,2,0,0,0,0,0,159,2013
R0X,53,13,1,1,1,0,0,0,0,0,0,0,0,69,2013
Total,1028,392,91,49,19,13,6,15,6,4,12,0,0,1635,2013
ACF,382,90,50,236,150,73,80,1,0,1,2,3,15,1083,2014
CMS,16341,2493,423,171,96,50,43,41,34,16,154,148,82,20092,2014
OIG,515,0,0,0,0,0,0,0,0,0,0,0,0,515,2014
CDC,268,57,28,21,15,7,5,4,9,10,10,0,9,443,2014
FDA,320,461,577,497,598,454,613,548,463,415,1628,134,68,6776,2014
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
IHS,15,23,21,5,0,0,0,0,0,0,0,0,0,64,2014
NIH,743,171,27,5,2,0,0,0,0,0,0,0,0,948,2014
SAMHSA,9,12,2,12,2,2,1,0,1,2,13,5,1,62,2014
OS,33,1,0,0,0,0,0,0,0,0,0,0,0,34,2014
OASH,188,5,0,0,0,0,0,0,0,0,0,0,0,193,2014
ACL,5,3,0,0,0,0,0,0,0,0,0,0,0,8,2014
Total,18819,3316,1128,947,863,586,742,594,507,444,1807,290,175,30218,2014
HQ,309,117,53,30,33,39,17,10,5,6,21,10,0,650,2015
OIG,121,6,0,0,0,0,0,0,0,0,0,0,0,127,2015
R01,46,5,4,3,3,2,5,3,3,1,0,0,0,75,2015
R02,41,19,2,1,0,0,0,1,0,0,0,0,0,64,2015
R03,100,16,4,2,3,1,1,0,0,0,0,0,0,127,2015
R04,128,26,8,1,1,1,0,0,0,0,1,0,0,166,2015
R05,45,26,8,1,0,1,0,0,0,0,0,0,1,82,2015
R06,72,9,3,1,0,1,0,0,0,0,0,0,0,86,2015
R07,23,7,0,0,0,0,0,0,0,0,0,0,0,30,2015
R08,50,12,7,7,6,1,0,2,0,0,0,0,0,85,2015
R09,95,40,11,7,2,2,2,4,4,2,3,0,0,172,2015
R0X,32,7,2,0,0,0,1,1,0,0,0,0,0,43,2015
Total,1062,290,102,53,48,48,26,21,12,9,25,10,1,1707,2015
