SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
2442,SK,MISS SHELL SEAFOOD INC,PO BOX 1169,TAVERNIER,FL,33070-1169,05/20/2013,06/30/2014
1619,SK,#1 DISCOUNT CORNER LLC,190 AZALEA ST,TAVERNIER,FL,33070-2201,04/01/2013,03/31/2014
479,SK,PHILLIPS SEAFOOD INC,1418 SAPELO AVE NE,TOWNSEND,GA,31331-5732,12/01/2012,11/30/2013
476,SK,D AND C SEAFOOD INC,PO BOX 127,BOOTHVILLE,LA,70038-0127,01/01/2013,12/31/2013
1467,SK,TUNACO INC,PO BOX 117,DULAC,LA,70353-0117,09/01/2013,08/31/2014
131,SK,STEVEN SEAFOOD INC,8893 SHRIMPERS ROW,DULAC,LA,70353-2213,10/01/2012,09/30/2013
255,SK,3-G ENTERPRISES INC,PO BOX 640,GOLDEN MEADOW,LA,70357-0640,10/01/2012,09/30/2013
1209,SK,JENSEN TUNA INC,5885 HIGHWAY 311,HOUMA,LA,70360-6668,05/01/2013,04/30/2014
557,SK,HARLONS LA FISH LLC,PO BOX 486,KENNER,LA,70063-0486,09/01/2013,08/31/2014
1334,SK,VENICE SEAFOOD LLC,PO BOX 207,VENICE,LA,70091-0207,06/01/2013,05/31/2014
304,SK,SHARKCO SEAFOOD INTERNATIONAL LLC,707 JUMP BASIN RD,VENICE,LA,70091-4351,09/01/2013,08/31/2014
99,SK,F J OHARA & SONS INC,7 FID KENNEDY AVE,BOSTON,MA,02210-2321,07/01/2013,06/30/2014
106,SK,JOHN NAGLE CO,306 NORTHERN AVE,BOSTON,MA,02210-2324,11/01/2012,10/31/2013
1341,SK,BOSTON SWORD & TUNA INC,8 SEAFOOD WAY,BOSTON,MA,02210-2603,07/01/2013,06/30/2014
2162,SK,HARBOR BLUE SEAFOOD INC,4 WASHINGTON ST,FAIRHAVEN,MA,02719-2918,06/01/2013,05/31/2014
2360,SK,OCEAN CREST SEAFOODS INC,88 COMMERCIAL ST,GLOUCESTER,MA,01930-5025,07/01/2013,06/30/2014
1750,SK,OCEANS FLEET FISHERIES INC,20 BLACKMER ST,NEW BEDFORD,MA,02744-2614,01/01/2013,12/31/2013
1272,SK,MARTHAS VINEYARD SEAFOOD GROUP INC,PO BOX 1686,VINEYARD HVN,MA,02568-0909,08/01/2013,01/31/2014
1982,SK,KERRY FERGUSON HARRINGTON,PO BOX 196,BERLIN,MD,21811-0196,11/01/2012,10/31/2013
656,SK,SOUTHERN CONNECTION SEAFOOD INC,27040 HEARTS DR,CRISFIELD,MD,21817-2616,08/01/2013,07/31/2014
2424,SK,MARTIN FISH COMPANY LLC,12929 HARBOR RD,OCEAN CITY,MD,21842-9275,03/14/2013,12/31/2013
2025,SK,PORTLAND FISH EXCHANGE,6 PORTLAND FISH PIER,PORTLAND,ME,04101-4620,09/01/2013,08/31/2014
618,SK,AVON SEAFOOD,PO BOX 251,AVON,NC,27915-0251,06/01/2013,05/31/2014
2255,SK,QUALITY SEAFOOD,PO BOX 659,CEDAR ISLAND,NC,28520-0659,10/01/2012,09/30/2013
1746,SK,JAMES STYRON FISH CO,PO BOX 56,DAVIS,NC,28524-0056,03/27/2013,01/31/2014
669,SK,ENGELHARD SEAFOOD INC,PO BOX 190,ENGELHARD,NC,27824-0190,07/01/2013,06/30/2014
1279,SK,JANET W WHITBECK INC,PO BOX 515,HATTERAS,NC,27943-0515,06/01/2013,05/31/2014
2243,SK,BEAUFORT & INLET SEAFOOD CO INC,PO BOX 3321,NEW BERN,NC,28564-3321,07/01/2013,06/30/2014
1688,SK,OCRACOKE SEAFOOD COMPANY,PO BOX 1165,OCRACOKE,NC,27960-1165,06/01/2013,05/31/2014
2176,SK,BF MILLIS & SONS INC,PO BOX 376,SNEADS FERRY,NC,28460-0376,05/02/2013,04/30/2014
2337,SK,FINZ N TAILZ FISH COMPANY INC,3330 OLD FERRY RD SW,SUPPLY,NC,28462-2288,04/17/2013,05/31/2014
1354,SK,SURF CITY CRAB INC,508 ROLAND AVE,SURF CITY,NC,28445-6687,04/01/2013,03/31/2014
2389,SK,NEWMAN SEAFOOD INC,PO BOX 101,SWANQUARTER,NC,27885-0101,10/16/2012,12/31/2013
921,SK,WILLIE R ETHERIDGE SEAFOOD CO INC,PO BOX 77,WANCHESE,NC,27981-0077,03/01/2013,02/28/2014
941,SK,WANCHESE FISH CO INC,PO BOX 369,WANCHESE,NC,27981-0369,01/01/2013,12/31/2013
1766,SK,GRAYBEARDS LLC,PO BOX 700,WANCHESE,NC,27981-0700,02/01/2013,01/31/2014
1124,SK,ONEALS SEA HARVEST INC,PO BOX 708,WANCHESE,NC,27981-0708,04/01/2013,03/31/2014
1871,SK,SELBY BLEDSOE LEWIS,6125 CHILCOT LN,WILMINGTON,NC,28409-2064,09/01/2013,08/31/2014
94,SK,VIKING VILLAGE INC,PO BOX 458,BARNEGAT LGT,NJ,08006-0458,11/01/2012,10/31/2013
2464,SK,LIGHTHOUSE MARINA PARTNERSHIP,PO BOX 705,BARNEGAT LGT,NJ,08006-0705,08/12/2013,12/31/2014
35,SK,COLD SPRING FISH AND SUPPLY CO INC,906 SCHELLENGER ST,CAPE MAY,NJ,08204-1775,11/01/2012,10/31/2013
109,SK,ATLANTIC CAPES FISHERIES INC,985 OCEAN DR,CAPE MAY,NJ,08204-1855,04/01/2013,03/31/2014
119,SK,LUNDS FISHERIES INC,997 OCEAN DR,CAPE MAY,NJ,08204-1855,05/01/2013,04/30/2014
546,SK,FISHERMENS DOCK COOPERATIVE INC,PO BOX 1314,PT PLEASANT B,NJ,8742,12/01/2012,11/30/2013
859,SK,KASHIKO INC,4164 ATLANTIC AVE,WALL TOWNSHIP,NJ,07727-3712,05/01/2013,04/30/2014
1835,SK,DOCK ST SEAFOOD INC,4408 PARK BLVD,WILDWOOD,NJ,08260-1731,07/01/2013,06/30/2014
1400,SK,AGGER FISH CORP,63 FLUSHING AVE,BROOKLYN,NY,11205,10/01/2012,09/30/2013
1383,SK,WHITE CAP FISH MARKET CORP,120 MAIN ST,ISLIP,NY,11751-3431,06/01/2013,05/31/2014
1679,SK,SAVI SEAFOODS LLC,7649 CHARLEMONT DR,MANLIUS,NY,13104-9517,04/01/2013,03/31/2014
80,SK,BOB GOSMAN CO INC,PO BOX 2340,MONTAUK,NY,11954,01/01/2013,12/31/2013
51,SK,CELESTIAL FOOD DISTRIBUTORS INC,43 CELESTIAL DR,SAUNDERSTOWN,RI,02874-2380,06/01/2013,05/31/2014
1443,SK,HUFFS SEAFOOD,765 FOLLY RD,CHARLESTON,SC,29412-3456,06/10/2013,05/31/2014
1387,SK,SEASONAL SEAFOOD,1823 WALSINGHAM WAY,CHARLESTON,SC,29412-3924,08/01/2013,07/31/2014
957,SK,CROSBYS FISH AND SHRIMP COMPANY,2223 FOLLY RD,CHARLESTON,SC,29412-9542,02/01/2013,01/31/2014
1431,SK,POSTON SEAFOOD,512 JACOBS AVE,GEORGETOWN,SC,29440-5873,04/01/2013,03/31/2014
2402,SK,TEES SEAFOOD,4431 MIXEDWOOD DR,LADSON,SC,29456-3767,11/26/2012,12/31/2013
498,SK,LITTLE RIVER FISH HOUSE INC,PO BOX 855,LITTLE RIVER,SC,29566-0855,01/01/2013,12/31/2013
530,SK,CAROLINA SEAFOODS INC,PO BOX 396,MCCLELLANVILLE,SC,29458,01/01/2013,12/31/2013
2408,SK,TARVIN SEAFOOD INC,337 SEEWEE CIR,MT PLEASANT,SC,29464-2529,12/05/2012,11/30/2013
2182,SK,ABUNDANT SEAFOOD,976 HOUSTON NORTHCUTT BLVD,MT PLEASANT,SC,29464-3488,04/01/2013,03/31/2014
1770,SK,SCOTT ROBERT RAUCH,2004 ARUNDEL PL,MT PLEASANT,SC,29464-6200,01/01/2013,12/31/2013
2003,SK,YONGES ISLAND FISH COMPANY INC,4435 COX PLANTATION RD,YONGES ISLAND,SC,29449-6276,03/01/2013,02/28/2014
2273,SK,KATIES SEAFOOD LLC,1902 WHARF RD,GALVESTON,TX,77550-1652,08/01/2013,07/31/2014
487,SK,GEORGES SEAFOOD INC,PO BOX 7207,NORFOLK,VA,23509-0207,06/01/2013,05/31/2014
1359,SK,K AND A SEAFOOD,4401 MONMOUTH CASTLE RD,VIRGINIA BCH,VA,23455-6107,09/01/2013,08/31/2014
2145,SK,LILLISTON SEAFOOD,PO BOX 438,WACHAPREAGUE,VA,23480-0438,08/08/2012,01/31/2014
