Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),,
FOIA-2016-00586,DAG,12/18/2015,US Government planning on Guantanamo Bay,Partial Grant/Partial Denial of referred records,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,,
FOIA-2016-00614,AG,12/18/2015,"Two memoranda dated August 13, 1971 to then-Office of Legal Counsel Assistant Attorney General William Rehnquist, regarding the power of Congress to bind a subsequent Congress, and ""Micronesian Negotiations""",Referred requester and/or request to more appropriate entity (OLC),,,,
FOIA-2016-00659,OIP,12/18/2015,FOIA requests submitted by The New York Times,Partial Grant/Partial Denial: All requested documents RIP,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2016-00768,OIP,12/18/2015,"Records related to Thomas Perrelli's monitoring of Citigroup, Inc.'s settlement with Department of Justice",Informed requester that the FOIA is a records access statute and not applicable to this query; Provided additional information and assistance,,,,
FOIA-2016-00815,OLA,12/18/2015,"Department of Justice answers to Senator Chuck Grassley’s October 8, 2015 letter",Full Grant: All requested documents RIF,,,,
FOIA-2016-00879,AG,12/18/2015,records concerning the termination of the Department's Obscenity Prosecution Task Force in 2011,Full Grant of referred records,,,,
FOIA-2016-00899,OIP,12/18/2015,"All negative information, reports, and TECS hits",Referred requester and/or request to more appropriate entity (DHS),,,,
FOIA-2016-00991,AG,12/18/2015,Documents related to the drafting of Executive Order 10450 in 1953,Referred requester and/or request to more appropriate entity (CRM),,,,
FOIA-2016-01029,OIP,12/18/2015,"Records pertaining to the Sept. 22 shooting of Tareik Artis in Lincoln, Nebraska",Referred requester and/or request to more appropriate entity (USMS),,,,
FOIA-2014-02854,AG,12/21/2015,Then-Acting United States Attorney John Durham’s review into whether federal laws were violated in connection with the destruction of specific Central Intelligence Agency videotapes and the interrogation of specific detainees at overseas locations,Full Denial: All requested documents WIF,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,,
FOIA-2014-02855,DAG,12/21/2015,Then-Acting United States Attorney John Durham’s review into whether federal laws were violated in connection with the destruction of specific Central Intelligence Agency videotapes and the interrogation of specific detainees at overseas locations,Full Denial: All requested documents WIF,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,,
FOIA-2014-02856,AG,12/21/2015,Then-Acting United States Attorney John Durham’s review into whether federal laws were violated in connection with the destruction of specific Central Intelligence Agency videotapes and the interrogation of specific detainees at overseas locations,Full Denial: All requested documents WIF,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,,
FOIA-2014-02857,DAG,12/21/2015,Then-Acting United States Attorney John Durham’s review into whether federal laws were violated in connection with the destruction of specific Central Intelligence Agency videotapes and the interrogation of specific detainees at overseas locations,Full Denial: All requested documents WIF,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,,
FOIA-2015-05249,AG,12/21/2015,Contents of the alien file on Boleslavs Maikovskis (deceased),Full Grant of referred records,,,,
FOIA-2016-00973,OIP,12/21/2015,"Copy of the ""official agreement between the McIntosh Sheriff's Department of McIntosh, GA and the Darien Police Department of Darien, GA""",Provided relevant information and assistance,,,,
FOIA-2016-01037,OIP,12/21/2015,Information concerning Advanced Correctional Heathcare,Provided relevant information and assistance,,,,
FOIA-2015-05747,PAO,12/22/2015,"Communication between former AG Catherine Cortez Masto and the Attorney General from Jan 5, 2007 to Jan 5, 2015",No Records responsive to request were located,,,,
FOIA-2016-00875,OIP,12/22/2015,Assistance in receiving a response to several requests for records Requester made to the Northumberland County Commissioner’s Office,Provided relevant information and assistance,,,,
FOIA-2015-05617,DAG,12/30/2015,Federal Bureau of Investigation (FBI) records concerning a third party,Partial Grant/Partial Denial/Partial Referral: Records referred to FBI for further review,(b)(7)(E),"Records or information compiled for law enforcement purposes, the release of which would disclose techniques and procedures for law enforcement investigations or prosecutions ",,
FOIA-2016-01145,OIP,12/30/2015,Information on the investigation of the Isabella Stewart Gardner Museum art theft,"Referred requester and/or request to more appropriate entity (FBI, EOUSA)",,,,
FOIA-2016-01164,OIP,12/30/2015,Records concerning the FBI,Referred requester and/or request to more appropriate entity (FBI),,,,
FOIA-2014-04516,OIP,12/31/2015,Records about FOIA Request No. OIP/13-00830 (F),Partial Grant/Partial Denial: All requested documents RIP,"(b)(5), (b)(6) ",Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would clearly constitute unwarranted invasion of personal privacy of a third party,,
