Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2013-00188,OIP,11/14/12,Records on a third party,"Determined that the U.S. Citizenship and Immigration Services, DHS, was the most appropriate entity for handling, and referred requester to that office for processing",,,
FOIA-2013-00193,OIP,11/14/12,Records on a third party,"Determined that the U.S. Citizenship and Immigration Services, DHS, and the Dep't of State, were the most appropriate entities for handling, and referred requester to those entities for processing",,,
FOIA-2013-00324,OIP,11/14/12,Information about the procedures for implementing the Freedom of Information Act and the Privacy Act,"Provided requester with various reference materials available on the OIP website, including the DOJ FOIA Reference Guide, DOJ FOIA and Privacy Act Regulations (located within Title 28 of the Code of Federal Regulations), as well as a copy of the handbook A Citizen's Guide to the Freedom of Information Act(publicly available from the U.S. House of Representatives)",,,
FOIA-2013-00356,OAG,11/14/12,Copies of personal records as well as records on several private entities,No Records,,,
FOIA-2013-00357,ODAG,11/14/12,Copies of personal records as well as records on several private entities,No Records,,,
FOIA-2013-00358,OASG,11/14/12,Copies of personal records as well as records on several private entities,No Records,,,
FOIA-2013-00359,OIP,11/14/12,Copies of personal records as well as records on several private entities,No Records,,,
FOIA-2013-00568,OIP,11/14/12,Information on a third party,Provided requester with DOJ FOIA Reference Guide and information on requesting records on individuals to assist requester in identifying proper DOJ component for request,,,
FOIA-2013-00570,OIP,11/14/12,United States Attorney's Office in the Southern District of Texas records from 2009 – 2012 pertaining to reports on the agency's diversity,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,,
FOIA-2013-00596,OIP,11/14/12,Information on a third party,Provided requester with DOJ FOIA Reference Guide and information on requesting records on individuals to assist requester in identifying proper DOJ component for request,,,
FOIA-2013-00662,OIP,11/14/12,Records pertaining to a 1978 immigration conference in San Antonio and various participants of that conference,"Determined that the Dep't of State was the most appropriate entity for handling, and referred requester to that agency for processing",,,
FOIA-2013-00668,OIP,11/14/12,"A copy of a document entitled ""Addressing Police Misconduct Laws Enforced by the Department of Justice""","Provided publicly available copy from DOJ website; Informed requester that the Civil Rights Division, DOJ, was the most appropriate entity for further information and directed requester to that component",,,
FOIA-2013-00669,OIP,11/14/12,"A copy of a document entitled ""Addressing Police Misconduct Laws Enforced by the Department of Justice""","Provided publicly available copy from DOJ website; Informed requester that the Civil Rights Division, DOJ, was the most appropriate entity for further information and directed requester to that component",,,
FOIA-2013-00670,OIP,11/14/12,"A copy of a document entitled ""Addressing Police Misconduct Laws Enforced by the Department of Justice""","Provided publicly available copy from DOJ website; Informed requester that the Civil Rights Division, DOJ, was the most appropriate entity for further information and directed requester to that component",,,
FOIA-2013-00671,OIP,11/14/12,"A copy of a document entitled “Addressing Police Misconduct Laws Enforced by the Department of Justice,” as well as information on rules addressing Federal Bureau of Prisons employee misconduct","Provided publicly available copy of requested document from DOJ website;  Informed requester that the Civil Rights Division and the Federal Bureau of Prisons, DOJ, were also appropriate entities for handling and referred request and requester to those components for processing",,,
FOIA-2013-00686,OIP,11/14/12,"A road map and list of food truck company addresses for the state of Georgia, and information regarding financial assistance for small businesses","Informed requester that the FOIA does not apply to state or local records; Determined that the Small Business Administration was the most appropriate entity for handling, and referred requester to that agency for processing",,,
FOIA-2013-00689,OIP,11/14/12,Information regarding a court case,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,,
FOIA-2013-00690,OIP,11/14/12,"Seeking copies of “Attorney General records which are free, according to the Department of Justice Manual”",Provided requester with general FOIA information as well as a copy of the DOJ FOIA Reference Guide to help refine request to the specific records being sought,,,
FOIA-2013-00700,OIP,11/14/12,Records on a third party,"Determined that the Executive Office for Immigration Review, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,,
FOIA-2011-00903,OIP,11/15/12,"Records pertaining to a proposed FOIA module being developed by the Environmental Protection Agency, including the feasibility study on that system",Partial Grant/Partial Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-00598,OIP,11/15/12,Requested the immigration file of a third party,"Determined that the Executive Office for Immigration Review, DOJ, and the U.S. Citizenship and Immigration Services, DHS, were the most appropriate entities for handling, and referred requester to those offices for processing",,,
FOIA-2013-00638,OAG,11/15/12,Various correspondence and records concerning issues related to Holocaust survivors,Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2013-00692,OAG,11/15/12,"Contents of Department of Justice files ""3 144-42-16"" and ""144-72-16"" regarding an investigation of the violation of the civil rights of African-American employees of the Federal Compress & Warehouse Company in Brownsville, Tennessee in 1944","Determined that the Criminal Division, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,,
FOIA-2013-00693,OAG,11/15/12,"Contents of Department of Justice files ""3 144-42-16"" and ""144-72-16"" regarding an investigation of the violation of the civil rights of African-American employees of the Federal Compress & Warehouse Company in Brownsville, Tennessee in 1944","Determined that the Criminal Division, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,,
FOIA-2010-00411,OAG,11/16/12,Records pertaining to the final decision to release certain Central Intelligence Agency and Department of Justice documents concerning interrogations of foreign detainees and Al Qaeda operatives,Request Closed for Administrative Reasons: Correspondence to requester was returned undeliverable,,,
FOIA-2010-00412,ODAG,11/16/12,Records pertaining to the final decision to release certain Central Intelligence Agency and Department of Justice documents concerning interrogations of foreign detainees and Al Qaeda operatives,Request Closed for Administrative Reasons: Correspondence to requester was returned undeliverable,,,
FOIA-2013-00069,OLP,11/16/12,"Copies of the official Oaths of Office for every local, state, and federal judge currently serving in the state of New Jersey","Partial Grant/Partial Denial/Partial No Records: Informed requester that the FOIA does not apply to state or local records; Also informed requester that records of the federal judiciary (though not subject to the FOIA) are maintained by the Administrative Office of the United States Courts, and provided contact information for that office should the requester wish to request additional information",(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-00328,OIP,11/16/12,Local law enforcement records ,Informed requester that the FOIA does not apply to state or local records; Provided requester with DOJ FOIA Reference Guide for information on making FOIA requests to DOJ,,,
FOIA-2013-00342,OAG,11/16/12,Records pertaining to an investigation concerning a third party,Determined that the FBI was the most appropriate entity for handling and referred requester to that component for processing,,,
FOIA-2013-00733,OAG,11/16/12,Documents concerning a specific court case,"No Records; Determined that the Executive Office for United States Attorneys, DOJ, was also an appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-00340,OIP,11/19/12,"Copies of various records on the FOIA and Privacy Act, and information on obtaining a copy of an FBI criminal file",Provided requester with publicly available online information from the DOJ and OIP websites and informed requester that further production would result in duplication fees; Determined that the FBI was also an appropriate entity for handling and referred requester to that component for processing,,,
FOIA-2013-00478,OIP,11/19/12,Copy of the code of conduct for Department of Justice employees,Provided publicly available copy of the Code of Conduct for Department of Justice employees,,,
FOIA-2013-00500,OIP,11/19/12,"Copy of “the document derived from an Act of Congress which gives the Department of Justice the authority to investigate persons""","Provided requester with Part 0 of DOJ Regulations (Title 28 of the Code of Federal Regulations), DOJ mission statement and statutory information from DOJ website, as well as the DOJ FOIA Reference Guide for general information and FOIA contact information for all DOJ components",,,
FOIA-2013-00501,OIP,11/19/12,"Copies of “the document derived from an Act of Congress which gives the Department of Justice the authority to investigate and/or prosecute anyone,” as well as “the document that identifies the Act of Congress which gives the Department of Justice or the Attorney General the authority to imprison"" an individual  ","Provided requester with Part 0 of DOJ Regulations (Title 28 of the Code of Federal Regulations), DOJ mission statement and statutory information from DOJ website, as well as the DOJ FOIA Reference Guide for general information and FOIA contact information for all DOJ components",,,
FOIA-2013-00699,OIP,11/19/12,Copy of “the document derived from an Act of Congress which gives the Department of Justice the authority to investigate and/or prosecute anyone”,"Provided requester with Part 0 of DOJ Regulations (Title 28 of the Code of Federal Regulations), DOJ mission statement and statutory information from DOJ website, as well as the DOJ FOIA Reference Guide for general information and FOIA contact information for all DOJ components",,,
FOIA-2013-00732,OIP,11/19/12,"Copies of “the document derived from an Act of Congress which gives the Department of Justice the authority to investigate and/or prosecute anyone,” as well as “the document that identifies the Act of Congress which gives the Department of Justice or the Attorney General the authority to imprison"" an individual","Provided requester with Part 0 of DOJ Regulations (Title 28 of the Code of Federal Regulations), DOJ mission statement and statutory information from DOJ website, and the DOJ FOIA Reference Guide for general information and FOIA contact information for all DOJ components",,,
FOIA-2013-00735,OIP,11/19/12,Information on any open or closed court orders,Informed requester that that the FOIA does not apply to records of the judicial branch and directed requester to the Administrative Office for the United States Courts for information on the federal judiciary,,,
FOIA-2013-00472,OAG,11/20/12,"Records and correspondence respecting the scope and extent of background checks to be performed (or not) on aliens applying to the Obama administration's Deferred Action for Childhood Arrivals program, from November 1, 2011 to the present",No Records,,,
FOIA-2013-00473,ODAG,11/20/12,"Records and correspondence respecting the scope and extent of background checks to be performed (or not) on aliens applying to the Obama administration's Deferred Action for Childhood Arrivals program, from November 1, 2011 to the present",No Records,,,
FOIA-2013-00499,OIP,11/20/12,Seeking information concerning requester's court case,"Informed requester that the FOIA is a records access statute and not applicable to this query, and if seeking legal assistance, suggested that requester retain private counsel",,,
FOIA-2013-00502,OLP,11/20/12,"Presidential Commission and Oath of Office for U.S. Magistrate Judges Holton Bruce Guyton, Kevin McDonald, Carl Clifford Shirley, and Assistant United States Attorney Barbara M. Bowers","Determined that the Executive Office for United States Attorneys, DOJ, was an appropriate entity for handling, and referred requester to that component for processing; Informed requester OLP does not maintain records on magistrate judges and that records of the federal judiciary (though not subject to the FOIA) are maintained by the Administrative Office of the United States Courts, and provided contact information for that office should the requester wish to submit a request for information",,,
FOIA-2013-00632,OAG,11/20/12,"Records regarding the events surrounding the death of Timothy Hood in Bessemer, Alabama in 1946","Determined that the FBI and Civil Rights Division, DOJ, were the most appropriate entities for handling, and referred requester to those components for processing",,,
FOIA-2013-00633,ODAG,11/20/12,"Records regarding the events surrounding the death of Timothy Hood in Bessemer, Alabama in 1946","Determined that the FBI and Civil Rights Division, DOJ, were the most appropriate entities for handling, and referred requester to those components for processing",,,
FOIA-2013-00634,OASG,11/20/12,"Records regarding the events surrounding the death of Timothy Hood in Bessemer, Alabama in 1946","Determined that the FBI and Civil Rights Division, DOJ, were the most appropriate entities for handling, and referred requester to those components for processing",,,
FOIA-2013-00635,OAG,11/20/12,"Records regarding the events surrounding the death of Samuel Lee Williams in Birmingham, Alabama in 1949","Determined that the FBI and Civil Rights Division, DOJ, were the most appropriate entities for handling, and referred requester to those components for processing",,,
FOIA-2013-00636,ODAG,11/20/12,"Records regarding the events surrounding the death of Samuel Lee Williams in Birmingham, Alabama in 1949","Determined that the FBI and Civil Rights Division, DOJ, were the most appropriate entities for handling, and referred requester to those components for processing",,,
FOIA-2013-00637,OASG,11/20/12,"Records regarding the events surrounding the death of Samuel Lee Williams in Birmingham, Alabama in 1949","Determined that the FBI and Civil Rights Division, DOJ, were the most appropriate entities for handling, and referred requester to those components for processing",,,
FOIA-2013-00655,OIP,11/20/12,Seeking records concerning a third party's estate ,Informed requester that the FOIA does not apply to state or local records,,,
FOIA-2013-00673,OAG,11/20/12,"Records regarding the Iran-Contra affair, in the files of former Attorney General Edwin Meese","Determined that the National Archives and Records Administration was the most appropriate entity for handling, and referred requester to that agency for processing",,,
FOIA-2013-00683,OLA,11/20/12,"A copy of the transcript of Congressional testimony that was given on June 12, 2012 entitled, ""Reassessing Solitary Confinement: The Human Rights, Fiscal, and Public Safety Consequences""","Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling and referred requester to that component for processing; Provided link to hearing information on website of the Senate Judiciary Committee",,,
FOIA-2013-00694,OAG,11/20/12,"A listing of frequently requested records, as well as of all former Attorneys General, and the official biography of Attorney General Eric Holder","Provided requester with requested information, which is publicly available from the DOJ website",,,
FOIA-2013-00738,OIP,11/20/12,"False Claims Act ""fraud statistics"" for the period of October 2011 through September 2012, as compiled by the Civil Division of the Department of Justice","Determined that the Civil Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,,
FOIA-2012-00814,OAG,11/21/12,"Documents relating to the Department’s acquisition, use and expenditures on commemorative items from January 2009 through the present",Full Grant,,,
FOIA-2012-00815,ODAG,11/21/12,"Documents relating to the Department’s acquisition, use and expenditures on commemorative items from January 2009 through the present",Full Grant,,,
FOIA-2012-00816,OASG,11/21/12,"Documents relating to the Department’s acquisition, use and expenditures on commemorative items from January 2009 through the present",Full Grant,,,
FOIA-2012-00817,OLA,11/21/12,"Documents relating to the Department’s acquisition, use and expenditures on commemorative items from January 2009 through the present",Full Grant,,,
FOIA-2012-00818,OLP,11/21/12,"Documents relating to the Department’s acquisition, use and expenditures on commemorative items from January 2009 through the present",Full Grant,,,
FOIA-2012-00820,PAO,11/21/12,"Documents relating to the Department’s acquisition, use and expenditures on commemorative items from January 2009 through the present",Full Grant,,,
FOIA-2013-00476,OIP,11/26/12,"Copies of various public laws, regulations, and Executive Orders ",Provided 100 pages of publicly available material,,,
FOIA-2013-00477,OIP,11/26/12,"Copies of various public laws, regulations, and Executive Orders ",Provided 100 pages of publicly available material,,,
FOIA-2013-00695,OAG,11/26/12,"Records pertaining to the Department’s investigation of the General Maritime Corporations it pertains to a 2007 oil spill near Puerto Rico, as well as correspondence between the Department and the General Maritime Corporation.",No Records,,,
FOIA-2013-00696,ODAG,11/26/12,"Records pertaining to the Department’s investigation of the General Maritime Corporation as it pertains to a 2007 oil spill near Puerto Rico, as well as correspondence between the Department and the General Maritime Corporation.",No Records,,,
FOIA-2013-00697,OASG,11/26/12,"Records pertaining to the Department’s investigation of the General Maritime Corporation as it pertains to a 2007 oil spill near Puerto Rico, as well as correspondence between the Department and the General Maritime Corporation.",No Records,,,
FOIA-2010-00487,OAG,11/27/12,Records regarding the decision to invoke executive privilege in the Valerie Plame leak case,Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2012-00674,ODAG,11/27/12,Records pertaining to a request for executive clemency,No Records,,,
FOIA-2013-00354,OLP,11/27/12,"Listing of the names and organizations (if applicable) of all individuals who made a FOIA request to the Office of Dispute Resolution during Fiscal Year 2011 (October 1, 2010 – September 30, 2011)",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-00407,OIP,11/27/12,Copy of the federal laws and guidelines concerning the “requirements of the chain of custody for physical evidence presented in a criminal trial”,"Provided requester with relevant publicly available information from the United States Attorneys Manual; Determined that the Executive Office for United States Attorneys and the Criminal Division, DOJ, were also appropriate entities for handling and referred requester to those components for processing",,,
FOIA-2013-00454,OIP,11/27/12,Number of criminal and civil cases filed and defended by the United States government from 2002 to 2012,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,,
FOIA-2013-00475,ODAG,11/27/12,"Certain personnel records for former Executive Office for United States Attorneys employee, as well as public records of investigations or disciplinary action taken against the employee",No Records; Informed requester that the Executive Office for United States Attorneys was also processing request and that component would be responding to the requester directly,,,
FOIA-2013-00672,OAG,11/27/12,Information concerning the 2008-2009 General Motors Bankruptcy,Provided information on how to access public bankruptcy court records on this matter; Provided requester with contact information for the state Attorneys' General with whom General Motors entered into a consumer protection agreement in order to obtain further information,,,
FOIA-2013-00775,OIP,11/27/12,Seeking guidance on the application of the Jacob Wetterling Crimes Against Children and Sexually Violent Offender Registration Act (Jacob Wetterling Act),"Informed the requester that the FOIA is a records access statute and not applicable to this query, and if seeking legal assistance, that requester should retain private counsel; Provided information on and link to DOJ Action Center",,,
FOIA-2011-01079,OLA,11/28/12,Records of correspondence between the Department and Congressman Steven Arnold King,Request Withdrawn by Requester,,,
FOIA-2012-01288,OAG,11/28/12,"Correspondence between the Department of Justice and the Offices of Congresswoman Heather Wilson, Sherriff Darren White, TruTuch Technologies, InLight Solutions, and Lumidigm, Inc.",Request Withdrawn by Requester,,,
FOIA-2012-01289,ODAG,11/28/12,"Correspondence between the Department of Justice and the Offices of Congresswoman Heather Wilson, Sherriff Darren White, TruTuch Technologies, InLight Solutions, and Lumidigm, Inc.",Request Withdrawn by Requester,,,
FOIA-2012-01290,OASG,11/28/12,"Correspondence between the Department of Justice and the Offices of Congresswoman Heather Wilson, Sherriff Darren White, TruTuch Technologies, InLight Solutions, and Lumidigm, Inc.",Request Withdrawn by Requester,,,
FOIA-2012-01291,OLA,11/28/12,"Correspondence between the Department of Justice and the Offices of Congresswoman Heather Wilson, Sherriff Darren White, TruTuch Technologies, InLight Solutions, and Lumidigm, Inc.",Request Withdrawn by Requester,,,
FOIA-2012-01353,OLA,11/28/12,Copies of communications between the Department of Justice and Representative W. Todd Akin and his staff from January 2001 to present,Request Withdrawn by Requester,,,
FOIA-2012-01413,OAG,11/28/12,Various records concerning the implementation of Executive Order 13107 and complaints of alleged violations of the United States obligations pursuant to international human rights treaties,No Records,,,
FOIA-2013-00663,OAG,11/28/12,All records accumulated during the tenure of former Attorney General Robert F. Kennedy that were created by an executive branch agency and are maintained as part of the Robert F. Kennedy papers at the John F. Kennedy Library,"Determined that the National Archives and Records Administration was the most appropriate entity for handling, and referred requester to that agency for processing",,,
FOIA-2013-00678,OASG,11/28/12,"All policy memoranda, guidance memoranda, internal orders, or other policy-setting or advisory communications addressing (1) subpoenas issued to the Department or to any sub-division of the Department; and/or (2) the processing, response to, or management of all subpoenas issues to the Department or to any sub-division of the Department",No Records,,,
FOIA-2013-00777,OIP,11/28/12,Citizenship records of a third party,"Determined that the U.S. Citizenship and Immigration Services, DHS, was the most appropriate entity for handling, and referred requester to that office for processing",,,
FOIA-2013-00812,ODAG,11/28/12,Records pertaining to the potential of the Speech and Debate Clause of the Constitution to impede law enforcement investigations and prosecutions,Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-00640,OIP,11/29/12,"Various records concerning civil and disability rights organizations and various federal, state, and international access provisions","Informed requester that the FOIA does not apply to records of foreign governments; Provided requester with a copy of the DOJ FOIA Reference Guide, as well as a copy of the Privacy Act; Determined that the Civil Rights Division, DOJ, was also an appropriate entity for handling and informed requester that the Mail Referral Unit had already routed the request to that component for processing; Provided requester with contact information for the state of Georgia",,,
FOIA-2013-00687,OLP,11/29/12,"Copies of the signed Presidential Commission, Senate Confirmation, Appointment Affidavit, and Oath of Office for the United States District Court Judge James D. Whittemore, as well as certain data related to foreign agents","Partial Grant/Partial Denial; Determined that the National Security Division, DOJ, was also an appropriate entity for handling, and referred requester to that component for processing",(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-00860,OIP,11/29/12,"A database of all agency employees who have used “official time” under any category in 5 U.S.C. § 7131 or related statutes since January 1, 2009, and related documents","Determined that the Justice Management Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,,
