Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),,
FOIA-2015-03504,OIP ,06/02/2015,"all correspondence from January 1, 2014 to May 14, 2015 between the International Criminal Court and the seven named Offices you identified in your request",No Records responsive to request were located,,,,
FOIA-2015-03368,OIP,06/03/2015,request for the Department of Justice Freedom of Information Act Reference Guide (Reference Guide),Full Grant of publicly available material,,,,
FOIA-2015-03557,OLP,06/03/2015,"oath of office and other records pertaining to the United States District Clerk of Court in Philadelphia, Pennsylvania",Referred requester and/or request to more appropriate entity (AOUSC),,,,
FOIA-2015-01653,OLP,06/04/2015,Oaths of Office for various federal judges and other individuals,Partial Grant/Partial Denial/Partial No Records,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2015-03178,OIP,06/04/2015,various information regarding the federal prison system,"Provided requester with information on how to make a FOIA request, as specific records being sought could not be identified",,,,
FOIA-2015-03610,OIP,06/04/2015,"records pertaining to the use of funds collected as a result of settlements reached between the DOJ and BNP Paribas, JPM, Citigroup, BOA, Credit Suisse, and HSBC",Referred requester and/or request to more appropriate entity (CRM),,,,
FOIA-2015-03611,OIP,06/04/2015,"records pertaining to the use of funds collected as a result of settlements reached between the DOJ and BNP Paribas, JPM, Citigroup, BOA, Credit Suisse, and HSBC",Referred requester and/or request to more appropriate entity (CRM),,,,
FOIA-2015-03612,OIP,06/04/2015,"records pertaining to the use of funds collected as a result of settlements reached between the DOJ and BNP Paribas, JPM, Citigroup, BOA, Credit Suisse, and HSBC",Referred requester and/or request to more appropriate entity (CRM),,,,
FOIA-2015-03613,OIP,06/04/2015,"records pertaining to the use of funds collected as a result of settlements reached between the DOJ and BNP Paribas, JPM, Citigroup, BOA, Credit Suisse, and HSBC",Referred requester and/or request to more appropriate entity (CRM),,,,
FOIA-2015-03614,OIP,06/04/2015,"records pertaining to the use of funds collected as a result of settlements reached between the DOJ and BNP Paribas, JPM, Citigroup, BOA, Credit Suisse, and HSBC",Referred requester and/or request to more appropriate entity (CRM),,,,
FOIA-2015-03615,OIP,06/04/2015,"records pertaining to the use of funds collected as a result of settlements reached between the DOJ and BNP Paribas, JPM, Citigroup, BOA, Credit Suisse, and HSBC",Referred requester and/or request to more appropriate entity (CRM),,,,
FOIA-2015-03119,OLP,06/05/2015,"Senate Confirmation documents, Appointment Affidavits, Oaths of Office, and Presidential Commissions for United States District Court Judges G. Murray Snow and Frederick J. Martone of the District of Arizona",Partial Grant/Partial Denial: All requested documents RIP,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2015-03353,DAG,06/05/2015,"all correspondence from August 1, 2014 to December 31, 2014 between Amnesty International or Amnesty International USA and the seven named Offices you identified in your request",No Records responsive to request were located,,,,
FOIA-2015-03354,ASG,06/05/2015,"all correspondence from August 1, 2014 to December 31, 2014 between Amnesty International or Amnesty International USA and the seven named Offices you identified in your request",No Records responsive to request were located,,,,
FOIA-2015-03358,OIP,06/05/2015,"all correspondence from August 1, 2014 to December 31, 2014 between Amnesty International or Amnesty International USA and the seven named Offices you identified in your request",No Records responsive to request were located,,,,
FOIA-2015-03361,AG,06/08/2015,"all publicly available memoranda addressed to the United States Attorney’s Offices, and policy statements from January 1, 2012 through the present",Full Grant of publicly available material,,,,
FOIA-2015-03362,DAG,06/08/2015,"all publicly available memoranda addressed to the United States Attorney’s Offices, and policy statements from January 1, 2012 through the present",Full Grant of publicly available material,,,,
FOIA-2015-03556,OIP,06/08/2015,assistance with obtaining records regarding Colorado Judge Frederick Michael Goodbee,Provided relevant information and assistance,,,,
FOIA-2015-03703,AG,06/08/2015,"Memoranda of Understanding from 1994 to present on “Non-Lethal"" Weapons between the Department of Justice and the Department of Defense",No Records responsive to request were located,,,,
FOIA-2015-03704,DAG,06/08/2015,"Memoranda of Understanding from 1994 to present on “Non-Lethal"" Weapons between the Department of Justice and the Department of Defense",No Records responsive to request were located,,,,
FOIA-2015-03705,ASG,06/08/2015,"Memoranda of Understanding from 1994 to present on “Non-Lethal"" Weapons between the Department of Justice and the Department of Defense",No Records responsive to request were located,,,,
FOIA-2015-03717,OIP ,06/08/2015,"records pertaining to conditions that may involve the environmental integrity of property located at 4817 Section Road, Norwood, OH 45212",Referred requester and/or request to more appropriate entity (EPA) and (ERDN),,,,
FOIA-2015-03718,OIP,06/08/2015,"records pertaining to conditions that may involve the environmental integrity of property located at 5050 Section Avenue, Norwood, OH 45212",Referred requester and/or request to more appropriate entity (EPA) and (ERDN),,,,
FOIA-2015-00842,AG,06/09/2015,"1) records provided to the Washington Post in response to its request on the Equitable Sharing Program, 2) records pertaining to compliance reviews of the Equitable Sharing Program, and 3) records pertaining to adoptive seizures in Philadelphia and Ferguson",No Records responsive to request were located,,,,
FOIA-2015-00843,DAG,06/09/2015,"1) records provided to the Washington Post in response to its request on the Equitable Sharing Program, 2) records pertaining to compliance reviews of the Equitable Sharing Program, and 3) records pertaining to adoptive seizures in Philadelphia and Ferguson",No Records responsive to request were located,,,,
FOIA-2015-03545,OLP,06/09/2015,"copies of the Senate Confirmation document, Appointment Affidavits, Oath of Office, and Presidential Commission pertaining to former United States District Judge Oliver W. [Wanger] of the Eastern District of California",Partial Grant/Partial Denial: All requested documents RIP,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2014-04088,AG,06/10/2015,reports to Congress concerning international prisoner transfers,Full Grant of referred records,,,,
FOIA-2014-04089,OLA,06/10/2015,reports to Congress concerning international prisoner transfers,Full Grant of referred records,,,,
FOIA-2015-03369,OIP,06/10/2015,biographies of former Attorney General Eric Holder and President Barack Obama,Full Grant of publicly available material,,,,
FOIA-2015-03370,OIP,06/10/2015,records pertaining to your write-in candidacy for the United States Senate,Referred requester to more appropriate entity (CRT),,,,
FOIA-2015-03570,OIP,06/10/2015,the withdrawal of the “FOIA request for Jeffrey Waterman.”,Referred request and/ or request to more appropriate entity,,,,
FOIA-2015-03660,OIP,06/10/2015,records pertaining to a federal court case,Provided requester with DOJ Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2015-03826,OIP,06/10/2015,State of Colorado sexual offender reports on various individuals,Provided relevant information and assistance,,,,
FOIA-2015-03872,OIP,06/10/2015,recent Supreme Court slip opinions on various areas of constitutional law,Informed requester that the FOIA is a records access statute and not applicable to this query,,,,
FOIA-2014-02508,AG,06/11/2015,"records pertaining to an October 4, 1971 hijacking in Jacksonville, FL",Full Grant of referred records,,,,
FOIA-2015-03758,OIP,06/11/2015,"the most recent three years' data regarding both successful and unsuccessful prosecutions of cybercrime in the United States, broken down by various cybercrime related statutes","Referred requester and/or request to more appropriate entity (OJP, CRM, FBI)",,,,
FOIA-2015-03838,OIP,06/11/2015,records pertaining to a third party,Referred requester and /or request to more appropriate entity (FBI),,,,
FOIA-2015-03566,OIP,06/15/2015,"all records pertaining to the investigation of the death of President John F. Kennedy, Jr.",Referred requester and/or request to more appropriate entity (NARA and CIA),,,,
FOIA-2015-03601,OIP,06/15/2015,records pertaining to a third party,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2015-03525,OIP,06/16/2015,information pertaining to a third party,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2015-03580,OIP,06/16/2015,"records pertaining to "" the Master  Annuity Roll""",Referred requester and/or request to more appropriate entity (OPM),,,,
FOIA-2015-03699,OIP,06/16/2015,"complaints concerning employees of the Department of Justice submitted from January 1, 2014, through the present",Provided relevant information and assistance,,,,
FOIA-2015-03884,OIP,06/16/2015,records for the Eastern District of Pennsylvania,"Provided requester with information on how to make a FOIA request, as specific records being sought could not be identified",,,,
FOIA-2015-03929,OIP,06/16/2015,records pertaining to prosecuting computer crimes,Referred requester and/or request to more appropriate entity (CRM),,,,
FOIA-2015-03902,OIP,06/17/2015,"records pertaining to the  ""known victims""",Referred requester and/ or request to more appropriate entity (CRM),,,,
FOIA-2015-03964,OIP,06/17/2015,information on the Wrongful Conviction Summit and resources that may be available to you,Provided relevant information and assistance,,,,
FOIA-2015-03018,OLP,06/18/2015,documents relating to three reports generated by the Office of Legal Policy in 1988,No Records; Referred requester and/or request to more appropriate entity (NARA),,,,
FOIA-2015-01510,DAG,06/19/2015,"correspondence between the Department and Mike Pence since 2001, as well as FOIA requests pertaining to Mike Pence",No Records responsive to request were located,,,,
FOIA-2015-01511,ASG,06/19/2015,"correspondence between the Department and Mike Pence since 2001, as well as FOIA requests pertaining to Mike Pence",No Records responsive to request were located,,,,
FOIA-2015-01512,OIP,06/19/2015,"correspondence between the Department and Mike Pence since 2001, as well as FOIA requests pertaining to Mike Pence",No Records responsive to request were located,,,,
FOIA-2015-02278,OIP,06/19/2015,"correspondence between the Department and Mike Pence, and copies of FOIA requests pertaining to Michael Pence",Full Grant: All requested documents RIF,,,,
FOIA-2015-02864,AG,06/19/2015,records pertaining to third parties,Full Grant of referred records,,,,
FOIA-2015-03879,OIP,06/19/2015,records concerning emergency NEPA consultation on the flow augmentation releases made in 2014 in the Trinity River Division,Determined that records were improperly referred and forwarded records back to (ENRD) for further review,,,,
FOIA-2015-00521,OLA,06/23/2015,copies of certain view letters from the 111th Congress,Full Grant of publicly available material,,,,
FOIA-2015-01680,AG,06/23/2015,"telephone logs of for Deputy Attorney General Paul McNulty  and his Chief of Staff Michael Elston from December 1, 2005 to July 1, 2007 and Kyle Sampson, Chief of Staff to Former Attorney General Alberto Gonzales from September 1, 2005 to March 1, 2007, as well as former Deputy Attorney General Paul McNulty and his Chief of Staff Michael Elston from December 1, 20015 to July 1, 2007",No records responsive to request were located,,,,
FOIA-2015-03646,OIP,06/23/2015,contact information for a lawyer in the state of Florida,Provided relevant information and assistance,,,,
FOIA-2015-03651,OLP,06/23/2015,"records pertaining to Magistrate Judge H. Brent Brennenstuhl of the United States District Court for the Western District of Kentucky, as well as records pertaining to your case in the Western District of Kentucky","Referred requester and/or request to more appropriate entity (EOUSA, AOUSC)",,,,
FOIA-2015-03687,OIP,06/23/2015,"records pertaining to Magistrate Judge H. Brent Brennenstuhl of the United States District Court for the Western District of Kentucky, as well as records pertaining to your case in the Western District of Kentucky","Referred requester and/or request to more appropriate entity (EOUSA, AOUSC)",,,,
FOIA-2015-03689,OIP,06/23/2015,"records pertaining to Magistrate Judge H. Brent Brennenstuhl of the United States District Court for the Western District of Kentucky, as well as records pertaining to your case in the Western District of Kentucky","Referred requester and/or request to more appropriate entity (EOUSA, AOUSC)",,,,
FOIA-2015-03690,OLP,06/23/2015,"records pertaining to Magistrate Judge H. Brent Brennenstuhl of the United States District Court for the Western District of Kentucky, as well as records pertaining to your case in the Western District of Kentucky","Referred requester and/or request to more appropriate entity (EOUSA, AOUSC)",,,,
FOIA-2015-03019,AG,06/24/2015,"records pertaining to Sapelo Island McIntosh County, Georgia, and the Pitman Robertson Recovery Act",Full Grant/Partial Referral: Records referred to EOUSA for further review,,,,
FOIA-2012-00901,DAG,06/25/2015,"1) an April 26, 1991 Authorization by the Deputy Attorney General to the Director of Attorney Personnel Management, 2) a July 8, 1991 Order of the Director of the Executive Office for United States Attorneys (EOUSA), and 3) records pertaining to policies",No Records responsive to request were located,,,,
FOIA-2015-03723,OIP,06/25/2015,records pertaining to marijuana laws concerning usage and possession,Referred requester and/or request to more appropriate entity (DEA),,,,
FOIA-2015-03724,OIP,06/25/2015,records that appear to pertain to a federal case,Referred requester and/or request to more appropriate entity (EOUSA),,,,
FOIA-2015-03810,OIP,06/25/2015,police reports,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2013-03553,OLA,06/26/2015,"Records ""in the possession of the Office of Legislative Affairs pertaining to Part 4 of the report of the House-Senate Joint Inquiry into the intelligence community's activities prior to Sept. 11""",No Records responsive to request were located,,,,
FOIA-2015-04070,OIP,06/26/2015,records regarding any incidents involving the use of Unmanned Aerial Vehicles to smuggle contraband into prisons that are under the jurisdiction of the Federal Bureau of Prisons,Referred requester and/or request to more appropriate entity (BOP),,,,
FOIA-2015-03889,OIP,06/30/2015,"FOIA logs from December 1, 2014",Full grant of publicly available material,,,,
FOIA-2015-04065,OIP,06/30/2015,"""executed settlement agreement between DOJ and Covenant Hospice from June 2015""",Referred requester and/or request to more appropriate entity (CIV),,,,
FOIA-2015-04092,OIP,06/30/2015,"records pertaining to Pacira Pharmaceuticals, Inc.",Referred requester and/or request to more appropriate entity (EOUSA),,,,
FOIA-2015-04093,OIP,06/30/2015,"records from any federal jurisdiction that pertain to any investigation, surveillance, warrant request, arrest, arraignment and/or prosecution under 18 U.S. Code § 1519","referred requester and/or request to more appropriate entity (EOUSA, FBI)",,,,
