Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),,
FOIA-2015-05683,DAG,10/13/2015,Criminal investigation of Google,Glomar Denial: Neither confirmed nor denied the existence of certain law enforcement records,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,,
FOIA-2015-05684,ASG,10/13/2015,Criminal investigation of Google,Glomar Denial: Neither confirmed nor denied the existence of certain law enforcement records,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,,
FOIA-2015-02261,ASG,10/14/2015,"communication between the Department of Justice and John Ellis ""Jeb"" Bush, dating from January 1, 1974",No Records responsive to request were located,,,,
FOIA-2015-05849,OIP ,10/14/2015,"a list of persons either under indictment or currently incarcerated under either the International Emergency Economic Powers Act, 50 U.S.C. § 1705, specifically the Iranian Transactions and Sanctions Regulations, 31 C.F.R. Part 560, or the Export Administration Regulations",Provided relevant information and assistance,,,,
FOIA-2015-05891,OIP,10/14/2015,"Publicly admitted trial exhibits and trial testimony from Southgate Master Fund, LLC v. IRS",Referred requester and/or request to more appropriate entity (TAX),,,,
FOIA-2016-00026,OIP,10/14/2015,the July 2014 Office of the Inspector General (OIG) report entitled “An Assessment of the 1996 Department of Justice Task Force Review of the FBI Laboratory”,Full Grant: All requested documents RIF,,,,
FOIA-2015-06003,OIP,10/15/2015,the final investigation report resulting from your complaint to the Department of Health and Human Services,Referred requester and/or request to more appropriate entity (HHS and FDA),,,,
FOIA-2015-05485,AG,10/19/2015,records related to specifically designated FOIA requests on Watergate-related topics,Partial Grant/Partial Denial of referred records,(b)(3),Information that is prohibited from disclosure by another federal law,,
FOIA-2015-05889,OIP,10/19/2015,records concerning the level of staff support provided by the Office of Information Policy to the Department Review Committee,No Records; Provided additional information and assistance,,,,
FOIA-2014-04430,DAG,10/20/2015,"records from the Federal Bureau of Investigation (FBI) pertaining to Joseph Wright Alsop V, deceased",Full Grant of referred records,,,,
FOIA-2014-04819,DAG,10/20/2015,"records from the Federal Bureau of Investigation (FBI) pertaining to Joseph Wright Alsop V, deceased",Full Grant of referred records,,,,
FOIA-2015-05778,OLA,10/20/2015,records concerning Representatives Blaine Luetkemeyer and Kevin Yoder,Full Grant of referred records,,,,
FOIA-2015-05959,OIP,10/20/2015,material from the United States Government Manual 2014,Referred requester and/or request to more appropriate entity,,,,
FOIA-2015-04545,DAG ,10/21/2015,the guidelines issued to prosecutors in 2013 that were designed to tighten oversight of undercover operations and other “sensitive” investigative techniques,Full Denial: All requested documents WIF,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,,
FOIA-2015-05755,AG,10/21/2015,statistics concerning the number of customs-related suits initiated by the Department of Justice from 1940 through 2015,"Referred requester and/or request to more appropriate entity (CIV, CRM)",,,,
FOIA-2015-05973,OLP,10/21/2015,"Oaths of Office, Presidential Commissions, Appointment Affidavits, and Senate Confirmation documents pertaining to judges Paul Brown and Leonard Davis of the United States District Court for the Eastern District of Texas",Partial Grant/Partial Denial; Referred requester and/or request to more appropriate entity (AOUSC),(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2016-00133,DAG,10/21/2015,Records provided to Senator Grassley or Senate Judiciary Committee in response to Senator Grassley's October 8 letter,No Records responsive to request were located,,,,
FOIA-2015-05982,OIP,10/22/2015,Foreign Agent Registration Act records,Referred requester and/or request to more appropriate entity (NSD),,,,
FOIA-2013-03528,OLA,10/23/2015,Records related to subpoenas concerning news organization and their members from 2001 to present,Full Grant: All requested documents RIF,,,,
FOIA-2015-05808,OIP,10/23/2015,"documents pertaining to litigation referenced in this Office’s response to your appeal, AP-2014-04098",Full Denial: All requested documents WIF,(b)(5),certain inter- and intra-agency communications protected by legal privileges,,
FOIA-2016-00222,AG,10/23/2015,"records pertaining to communication between the Department of Justice and Twitter, Inc., and records pertaining to the Department's policy on the request for removal, and denied requests for removal of content on social media",No Records responsive to request were located,,,,
FOIA-2016-00223,DAG,10/23/2015,"records pertaining to communication between the Department of Justice and Twitter, Inc., and records pertaining to the Department's policy on the request for removal, and denied requests for removal of content on social media",No Records responsive to request were located,,,,
FOIA-2016-00224,ASG,10/23/2015,"records pertaining to communication between the Department of Justice and Twitter, Inc., and records pertaining to the Department's policy on the request for removal, and denied requests for removal of content on social media",No Records responsive to request were located,,,,
FOIA-2015-05975,OIP,10/26/2015,"log of the Freedom of Information Act (FOIA) requests submitted to the Office of the Attorney General since January 1, 2014",Directed requester to online FOIA logs,,,,
FOIA-2015-05985,OLP,10/26/2015,"the Oath of Office, Appointment Affidavits, Presidential Commission, and Senate Confirmation document pertaining to Judge Rosanna Malouf Peterson of the United States District Court for the Eastern District of Washington",Partial Grant/Partial Denial: All requested documents RIP,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2015-05831,OIP,10/27/2015,"records pertaining to musical artists thought to have any association with crime organizations based out of the Atlanta, Georgia area","Provided requester with information on how to make a FOIA request, as specific records being sought could not be identified",,,,
FOIA-2015-05894,OIP,10/27/2015,"the ""2008 Inspector General report concluding the investigative findings of St. Hope Academy and funding provided to the charter school and its founder""",Provided relevant information and assistance,,,,
FOIA-2015-05958,OIP,10/27/2015,the Department of Justice Freedom of Information Act Reference Guide,Full Grant: All requested documents RIF,,,,
FOIA-2015-05971,AG,10/27/2015,"records pertaining to a trip to London made by former Director of Central Intelligence James Wooley, former Counsel for the Assistant Attorney General, Criminal Division, Steven Bunnell, and former Principal Deputy Assistant Secretary, Department of Defense",Referred requester and/or request to more appropriate entity (CRM and DOD),,,,
FOIA-2015-05974,OLP,10/27/2015,"Presidential Commissions, Appointment Affidavits, Oaths of Office, and Senate Confirmation documents pertaining to twenty-two judges of the United States Court of Appeals for the Fifth Circuit",Partial Grant/Partial Denial; Referred requester and/or request to more appropriate entity (AOUSC),(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2016-00079,OIP,10/27/2015,information held by the Social Security Administration (SSA) on Stella Ann Wells,Referred requester and/or request to more appropriate entity (SSA),,,,
FOIA-2016-00080,OIP,10/27/2015,Federal Bureau of Investigation (FBI) records on a third party,Referred requester and/or request to more appropriate entity (FBI),,,,
FOIA-2016-00093,OIP,10/27/2015,"records pertaining to ""a federal investigation of Blue Bell Creameries""",Referred requester and/or request to more appropriate entity (FDA),,,,
FOIA-2016-00134,OIP,10/27/2015,"attendees to the Justice Department's Summit on Violent Crime Reduction held Washington, DC on October 7, 2015",Referred requester and/or request to more appropriate entity (OJP),,,,
FOIA-2016-00005,AG,10/29/2015,"Attorney General records related to the late judge [T.F. Gilroy] Daly concerning the Iran-Contra investigations, between 1986 and 1992",Referred requester and/or request to more appropriate entity (NARA),,,,
FOIA-2016-00019,OIP,10/29/2015,information on eight named individuals,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2016-00112,OLP,10/29/2015,"Oaths of Office pertaining to your attorney, as well as a Georgia county judge, a public defender, and an assistant district attorney",Provided relevant information and assistance,,,,
FOIA-2016-00117,OIP,10/29/2015,a copy of the Department of Justice Freedom of Information Act Reference Guide,Full Grant,,,,
FOIA-2016-00256,OIP,10/29/2015,a copy of the Cable Television Consumer Protections and Competition Act of 1992,Referred requester and/or request to more appropriate entity (FCC),,,,
FOIA-2016-00257,OIP,10/29/2015,a copy of the Satellite Home Viewer Extension and Reauthorization Act of 2004,Referred requester and/or request to more appropriate entity (FCC),,,,
FOIA-2016-00258,OIP,10/29/2015,a copy of the Radio All Channel Digital Receiver Act,Referred requester and/or request to more appropriate entity (FCC),,,,
FOIA-2016-00259,OIP,10/29/2015,"National Church Residences of Columbus, Ohio","Provided requester with information on how to make a FOIA request, as specific records being sought could not be identified",,,,
FOIA-2015-05594,OIP,10/30/2015,general information on how the Freedom of Information Act (FOIA) and the Privacy Act (PA) function,Provided relevant information and assistance,,,,
