Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),,
FOIA-2015-04221,ASG,07/27/2015,"correspondence between Senator Michael Bennet and the Department of Justice from January 21, 2009, to January 21, 2011",No Records responsive to request were located,,,,
FOIA-2015-04337,OIP,07/27/2015,"a copy of the ""Annual Report of Freedom of Information Act cases""",Full Grant of publicly available material,,,,
FOIA-2015-04460,AG,07/27/2015,Oath of Office for United States Attorney General Loretta E. Lynch,Full Grant: All requested documents RIF,,,,
FOIA-2015-04524,OLA,07/27/2015,a copy of and information pertaining to the Antiterrorism and Effective Death Penalty Act of 1996,Provided relevant information and assistance,,,,
FOIA-2015-04462,OIP,07/28/2015,copies of legal memoranda from the state of California,Provided relevant information and assistance,,,,
FOIA-2015-04781,OIP,07/28/2015,"records concerning the Gilt Edge Mine Superfund Site (a.k.a. Brohm Mining Corporation) located near Lead, South Dakota.",Referred requester and/or request to more appropriate entity (EOUSA and ENRD),,,,
FOIA-2015-04782,OIP,07/28/2015,"records concerning the Gilt Edge Mine Superfund Site (a.k.a. Brohm Mining Corporation) located near Lead, South Dakota.",Referred requester and/or request to more appropriate entity (EOUSA and ENRD),,,,
FOIA-2015-04783,OIP,07/28/2015,"records concerning the Gilt Edge Mine Superfund Site (a.k.a. Brohm Mining Corporation) located near Lead, South Dakota.",Referred requester and/or request to more appropriate entity (EOUSA and ENRD),,,,
FOIA-2015-04292,OIP,07/29/2015,information about transitional prisoner assistance,Provided relevant information and assistance,,,,
FOIA-2015-04690,OIP,07/29/2015,information proving that you are subject to the laws of the United States of America,Provided relevant information and assistance,,,,
FOIA-2015-04826,OIP,07/29/2015,"copies of all depositions (including both factual and expert witnesses) taken in the Civil Action No.08-1747 (BJR)""",Referred requester and /or request to more appropriate entity (EOUSA),,,,
FOIA-2015-04868,OIP,07/29/2015,the policy and procedure of the United States Attorney's Office for the Middle District of Florida as it pertains to substantial assistance and USSG 5k1.1 and 18 U.S.C. § 3553 departure Motions and / or letters,Referred requester and /or request to more appropriate entity (EOUSA),,,,
FOIA-2015-04887,OIP,07/29/2015,a copy of a third party's last will and testament,Referred requester and/or request to more appropriate entity (NATO/OTAN),,,,
FOIA-2015-02854,ASG,07/30/2015,"meetings between the DOJ leadership and law enforcement agencies re privacy and safety of third parties in criminal investigations, including agendas, materials distributed, notes taken, and transcripts, recordings, or reports produced from the meetings",No Records responsive to request were located,,,,
FOIA-2015-00325,AG,07/31/2015,copy of United States Attorney General Order Number 2481-2001,Full Grant: All requested documents RIF,,,,
FOIA-2015-04293,OIP,07/31/2015,Information regarding PREA grievances and legal assistance,Provided relevant information and assistance,,,,
FOIA-2013-03553,OLA,06/26/2015,Records pertaining to Part 4 of the report of the House-Senate Joint Inquiry into the intelligence community's activities prior to Sept. 11,No Records responsive to request were located,,,,
FOIA-2015-04070,OIP,06/26/2015,records regarding any incidents involving the use of Unmanned Aerial Vehicles to smuggle contraband into prisons that are under the jurisdiction of the Federal Bureau of Prisons,Referred requester and/or request to more appropriate entity (BOP),,,,
FOIA-2015-03889,OIP,06/30/2015,"FOIA logs from December 1, 2014",Full grant of publicly available material,,,,
FOIA-2015-04065,OIP,06/30/2015,executed settlement agreement between DOJ and Covenant Hospice from June 2015,Referred requester and/or request to more appropriate entity (CIV),,,,
FOIA-2015-04092,OIP,06/30/2015,"records pertaining to Pacira Pharmaceuticals, Inc.",Referred requester and/or request to more appropriate entity (EOUSA),,,,
FOIA-2015-04093,OIP,06/30/2015,"records from any federal jurisdiction that pertain to any investigation, surveillance, warrant request, arrest, arraignment and/or prosecution under 18 U.S. Code § 1519.","Referred requester and/or request to more appropriate entity (EOUSA, FBI)",,,,
