Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-01491,OIP,2/19/14,Various records pertaining to the Racketeer Influenced and Corrupt Organizations Act (RICO),Full Grant of public material available free of charge but informed requester that further production would incur duplication fees; Provided other relevant information and assistance,,
FOIA-2014-01499,OIP,2/19/14,Requested assistance with filing various complaints as well as the names of the U.S. Department of Justice Director and the Director of the Office of the Inspector General,Provided requester with the  DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-01500,OIP,2/19/14,FOIA agency contact information and reference materials,Full Grant,,
FOIA-2014-01501,OIP,2/19/14,List of federal Freedom of Information Act contacts,Full Grant,,
FOIA-2014-01502,OIP,2/19/14,Copy of Attachment (B) of the Department of Justice Freedom of Information Act Reference Guide (Reference Guide),Full Grant,,
FOIA-2014-01508,OIP,2/19/14,Records concerning a court case,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01520,OIP,2/19/14,Copies of FOIA reference materials,Full Grant,,
FOIA-2014-01522,OIP,2/19/14,Submitting a complaint regarding a recent experience with Amtrak,Referred requester and/or request to more appropriate entity (Amtrak); Provided other relevant information and assistance,,
FOIA-2014-01602,OIP,2/20/14,"Records regarding a specific address, in relation to a case in the Western District of New York",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01604,OIP,2/20/14,Questions regarding information submitted to the Department in regard to a case in the Eastern District of Wisconsin,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01397,OIP,2/21/14,Requesting assistance to complete a criminal information form,Provided requester with the  DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-01591,OIP,2/21/14,"Information regarding appropriations made under ""Avonte's Law""",Referred requester and/or request to more appropriate entity (OJP),,
FOIA-2014-01646,OIP,2/24/14,Records related to seventeen specific cases prosecuted in the District of Nevada,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-00879,OAG,2/25/14,"Records of communication between DOJ and the non-profit organizations The Innocence Project and National Association of Criminal Defense Lawyers regarding Willie Jerome Manning, and any communications between DOJ and any other parties regarding Manning",Full Grant,,
FOIA-2014-01074,ODAG,2/25/14,Memorandum to United States Attorneys from former Deputy Attorney General David Ogden on authorization for certain early disposition programs,Request Closed for Administrative Reasons: Correspondence to requester was returned as undeliverable,,
FOIA-2014-01524,OIP,2/25/14,"Copies of the Freedom of Information Act, Privacy Act, and Department of Justice Freedom of Information Act Reference Guide",Full Grant,,
FOIA-2014-01532,OIP,2/25/14,Information related to a specific case file,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-01552,OIP,2/25/14,Information pertaining to a third party,Provided requester with the  DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-01554,OIP,2/25/14,Copy of an informant file,Provided requester with the  DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-01558,OIP,2/25/14,Information pertaining to a third party,Referred requester and/or request to more appropriate entity (EOUSA); Provided other relevant information and assistance,,
FOIA-2014-01563,OIP,2/25/14,"Information pertaining to MB Financial Bank; specifically, any information regarding Vice President of Commercial Banking James Mann and the issues associated with Cheetah Gym.",Provided requester with the  DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-01564,OIP,2/25/14,"Information pertaining to MB Financial Bank; specifically, any information regarding Vice President of Commercial Banking James Mann and the issues associated with Cheetah Gym.",Provided requester with the  DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-01601,OIP,2/25/14,Inquiring into FBI request number 1250161-000,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-01368,OIP,2/26/14,"A log of all FOIA requests, and information about their requesters, pertaining to Steven Cohen, S.A.C. Capital Advisors, LP, Sigma Capital Management, LLC; and various related entities",Full Grant,,
FOIA-2014-01513,OIP,2/26/14,"All records searched by employers, including medical records",Provided requester with the  DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-01534,OIP,2/26/14,Records pertaining to certain informants involved in an investigation during the 1940s,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-01615,OIP,2/26/14,Records pertaining to a third party,Provided requester with the  DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-01684,OAG,2/26/14,All records pertaining to real property located in Tenino WA and communications between third parties and the Department of Justice,No Records; Referred requester and/or request to more appropriate entity (ENRD),,
FOIA-2014-01685,ODAG,2/26/14,All records pertaining to real property located in Tenino WA and communications between third parties and the Department of Justice,No Records; Referred requester and/or request to more appropriate entity (ENRD),,
FOIA-2014-01686,OASG,2/26/14,All records pertaining to real property located in Tenino WA and communications between third parties and the Department of Justice,No Records; Referred requester and/or request to more appropriate entity (ENRD),,
FOIA-2013-04324,OAG,2/27/14,"Records in which personal e-mail accounts were exclusively used to conduct Department of Justice business with other agencies, excluding e-mails sent or copied between official DOJ e-mail accounts","Advised requester that a FOIA search would locate personal e-mails only if they were sent or copied between DOJ accounts, which are not responsive to the request",,
FOIA-2013-04325,ODAG,2/27/14,"Records in which personal e-mail accounts were exclusively used to conduct Department of Justice business with other agencies, excluding e-mails sent or copied between official DOJ e-mail accounts","Advised requester that a FOIA search would locate personal e-mails only if they were sent or copied between DOJ accounts, which are not responsive to the request",,
FOIA-2014-01503,OIP,2/28/14,"Copy of the Guide to the Freedom of Information Act, as well as contact information relevant to federal agencies",Full Grant of public material available free of charge but informed requester that further production of Guide would incur duplication fees; Provided other relevant information and assistance,,
FOIA-2014-01423,OLP,2/28/14,"Oaths of Office and Presidential Commission documents for U.S. District Judges Robert Lasnik, Robert Bryan, Rosanna Malouf Peterson, Robert Broomfield, David Bury, and Lewis Babcock; United States Circuit Judges Pamela Ryner, Sandra Ikuta, Alfred Goodwin, J. Clifford Wallace, Susan Graber, and Phyllis Hamilton, as well as several magistrate judges",Partial Grant/Partial Denial; Provided other relevant information and assistance,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
