Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-03401,OIP,7/8/14,"Records concerning FOIA appeal file numbers 12-732, 14-825, and a Privacy Act appeal filed on December 13, 2013",No Records; Provided other relevant information and assistance,,
FOIA-2014-02884,OAG,7/9/14,"A list of all cases, from 1990 to the present, in which the Attorney General or his or her designee certified a request by a foreign nation that the Justice Department seek to restrain assets in U.S. courts",No Records; Referred requester and/or request to more appropriate entity (CRM),,
FOIA-2014-03205,OIP,7/9/14,"Department of Justice records pertaining to human trafficking including, but not limited to official training funding, prevention, enforcement, statistics, and associated programs","Referred requester and/or request to more appropriate entity (CRT, BJA, OJP, BJS, FBI); Provided other relevant information and assistance",,
FOIA-2014-03209,OAG,7/9/14,"Records concerning Drummond Company, Inc.’s activities in Colombia",Partial Grant/Partial Denial; Provided other relevant information and assistance,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2014-03210,ODAG,7/9/14,"Records concerning Drummond Company, Inc.’s activities in Colombia",Partial Grant/Partial Denial; Provided other relevant information and assistance,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2014-03211,OASG,7/9/14,"Records concerning Drummond Company, Inc.’s activities in Colombia",Partial Grant/Partial Denial; Provided other relevant information and assistance,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2014-03285,OIP,7/9/14,Records gathered by a United States Attorney’s Office pertaining to a third party,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03446,OIP,7/9/14,"Invoices, bills, lists of charges, or other financial account statements from the year 2014 related to all newspapers, magazines, and other publications, including online subscriptions, currently subscribed to by the Office of the Attorney General",Referred requester and/or request to more appropriate entity (JMD),,
FOIA-2014-03461,OIP,7/9/14,The apprehension and 1967 deportation of an individual,Request Withdrawn,,
FOIA-2014-03076,OLA,7/10/14,"Records on how information from ""cell tower dumps"" are used, stored, handled and shared",Full Grant of referred records,,
FOIA-2014-03077,OLA,7/10/14,"Records concerning how search queries obtained by law enforcement from search engine operators are used, stored, handled and shared",Full Grant of referred records,,
FOIA-2014-03221,OLP,7/10/14,"Appointment Affidavits, Oath of Office, and Senate Confirmation document pertaining to Judge Patrick Michael Duffy of the United States District Court of the District of South Carolina",Partial Grant/Partial No Records,,
FOIA-2014-03395,OAG,7/11/14,"Records relating to an Order issued by United States District Court Judge Paul Benson of the District of North Dakota on or about February 19, 1983, related to a violent confrontation near Medina, North Dakota on February 13, 1983","Referred requester and/or request to more appropriate entity (CRM, EOUSA, NARA, FBI)",,
FOIA-2014-03459,OLP,7/11/14,"Appointment Affidavits, Oath of Office, and Senate Confirmation document pertaining to U.S. District Court Judge Morrison C. England Jr. of the Eastern District of California",Partial Grant/Partial No Records,,
FOIA-2014-03506,OLP,7/11/14,"Appointment Affidavits, Presidential Commissions, and Oaths of Office pertaining to U.S. District of Wyoming judges Nancy Freudenthal, Alan Johnson, and Scott Skavdahl",Partial Grant/Partial Denial/Partial No Records,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2014-03267,OIP,7/14/14,Information pertaining to the change of position title of Freedom of Information Act/Privacy Act personnel to Government Information Specialist,Provided relevant information and assistance,,
FOIA-2014-03356,OIP,7/14/14,Information about a medical court case,"Referred requester and/or request to more appropriate entity (FBI, EOUSA, HHS)",,
FOIA-2014-03389,OIP,7/14/14,Records concerning Amtorg Trading Company and related individuals,Determined that records were improperly referred and forwarded records to CRM for further review,,
FOIA-2014-03390,OIP,7/14/14,"Copies of three specific documents referred to by the U.S. Supreme Court in its decision in Clay v. United States, 403 U.S. 698 (1971), which related to Cassius Clay's request for Conscientious Objector status",Referred requester and/or request to more appropriate entity (NARA),,
FOIA-2014-03398,OIP,7/14/14,"Security camera footage of a March 14, 2014 accident from a Chicago, Illinois Social Security Administration office",Referred requester and/or request to more appropriate entity (SSA),,
FOIA-2014-03399,OIP,7/14/14,"Copies of the Superior Court for Judicature of 1693, Administration of Justice Act, Judiciary Act of 1801, Federal Judiciary Act of 1789, U.S. Patriot Act Public Law 107-56, and the Intercept and Obstruct Terrorism Act",Provided requester with public material available free of charge but informed requester that further production would incur duplication fees,,
FOIA-2014-03400,OIP,7/14/14,Copies of requester's original Freedom of Information Act request letter and appeal letter to OIP,Full Grant; Provided other relevant information and assistance,,
FOIA-2014-03528,OIP,7/14/14,Records regarding the federal capital prosecution of Brian Richardson and the capital murder trial of John Charles McCluskey,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03568,OIP,7/14/14,Information pertaining to a federal court case,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03576,OIP,7/14/14,Records from a Federal Bureau of Investigation file,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-03577,OIP,7/14/14,Records from a Federal Bureau of Investigation file,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-03578,OIP,7/14/14,Records from a Federal Bureau of Investigation file,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-03579,OIP,7/14/14,Records from a Federal Bureau of Investigation file,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-03580,OIP,7/14/14,Records from a Federal Bureau of Investigation file,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-03510,OIP,7/15/14,Freedom of Information Act contacts information,Full Grant,,
FOIA-2014-03617,OIP,7/15/14,Records pertaining to a federal complaint,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03227,OAG,7/16/14,"Video of a Department of Justice press conference on December 14, 2000, at which then-Attorney General Janet Reno announced a health care fraud settlement",Referred requester and/or request to more appropriate entity (NARA),,
FOIA-2014-03323,OIP,7/16/14,Records pertaining to Robert Rauschenberg (deceased),Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-03396,OIP,7/16/14,Records concerning a specific FOIA Counsel hotline call made on or about June of 2010,No Records,,
FOIA-2014-03487,OIP,7/16/14,"Documents related to the kidnapping and murder of Frank Thomas Pescatore, Jr.","Referred requester and/or request to more appropriate entity (State, FBI, EOUSA)",,
FOIA-2014-03505,OIP,7/16/14,Records on the alleged interrogations of several individuals,Referred requester and/or request to more appropriate entity (EOUSA); Provided other relevant information and assistance,,
FOIA-2014-03613,OIP,7/16/14,Information related to United States Patent and Trademark Office trademark oppositions since 2005 made past the 720th hour from publication,Referred requester and/or request to more appropriate entity (USPTO),,
FOIA-2014-03624,OIP,7/16/14,Immigration records pertaining to a third party,Referred requester and/or request to more appropriate entity (EOIR),,
FOIA-2014-03627,OIP,7/16/14,Meeting minutes from 2012 through 2013 of the Integrity Committee of the Council of the Inspectors General on Integrity and Efficiency,Referred requester and/or request to more appropriate entity (CIGIE),,
FOIA-2014-03672,OIP,7/16/14,Immigration records,Referred requester and/or request to more appropriate entity (EOIR),,
FOIA-2014-03674,OIP,7/17/14,"Documents pertaining to the case United States of America v. Sydney Jack Williams, Case No. 2:11-cr-00649-SDW, filed in the United States District Court for the District of New Jersey",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03676,OIP,7/17/14,"Documents pertaining to the case United States of America v. Nevin Shapiro, Case No. 2:10-cr-00471-SDW, filed in the United States District Court for the District of New Jersey",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03567,OIP,7/18/14,Various records pertaining to the Department of Justice investigation of the London InterBank Offered Rate (LIBOR) and Euro Interbank Offered Rate (EURIBOR),Referred requester and/or request to more appropriate entity (CRM),,
FOIA-2010-00886,OAG,7/21/14,Records pertaining to the requested extradition of Roman Polanski,Partial Grant/Partial Denial,(b)(5); (b)(6); (b)(7)(C); (b)(7)D),"Certain inter- and intra-agency communications protected by legal privileges; Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to disclose the identity of a confidential source"
FOIA-2014-03360,OIP,7/21/14,"Information about specific FOIA requests filed between March 1, 2012 to June 25, 2014",No Records; Referred requester to the online OIP FOIA request logs ,,
FOIA-2014-03200,OIP,7/22/14,Various records concerning the Department of Justice Department Review Committee,Full Grant,,
FOIA-2014-03264,OIP,7/22/14,Various records concerning the Department of Justice Department Review Committee,Full Grant,,
FOIA-2014-03394,OAG,7/22/14,Various personnel records pertaining to the Attorney General,Referred requester and/or request to more appropriate entity (JMD),,
FOIA-2014-03648,OIP,7/22/14,"Records pertaining to Daniel ""El Loco"" Barrera Barerra",Referred requester and/or request to more appropriate entity (DEA & FBI),,
FOIA-2014-03408,OAG,7/23/14,"Various records relating to the investigation and 1971 grand jury indictment of Otto Kerner, Jr. (deceased) and others","Referred requester and/or request to more appropriate entity (CRM, NARA, EOUSA, IRS, Nixon Library)",,
FOIA-2014-03409,ODAG,7/23/14,"Various records relating to the investigation and 1971 grand jury indictment of Otto Kerner, Jr. (deceased) and others","Referred requester and/or request to more appropriate entity (CRM, NARA, EOUSA, IRS, Nixon Library)",,
FOIA-2014-03460,OIP,7/23/14,Tax records,Referred requester and/or request to more appropriate entity (IRS),,
FOIA-2014-03526,OIP,7/23/14,Tax records,Referred requester and/or request to more appropriate entity (IRS),,
FOIA-2014-03717,OIP,7/23/14,Tax records,Referred requester and/or request to more appropriate entity (IRS),,
FOIA-2014-03730,OIP,7/23/14,Location of a federal inmate,Referred requester and/or request to more appropriate entity (BOP),,
FOIA-2014-03747,OIP,7/23/14,Federal Bureau of Prisons memorandum,Referred requester and/or request to more appropriate entity (BOP),,
FOIA-2014-03426,OIP,7/24/14,Records of consultation by Office of Information Policy staff with the Office of Professional Responsibility regarding exemptions taken from the Freedom of Information Act and/or the Open Meetings Act and Privacy Act,"Provided requester with information on how to make a FOIA request, as specific records being sought could not be identified",,
FOIA-2014-03445,OAG,7/24/14,"Websites bookmarked under the “favorites” function by the Attorney General, Civil Rights Division officials Thomas Perez and Jocelyn Samuels, and former Executive Director of the Financial Fraud Enforcement Task Force Michael Bresnick",Personal records not subject to FOIA,,
FOIA-2014-03458,OIP,7/24/14,Tax and credit report records,Referred requester and/or request to more appropriate entity (IRS),,
FOIA-2014-03571,ODAG,7/24/14,"Websites bookmarked under the “favorites” function by the Attorney General, Civil Rights Division officials Thomas Perez and Jocelyn Samuels, and former Executive Director of the Financial Fraud Enforcement Task Force Michael Bresnick",Personal records not subject to FOIA,,
FOIA-2014-03746,OIP,7/24/14,"A July 3, 2014 Federal Bureau of Prisons memorandum from Warden Denese Wilson, entitled ""Release Planning Information""",Referred requester and/or request to more appropriate entity (BOP),,
FOIA-2014-03767,OIP,7/24/14,Copies of a list of public statutes,Provided relevant information and assistance ,,
FOIA-2014-03659,OIP,7/28/14,"A list of the groups former United States Attorney James Letten, Eastern District of Louisiana, spoke to in 2005, 2006 and 2007",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03677,OIP,7/28/14,Deportation records for an individual,Referred requester and/or request to more appropriate entity (EOIR),,
FOIA-2014-03315,OAG,7/29/14,"Records regarding Attorney General Eric Holder’s personal trip to Elmont, New York over the weekend of June 7, 2014 for the Belmont Stakes",Full Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2014-03507,OIP,7/29/14,Contact information for reporting an alleged crime,Provided relevant information and assistance,,
FOIA-2014-03527,OIP,7/29/14,Information on forty-three individuals who were pardoned,"Referred requester and/or request to more appropriate entity (OPA, BOP)",,
FOIA-2014-03683,OIP,7/29/14,"An ""information packet"" concerning the Freedom of Information Act (FOIA)",Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-03769,OIP,7/29/14,Copy of the Department of Justice Freedom of Information Act Reference Guide,Full Grant,,
FOIA-2014-03770,OIP,7/29/14,Copy of the Department of Justice Freedom of Information Act Reference Guide,Full Grant,,
FOIA-2014-03615,OIP,7/31/14,Copies of request forms and the Department of Justice Freedom of Information Act Reference Guide ,Full Grant,,
FOIA-2014-03859,OIP,7/31/14,"Opinions or memoranda prepared by the Department of Justice’s Office of Legal Counsel regarding, relating to, or containing an interpretation of the reporting requirements and related provisions set forth in 50 U.S.C. § 1871(a)(5), (c)(1), and/or (d)",Referred requester and/or request to more appropriate entity (OLC),,
FOIA-2014-03861,OIP,7/31/14,Information on the amount of money spent on electricity at the Department headquarters in DC over each of the last five years,Referred requester and/or request to more appropriate entity (JMD),,
