Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2015-01744,OIP,2/4/15,A Federal Bureau of Investigation report regarding a third party,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2015-01310,OIP,2/5/15,Emails sent by the current Solicitor General or any former Solicitors General to any member of the United States Supreme Court,Referred requester and/or request to more appropriate entity (OSG),,
FOIA-2015-01578,OIP,2/5/15,"Records regarding requests for ""proposal processes"" at several airports",Provided relevant information and assistance,,
FOIA-2015-01579,OIP,2/5/15,"Records regarding requests for ""proposal processes"" at several airports",Provided relevant information and assistance,,
FOIA-2015-01580,OIP,2/5/15,"Records regarding requests for ""proposal processes"" at several airports",Provided relevant information and assistance,,
FOIA-2015-01585,OIP,2/5/15,"Records pertaining to Covidien, Ltd.",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2015-01106,OAG,2/6/15,Department of Justice procedures for conducting internet stings in the solicitation of minors and criteria for determining which cases for the solicitation of minors are placed under federal jurisdiction,No Records,,
FOIA-2015-01107,ODAG,2/6/15,Department of Justice procedures for conducting internet stings in the solicitation of minors and criteria for determining which cases for the solicitation of minors are place under federal jurisdiction,No Records,,
FOIA-2015-01108,OASG,2/6/15,Department of Justice procedures for conducting internet stings in the solicitation of minors and criteria for determining which cases for the solicitation of minors are placed under federal jurisdiction,No Records,,
FOIA-2015-01373,OIP,2/6/15,Copy of an official statement stating that certain third parties were interned as enemy aliens from 1942 to 1944,Provided relevant information and assistance,,
FOIA-2015-01524,ODAG,2/6/15,Records pertaining to the addition of names to the terrorism watch list by the Department of Justice,Full Grant,,
FOIA-2015-01741,OIP,2/6/15,"Copies of any complaints from August 1, 2011 to present with the United States Department of Justice against the Pennsauken Board of Education or School District (New Jersey) alleging discrimination or retaliation",Referred requester and/or  request to more appropriate entity (CRT),,
FOIA-2014-04325,ODAG,2/9/15,Records pertaining to the decision by the Department of Justice to perform an autopsy on Michael Brown,No Records,,
FOIA-2015-00005,OAG,2/9/15,"Correspondence from May 1, 2010, to the present, between the District of Columbia government and the Office of the Attorney General concerning the District of Columbia Health Department's Medical Marijuana Program",No Records,,
FOIA-2015-01328,OIP,2/10/15,"Communications between the Department of Justice and Senator Rand Paul of Kentucky or his office, and all requests pertaining to Mr. Paul filed with the Department of Justice under the Freedom of Information Act since 2005",Full Grant,,
FOIA-2015-01438,OIP,2/10/15,Filing a consumer fraud complaint,Provided relevant information and assistance,,
FOIA-2015-01483,OIP,2/10/15,Seeking copies of the most recently published FOIA Annual Reports from various named federal agencies,Full Grant,,
FOIA-2015-01485,OIP,2/10/15,"Copy of ""a guidebook to file for sovereignty""",Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2015-01528,OAG,2/10/15,Copy of the final release in FOIA 2014-00375,Full Grant,,
FOIA-2015-01531,PAO,2/10/15,Records pertaining to the National LGBT Bar Associations 2012 Lavender Law Conference and Career Fair,Partial Grant/Partial Denial,"(b)(5), (b)(6) ",Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2015-01532,OLP,2/10/15,Report to the Attorney General on the 6th Amendment Right to Counsel under the Massiah line of cases,Full Grant,,
FOIA-2015-01608,OIP,2/10/15,Allegations of abuse from prison guards,Provided relevant information and assistance,,
FOIA-2015-01611,OLP,2/10/15,"Oaths of Office, Appointment Affidavits, Presidential Commissions, and Senate Confirmation documents for Judge J. Ronnie Greer and Magistrate Judge Dennis H. Inman of the Eastern District of Tennessee",Partial Grant/Partial No Records,,
FOIA-2015-01645,OAG,2/10/15,Copy of the Attorney General's Guidelines for Domestic Operations,Full Grant,,
FOIA-2015-01709,OIP,2/10/15,Copies of the most recently published FOIA Annual Reports from various named federal agencies,Full Grant,,
FOIA-2015-01713,OLP,2/10/15,"Appointment Affidavits, Oath of Office, Presidential Commission, and Senate Confirmation document for U.S. District Court Judge James P. Jones of the Western District of Virginia",No Records; Provided additional information and assistance,,
FOIA-2015-01530,OLA,2/11/15,"""Fast and Furious"" documents provided to Congress",Partial Grant/Partial Denial,"(b)(6), (b)(7)(C)","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2015-01800,OASG,2/11/15,"Name, address, and telephone number of the independent monitor who was appointed to oversee the $16.65 billion settlement between the U.S. Department of Justice and Bank of America",Full grant of publicly available information,,
FOIA-2015-01437,OAG,2/12/15,"Records from the Federal Bureau of Investigation (FBI) pertaining to (1) the ""Committee to investigate the FBI"" also known as the ""Citizens Commission to Investigate the FBI"" and ""Commission to Investigate the FBI; as well as (2) files that indicate a relationship to the break-in at the FBI office in Media, PA in March 1971",Full Grant of referred documents,,
FOIA-2015-01484,OIP,2/12/15,"Correspondence and telephone records between the Department of Commerce and former Congressman Michael McMahon, Christopher S. McCannell, Jeffrey S. Siegel, and Lauren Amendolara",Referred requester and/or request to more appropriate entity (DOC),,
FOIA-2015-01646,PAO,2/12/15,A copy of the material released in response to PAO/12-01422 (F),Partial Grant/Partial Denial,"(b)(5), (b)(6)",Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2015-01648,OAG,2/12/15,"Correspondence between Assistant United States Attorney John Durham and the Office of the Attorney General regarding cases of alleged abuse of individuals in United States custody overseas whose conclusion was announced on June 3, 2011",Partial Grant/Partial Denial,"(b)(3), (b)(5), (b)(6)",Information that is prohibited from disclosure by another federal law; Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2015-01652,OLP,2/12/15,Oath of Office for former U.S. Supreme Court Justice William H. Rehnquist,Full Grant,,
FOIA-2015-01371,OAG,2/13/15,Records from specific Federal Bureau of Investigation (FBI) files,Partial Grant/Partial Denial of referred records,"(b)(6), (b)(7)(C)","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2015-01607,OIP,2/13/15,Requesting assistance in filing a complaint,Provided relevant information and assistance,,
FOIA-2015-01902,OASG,2/13/15,Records on Preston T. Tucker,Referred requester and/or request to more appropriate entity (NARA); Provided other relevant information and assistance,,
FOIA-2015-01903,OAG,2/13/15,Records on Preston T. Tucker,Referred requester and/or request to more appropriate entity (NARA); Provided other relevant information and assistance,,
FOIA-2015-01904,ODAG,2/13/15,Records on Preston T. Tucker,Referred requester and/or request to more appropriate entity (NARA); Provided other relevant information and assistance,,
FOIA-2014-03745,ODAG,2/18/15,"Records of communication between the Office of the Deputy Attorney General and representatives of the Federal Defenders, American Civil Liberties Union, Families Against Mandatory Minimums, the American Bar Association, and the National Association of Criminal Defense Lawyers regarding the Clemency Project 2014",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2015-01435,OIP,2/18/15,"Records pertaining to the investigation relating to property located at 87-1161 Hakimo Road, Waianae, HI  96792",Determined that records were improperly referred and forwarded records to ATF and DEA for further review,,
FOIA-2015-01610,OIP,2/18/15,Seeking to file a complaint,Provided relevant information and assistance,,
FOIA-2015-01710,OIP,2/18/15,Seeking to file a complaint,Provided relevant information and assistance,,
FOIA-2015-01712,OIP,2/18/15,Information pertaining to a Criminal Division Freedom of Information Act request,Referred requester and/or request to more appropriate entity (CRM),,
FOIA-2015-01738,OIP,2/18/15,"Records regarding a manuscript written by Joseph Valachi entitled ""The Real Thing""","Referred requester and/or request to more appropriate entity (NARA, JFKPLM)",,
FOIA-2015-01745,OIP,2/18/15,Records pertaining to the preparation of Robert Pitcoff to testify as a witness before the House Un-American Activities Committee in 1939,Referred requester and/or request to more appropriate entity (NARA),,
FOIA-2015-01590,OIP,2/19/15,Copies of seven different executive orders,Full Grant of publicly available material,,
FOIA-2015-01649,OAG,2/19/15,Copy of the Attorney General's Confidential Informant Guidelines,Full Grant,,
FOIA-2015-01658,OIP,2/19/15,Seeking to make a complaint,Provided relevant information and assistance,,
FOIA-2015-01708,ODAG,2/19/15,"Records pertaining to the Deputy Attorney General’s role at the Department of Justice, the Department’s mission in Iraq, and final orders and opinions issued by the Deputy Attorney General",Full Grant of publicly available material,,
FOIA-2015-01805,OIP,2/19/15,Copy of a Freedom of Information Act request previously submitted to the FBI,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2015-01810,OIP,2/19/15,Discussing a copyright issue,Provided relevant information and assistance ,,
FOIA-2015-01222,OIP,2/20/15,Alleging civil rights violation and extortion,Referred requester and/or request to more appropriate entity (CRT),,
FOIA-2015-01679,OAG,2/20/15,"Correspondence between then-U.S. Attorney for New Jersey, Chris Christie and then-Attorney General Alberto Gonzales concerning the Duke lacrosse case prosecution in Durham, NC between 8/1/06 and 9/30/06",No Records,,
FOIA-2015-01711,OIP,2/20/15,Assistance with garnished wages,Provided relevant information and assistance,,
FOIA-2015-01755,OAG,2/20/15,Log of all FOIA requests made to the Office of the Attorney General in 2013 and 2014,Full Grant,,
FOIA-2015-01897,OLP,2/20/15,"Report to the Attorney General on the Law of Pre-Trial Interrogation, dated February 12, 1986",Full Grant,,
FOIA-2015-01961,OIP,2/20/15,Records pertaining to a Colorado Department of Corrections file and excerpts from the Privacy Act,Provided relevant information and assistance,,
FOIA-2015-01407,OIP,2/23/15,Records pertaining to the Mountain Weather Emergency Operations Center,Request closed for fee-related reasons,,
FOIA-2015-01533,OIP,2/23/15,"Records regarding an illegal gambling and political corruption scandal in Indianapolis, Indiana during the 1980s through the 2000s; as well as records regarding a Charles A. Guynn, Rev. Bernard Strange, and Isaac ""Tuffy"" Mitchell, ranging from the 1930s through the 1970s","Referred requester and/or request to more appropriate entity (FBI, NARA); Provided other relevant information and assistance",,
FOIA-2015-01651,OIP,2/23/15,"Copies of the USA PATRIOT Act and the ""Domestic Terrorist Act""",Provided link to Patriot Act; Provided other relevant information and assistance,,
FOIA-2015-01655,OIP,2/23/15,DOJ FOIA reference guide,Full Grant,,
FOIA-2015-01891,OIP,2/23/15,"The murder of Security Guard Garry Germain at Columbia Journalism School on December 20, 1988",Provided relevant information and assistance,,
FOIA-2014-04092,ODAG,2/24/15,"Records of communication between the Office of the Deputy Attorney General and representatives of the Federal Defenders, American Civil Liberties Union, Families Against Mandatory Minimums, the American Bar Association, and the National Association of Criminal Defense Lawyers regarding the Clemency Project 2014",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2015-01586,OIP,2/24/15,Information collected from International Adoption Guides,"Referred requester and/or request to more appropriate entity (CRM, EOUSA, DOS)",,
FOIA-2015-01787,ODAG,2/24/15,"Records responsive to a FOIA request directed to the Office of Deputy Attorney General by Judicial Watch and received on or about March 19, 2014, regarding clemency efforts and outside groups",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2015-01814,OIP,2/24/15,FOIA Guidelines from U.S. Attorney General Holder to heads of executive departments and agencies pertaining to the commitment to accountability and transparency,Full Grant,,
FOIA-2015-01878,OIP,2/24/15,Records concerning the Correctional Offender Management Profiling for Alternative Sanctions (COMPAS) Risk and Need Assessment Instrument,Provided relevant information and assistance ,,
FOIA-2014-03519,OAG,2/25/15,Investigation and prosecution of former Virginia Governor Robert McDonnell and his wife Maureen McDonnell regarding improper acceptance of gifts/loans,Partial Grant/Partial Denial,"(b)(6), (b)(7)(A), (b)(7)(C), (b)(7)(D)","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to interfere with enforcement proceedings; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to disclose the identity of a confidential source "
FOIA-2014-03520,PAO,2/25/15,Investigation and prosecution of former Virginia Governor Robert McDonnell and his wife Maureen McDonnell regarding improper acceptance of gifts/loans,Partial Grant/Partial Denial,"(b)(6), (b)(7)(A), (b)(7)(C), (b)(7)(D)","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to interfere with enforcement proceedings; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to disclose the identity of a confidential source "
FOIA-2015-01747,OIP,2/25/15,Attachment A to the FOIA Reference Guide,Full Grant,,
FOIA-2015-01815,OIP,2/25/15,Copy of the FOIA statute as amended by the Open Government Act of 2007,Full Grant of publicly available material,,
FOIA-2015-01930,OIP,2/25/15,A list of countries with which the Department shares sex offender information,Referred requester and/or request to more appropriate entity (OJP),,
FOIA-2015-01945,OIP,2/25/15,Records regarding any investigation of judges Walter Scott Smith and/or Harry Lee Hudspeth by United States Attorney Richard Durbin of the Western District of Texas,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2015-01969,OIP,2/25/15,"Records of investigations of the Alaska National Guard and the Anchorage, Alaska Police Department by the Federal Bureau of Investigation",Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2015-01975,OIP,2/25/15,"Records associated with an application for employment with the Federal Bureau of Prisons at Leavenworth, Kansas",Referred requester and/or request to more appropriate entity (BOP),,
FOIA-2015-01821,OAG,2/26/15,Copy of  the Current Oath of Office for Attorney General Eric Holder,Full Grant,,
FOIA-2015-01879,OIP,2/26/15,"Copies of various named federal codes, regulations and statutes",Provided Requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2015-01905,OIP,2/26/15,"Copies of ""any response the Department of Justice gave to the Suffolk County, New York Police Department pertaining to their July 14th compliance report""",Provided relevant information and assistance,,
FOIA-2015-01707,OAG,2/27/15,"Legal basis for the United States to provide in-kind support to the International Criminal Court on tracking and apprehending members of the (1) Lord’s Resistance Army, including Dominic Ongwen and Joseph Kony, in Uganda; (2) Sudanese government, including Ahmad Muhammad Harun and Omar Hassan Ahmad Al Bashir; and (3) Democratic Forces for the Liberation of Rwanda, including Sylvestre Mudacumura in the Democratice Republic of the Congo",No Records; Provided additional information and assistance,,
FOIA-2015-01859,ODAG,2/27/15,"Legal basis for the United States to provide in-kind support to the International Criminal Court on tracking and apprehending members of the (1) Lord’s Resistance Army, including Dominic Ongwen and Joseph Kony, in Uganda; (2) Sudanese government, including Ahmad Muhammad Harun and Omar Hassan Ahmad Al Bashir; and (3) Democratic Forces for the Liberation of Rwanda, including Sylvestre Mudacumura in the Democratice Republic of the Congo",No Records; Provided additional information and assistance,,
FOIA-2015-01860,OASG,2/27/15,"Legal basis for the United States to provide in-kind support to the International Criminal Court on tracking and apprehending members of the (1) Lord’s Resistance Army, including Dominic Ongwen and Joseph Kony, in Uganda; (2) Sudanese government, including Ahmad Muhammad Harun and Omar Hassan Ahmad Al Bashir; and (3) Democratic Forces for the Liberation of Rwanda, including Sylvestre Mudacumura in the Democratice Republic of the Congo",No Records; Provided additional information and assistance,,
FOIA-2015-01864,OIP,2/27/15,Attorney General guidelines governing the Freedom of Information Act (FOIA),Full Grant,,
