Request           Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2012-00092,OIPL,2/14/12,Claims by Holocaust Survivors,No Records,,
FOIA-2012-00144,ODAG,2/14/12,"Records regarding Assistant Attorney General Thomas E. Perez's speech on July 23, 2011 and the National Council of La Raza Annual Conference",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00143,OAG,2/14/12,"Records regarding Assistant Attorney General Thomas E. Perez's speech on July 23, 2011 and the National Council of La Raza Annual Conference",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00145,PAO,2/14/12,"Records regarding Assistant Attorney General Thomas E. Perez's speech on July 23, 2011 and the National Council of La Raza Annual Conference",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00348,OLP,2/14/12,"Records pertaining to draft bill described in the Sept 27, 2010 New York Times article entitled U.S. Tries to Make it Easier to Wiretap the Internet",Duplicate Request,,
FOIA-2012-00428,ODAG,2/14/12,"Records pertaining to draft bill described in the Sept 27, 2010 New York Times article entitled U.S. Tries to Make it Easier to Wiretap the Internet",Duplicate Request,,
FOIA-2012-00435,OIP,2/21/12,Requesting assistance concerning alleged harassment,Other: Informed requester that the FOIA is a records access statute and is not applicable to this query,,
FOIA-2012-00414,OIP,2/21/12,"Records pertaining to the identities and titles of certain officials, as well as records pertaining to the Federal Register","Other: Determined that the Justice Management Division, DOJ, was the most appropriate entity for handling, and referred requester to that component",,
FOIA-2012-00429,OIP,2/21/12,"Information pertaining to “gang stalking""",Informed requester that records sought were not reasonably described and provided DOJ Reference Guide to help requester refine request,,
FOIA-2012-00394,OIP,2/21/12,Information concerning Educational Good Time Credit and Institutional Good Time Credit,"Other: Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling, and referred requester to that component",,
FOIA-2012-00407,OIP,2/21/12,Records on evidence pertaining to the loss of life on the U.S. southern boarder related to Operation Fast and Furious,"Other: Determined that the Bureau of Alcohol, Tobacco, Firearms and Explosives, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2010-00017,OAG,2/21/12,Records pertaining to the shooting down of a small plane by the Peruvian Air Force on 4/20/01 and any related federal investigations,No Records,,
FOIA-2012-00352,OASG,2/21/12,"Copy of a ""term sheet outlining for the 'creation of a federal account funded by the nation's 14 largest mortgage firms to help distressed borrowers avoid foreclosure and settle ongoing probes into faulty mortgage practices'""",Other: Documents referred by office originally processing the request were determined to be not responsive to the request after review by OIP,,
FOIA-2012-00438,OLP,2/21/12,Oath of Office for District Court Judge Solomon Oliver Jr.,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00387,OAG,2/22/12,Copies of all Office of Legal Counsel opinions pertaining to the Foreign Emoluments clause of the Constitution,Duplicate Request,,
FOIA-2012-00385,OAG,2/22/12,"Records pertaining to the investigation involving Qualcomm, Inc.","Other: Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00193,OAG,2/22/12,"Seeking records on two specific websites, www.kurupt.cc and www.kurupt.bz.",No Records,,
FOIA-2012-00389,OIP,2/22/12,Oath of Office for OIP Director Melanie Ann Pustay,Full Grant,,
FOIA-2012-00432,OIP,2/22/12,Copies of FOIA guidance provided to agencies by OIP,Full Grant,,
FOIA-2010-00959,ODAG,2/23/12,Records regarding the number of requests to close proceedings from the Department of Justice or a U.S. Attorneys Office under 28 C.F.R. § 50.9 from 1/1/04 to the present,Full Grant,,
FOIA-2011-01140,OAG,2/23/12,"Communications between the Department of Justice and Governor Rick Perry or the Texas Office of the Governor since December 21, 2000",Request Withdrawn,,
FOIA-2012-00434,OAG,2/23/12,Records on U.S. military bases in Iraq and Afghanistan,Full Grant,,
FOIA-2012-00408,OAG,2/24/12,Attorney General records created since the enactment of the Gun Control Act of 1968 relating to shotguns or shotgun shells found to be “suitable for sporting purposes.”,"Other: Determined that the Bureau of Alcohol, Tobacco, Firearms and Explosives, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00459,OIP,2/24/12,Communications with employees of the City of St. Paul regarding Supreme Court case Magner v. Gallagher,No Records,,
FOIA-2012-00430,OIP,2/28/12,Information about making a FOIA request to the Department of Justice,Full Grant,,
FOIA-2012-00437,OAG,2/28/12,Records pertaining to a letter sent to the U.S. Attorney General from an NYPD officer,No Records,,
FOIA-2012-00464,OIP,2/28/12,Records related to various federal employees and state records,"Other: Determined that the Bureau of Alcohol, Tobacco, Firearms and Explosives, Drug Enforcement Administration, and Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling, and referred request and requester to those components for processing",,
FOIA-2012-00465,OIP,2/28/12,"Records regarding an Assistant U.S. Attorney and employees at the Bureau of Alcohol, Tobacco, Firearms, and Explosives","Other: Determined that the Bureau of Alcohol, Tobacco, Firearms and Explosives, and Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling, and referred request and requester to those components for processing",,
FOIA-2010-00023,OAG,2/28/12,"Records on a report entitled ""An Investigation of Allegations of Politicized Hiring by Monica Goodling and other staff in the Office of the Attorney General""",Request Withdrawn,,
FOIA-2010-01377,OLP,2/29/12,Records related to the creation of the National Security Division (NSD) of the Department of Justice and the NSD working group,Partial Grant/Partial Denial,(b)(5); (b)(6); (b)(7)(C),"Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party;  Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2011-00866,OAG,2/29/12,Documents pertaining to the Republic of New Africa,"All Records Referred to the Executive Office for United States Attorneys, DOJ, for processing and direct response to requester",,
FOIA-2012-00441,PAO,2/29/12,Records pertaining to the Department’s online IP-enforcement strategy for domain name seizures,Other: Documents referred by office originally processing the request were determined to be not responsive to the request after review by OIP,,
