Request           Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2012-00300,OIP,1/5/12,Information pertaining to New York Judge Carolyn Engel Temin and District Attorney Anne Marie Coyle,Other: Informed requester that the FOIA does not apply to state or local records,,
FOIA-2012-00318,OLP,1/5/12,"Copies of the appointment affidavits for U.S. District Court Judge Gladys Kessler, as well as for an Assistant U.S. Attorney and a D.C. Public Defender",Duplicate Request,,
FOIA-2012-00273,OIP,1/6/12,"Documents pertaining to former Secretary-Treasurer William (Bill) Lucy of the American Federation of State, County and Municipal Employees",Duplicate Request,,
FOIA-2012-00265,OIP,1/6/12,Asking whether OIP has jurisdiction and oversight over state records,Other: Informed requester that the FOIA does not apply to state or local records,,
FOIA-2011-01192,ODAG,1/6/12,Records pertaining to the International Marriage Broker Regulation Act.,Partial Grant/Partial Denial,(b)(5); (b)(6),Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2012-00276,OIP,1/9/12,Requesting an investigation of inmates being forced to work without pay,Other: Informed requester that the FOIA is a records access statute and is not applicable to this query,,
FOIA-2011-00539,OLP,1/9/12,"Records/information pertaining to ""Department of Justice concerns on Inspector General Testimonial Subpoena Authority""",No Records,,
FOIA-2012-00323,OAG,1/9/12,"Documents pertaining to former Secretary-Treasurer William (Bill) Lucy of the American Federation of State, County and Municipal Employees","Other: Determined that the Civil Rights Division, DOJ, and National Archives and Records Administration were the most appropriate entities for handling, and referred requester to those entities",,
FOIA-2012-00329,OIP,1/9/12,Department of Justice Reference Guide and Standard Form 95,Full Grant,,
FOIA-2012-00331,OIP,1/9/12,Request to amend or correct a telephone list provided by requester,Other: Informed requester that the FOIA is a records access statute and is not applicable to this query,,
FOIA-2012-00291,OIP,1/10/12,Records pertaining to course materials for several Department of Justice Office of Legal Education courses,Full Grant,,
FOIA-2010-00914,OLA,1/10/12,Reports to Congress on the status of United States persons or residents detained on suspicion of terrorism and records leading to the preparation of such reports (28 USC 509),Partial Grant/Partial No Records,,
FOIA-2010-01133,OLA,1/10/12,Records pertaining to the creation of the National Security Division’s (NSD) Oversight Section,Full Grant,,
FOIA-2012-00262,OIP,1/10/12,"Attachments A, C, and D of the Department of Justice Reference Guide",Full Grant,,
FOIA-2012-00307,OIP,1/10/12,"Copies of any standard FOIA/PA request and appeal forms, and a publication list from the Department of Justice",Full Grant,,
FOIA-2012-00328,OLP,1/10/12,Records maintained by the Department of Justice on U.S. District Court Judges Vaughn Walker and Owen Panner,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00335,OIP,1/10/12,"Copies of the Department of Justice Reference Guide, Standard Form 95 and ""Bond for OTN: H0474224""",Partial Grant/Partial No Records,,
FOIA-2012-00337,OIP,1/10/12,"Copies of the Department of Justice Reference Guide, Standard Form 95 and ""Bonds for certain OTN""",Partial Grant/Partial No Records,,
FOIA-2012-00341,OIP,1/11/12,Seeking a copy of the Uniform Commercial Code-1 form,Full Grant,,
FOIA-2012-00301,OIP,1/11/12,Asking about the functions of the Department of Justice,Full Grant,,
FOIA-2011-01039,OLA,1/11/12,"Records relating to all complaints to the Joint Chiefs of Staff and their respective representatives due to the discontinuance of the ""Don't Ask, Don't Tell"" Policy",No Records,,
FOIA-2010-00628,OAG,1/12/12,Correspondence from specific media organizations to the Offices of the Attorney General and Public Affairs concerning invitations for media sponsored events and requests to interview political appointees during 2009,Full Grant,,
FOIA-2011-00710,OIP,1/12/12,Certain records pertaining to statutory exclusions contained in the FOIA,Full Grant,,
FOIA-2011-00146,OAG,1/13/12,"Copies of all notices of class action lawsuit settlements served upon the Attorney General, as required by 28 U.S.C. § 1715, within the last four years",Request withdrawn for fee-related reasons,,
FOIA-2012-00302,OIP,1/17/12,A copy of the Freedom of Information Act and Privacy Act statutes as well as a list of Department of Justice components,Full Grant,,
FOIA-2010-00450,OIP,1/17/12,"Copy of the administrative FOIA case file for a FOIA request from Christopher J. Farrel, request number PAO/05-R0310",Partial Grant/Partial Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2010-00927,OLA,1/17/12,"Records concerning Congressional reports pertaining to pen registers and trap and trace devices from January 1, 2004, to the present",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2011-00229,OAG,1/17/12,Any and all records pertaining to WikiLeaks Organization,Full Denial,(b)(7)(A),"Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to interfere with law enforcement proceedings"
FOIA-2011-00230,ODAG,1/17/12,Any and all records pertaining to WikiLeaks Organization,Full Denial,(b)(7)(A),"Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to interfere with law enforcement proceedings"
FOIA-2011-00231,OLP,1/17/12,Any and all records pertaining to WikiLeaks Organization,Full Denial,(b)(7)(A),"Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to interfere with law enforcement proceedings"
FOIA-2012-00293,OIP,1/18/12,Records pertaining to former Nixon Attorney General John Mitchell,"Other: Determined that the National Archives and Records Administration and Nixon Presidential Library were the most appropriate entities for handling, and referred requester to those entities",,
FOIA-2011-00904,ODAG,1/18/12,"Records concerning disbursements to “qualified organizations” pertaining to U.S. v. AIG Federal Savings Bank & Wilmington Finance, Inc., and U.S. v. Sterling",Partial Grant/Partial Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2011-00905,OASG,1/18/12,"Records concerning disbursements to “qualified organizations” pertaining to U.S. v. AIG Federal Savings Bank & Wilmington Finance, Inc., and U.S. v. Sterling",Partial Grant/Partial Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2012-00282,OAG,1/18/12,"Any correspondence between Department of Justice and officials of the Canadian Government and California district attorney and state officials regarding Randy and Evi Quaid, 2010-2011",No Records,,
FOIA-2012-00283,ODAG,1/18/12,"Any correspondence between Department of Justice and officials of the Canadian Government and California district attorney and state officials regarding Randy and Evi Quaid, 2010-2011",No Records,,
FOIA-2012-00284,OASG,1/18/12,"Any correspondence between Department of Justice and officials of the Canadian Government and California district attorney and state officials regarding Randy and Evi Quaid, 2010-2011",No Records,,
FOIA-2012-00351,OIP,1/18/12,"Documents regarding the agreements between, responsibilities of, and the regulations prescribed by the Administrative Conference of the Federal Register, the Dir. of the Federal Register, the Attorney General, OMB, and the Chief FOIA Officers under various federal laws and statutes",Request Withdrawn,,
FOIA-2012-00361,OAG,1/18/12,Emails in the possession of the Criminal Division pertaining to the Climatic Research Center and/or University of East Anglia in the United Kingdom,"Other: Determined that the Criminal Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00339,OLP,1/20/12,"Information on how to file a ""judicial misconduct claim against a federal or state official""",Partial Grant/Partial No Records,,
FOIA-2012-00346,OIP,1/20/12,"The names and titles of all designated Chief FOIA Officers who served within all the Executive Departments and agencies since January 1, 2006",Duplicate Request,,
FOIA-2012-00345,OIP,1/20/12,"Requesting the names and titles of employees who have been designated as FOIA Public Liaisons and the names and titles of the individuals who appointed these officials, and information published in Federal Register","Partial Grant/Partial Other: Referred requester to publicly available information available on FOIA.gov, DOJ website, and Federal Register website",,
FOIA-2012-00344,OAG,1/20/12,Documentation of the Attorney General’s appointment of an Office of Legal Counsel attorney to the Administrative Committee of the Federal Register,No Records,,
FOIA-2012-00343,OAG,1/20/12,Oath of Office signed by Attorney General Eric Holder,Full Grant,,
FOIA-2012-00365,OIP,1/20/12,List of FOIA contacts for all government offices,Full Grant,,
FOIA-2012-00357,ODAG,1/23/12,"Correspondence between the Department of Justice and former Congressman Mark Neumann, or his representatives",No Records,,
FOIA-2012-00358,OAG,1/23/12,"Correspondence between the Department of Justice and former Congressman Mark Neumann, or his representatives",No Records,,
FOIA-2012-00220,OLP,1/23/12,Records on the Foreign Corrupt Practices Act of 1977,No Records,,
FOIA-2012-00202,OIPL,1/23/12,"Any documents from the late 1970s to the present about an Atomic Energy Act/obstruction of justice investigation related to the alleged diversion of nuclear materials from the NUMEC plant in Apollo, PA",No Records,,
FOIA-2012-00356,OAG,1/23/12,"Correspondence between the Department of Justice and former Congressman Mark Neumann, or his representatives",No Records,,
FOIA-2012-00313,OAG,1/24/12,All records pertaining to the call for the establishment of twelve Organized Crime Drug Enforcement Task Forces in conjunction with eight-point Crackdown on Organized Crime created by Attorney General William French Smith on 10/14/82,"Other: Determined that the National Archives and Records Administration (NARA) was the most appropriate entity for handling, and referred requester to NARA",,
FOIA-2012-00338,OIP,1/24/12,Copies of various legislative documents from various federal agencies,"Other: Determined that the FBI, CIA, and DHS were the most appropriate entities for handling, and referred requester to those entities",,
FOIA-2012-00370,OIP,1/24/12,Copies of documents regarding the reason Air Force One was sitting at the Dover Air Force Base in Delaware over the Labor Day weekend of 2011,"Other: Determined that the Dep't of the Air Force was the most appropriate entity for handling, and referred requester to that Dep't",,
FOIA-2012-00362,OIP,1/25/12,Local Florida law enforcement records,Other: Informed requester that the FOIA does not apply to state or local records,,
FOIA-2012-00347,OAG,1/25/12,"Records regarding deceased individuals: Reginald T. Morrison, John Kenneth Orms, Russell Steven Farb, Arthur Albert Chapa, and Dewitt C. Cregier IV",No Records,,
FOIA-2012-00196,OLP,1/26/12,Records relating to the proposed endangerment and cause or findings related to greenhouse gas emissions issued by EPA Administrator Lisa Jackson,All Records Referred to EPA for processing and direct response to the requester,,
FOIA-2012-00317,OLP,1/26/12,"Copies of the Oaths of Office, Appointment Affidavits, and Commissions for U.S. District Court Judges  Frank W. Bullock, Jr., William L. Osteen, Jr., and Thomas D. Schroeder",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00316,OLP,1/26/12,"Copies of the Oaths of Office, Appointment Affidavits, and Commissions for U.S. District Court Judges Thomas Philips and Thomas Varlan",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2010-00217,OAG,1/27/12,Copies of Attorney General Eric Holder's calendars,Partial Grant/Partial Denial,(b)(6); (b)(7)(E); (b)(7)(F),"Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which would disclose techniques and procedures for law enforcement investigations or prosecutions; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to endanger the life or physical safety of any individual"
FOIA-2010-00250,OLA,1/27/12,Certain records on detainees,Full Grant,,
FOIA-2010-00127,OLA,1/27/12,"Correspondence between Senator Max Baucus and the Department of Justice between January 1, 2008 and June 15, 2009, as well as correspondence between Melodee Hanes and the Department for the same time period",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2011-00092,ODAG,1/27/12,Records pertaining to the Council on American-Islamic Relations (CAIR),Partial Grant/Partial Denial,(b)(5); (b)(7)(E),"Certain inter- and intra-agency communications protected by legal privileges; Records or information compiled for law enforcement purposes, the release of which would disclose techniques and procedures for law enforcement investigations or prosecutions"
FOIA-2010-01455,ODAG,1/27/12,"External correspondence from the Offices of the Attorney General and Associate Attorney General from April 2010 to the present that relate to the ""Deepwater Horizon Oil Spill Trust""",Duplicate Request,,
FOIA-2011-00740,OASG,1/27/12,Certain records on detainees,Full Grant,,
FOIA-2012-00342,OIP,1/27/12,Records pertaining to Senior Counsel to the Director of the Executive Office for United States Attorneys Reagan B. Dunn,Partial Grant/Partial No Records,,
FOIA-2012-00376,OIP,1/30/12,Department of Justice FOIA Reference Guide and Federal Agency FOIA contact information,Full Grant,,
FOIA-2011-00173,ODAG,1/30/12,"Copies of ethics waivers provided to the Ethics Officer of the Department of Justice since January 1, 2005.",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2011-00339,ODAG,1/30/12,"A copy of any report, study, or other written evaluation assessing the Department's compliance with the requirements of Brady v. Maryland, 373 U.S. 83 (1963), or any other discovery rule","All Records Referred to the Criminal Division, DOJ, for processing and direct response to requester",,
FOIA-2011-00664,OAG,1/30/12,Records pertaining to the Subversive Activities Control Board,Partial Grant/Partial Denial,(b)(6); (b)(7)(C),"Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2011-00844,OASG,1/30/12,Various records pertaining to attempts by Nebraska or South Dakota to obtain sodium thiopental,No Records,,
FOIA-2012-00367,OAG,1/30/12,Records concerning an FBI investigation,"Other: Determined that the FBI was the most appropriate entity for handling, and referred request and requester to the FBI for processing",,
FOIA-2012-00372,OIP,1/30/12,"The ""file fact sheet” from DHS","Other: Determined that DHS was the most appropriate entity for handling, and referred requester to DHS",,
FOIA-2012-00315,OAG,1/31/12,Records pertaining to Edgar Allen Beckett and the former Bureau of Prohibition from the 1930s,"Other: Determined that the National Archives and Records Administration (NARA) was the most appropriate entity for handling, and referred requester to NARA",,
FOIA-2012-00200,PAO,1/31/12,"Any documents from the late 1970s to the present about an Atomic Energy Act/obstruction of justice investigation related to the alleged diversion of nuclear materials from the NUMEC plant in Apollo, PA",No Records,,
FOIA-2012-00325,OAG,1/31/12,Copies of handwritten lists containing the names of Judge Nicholas G. Garaufis and former Assistant U.S. Attorney Greg Andres,No Records,,
FOIA-2012-00378,OLA,1/31/12,A copy of the settlement agreement between the Internal Revenue Service and the Islamic Investment Company of the Gulf Ltd.,Other: Documents referred by office originally processing the request were determined to be not responsive to the request after review by OIP,,
