Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2012-01469,OASG,10/25/12,Records concerning Park West Gallery,No Records,,,
FOIA-2012-01485,OAG,10/25/12,Records related to correspondence between individuals in the Civil Rights Division and various political and/or advocacy groups,Documents referred by the office originally processing the request were determined to be not responsive to the request after review by OIP,,,
FOIA-2013-00076,OIP,10/25/12,Documentation of authority for the Department of Justice to defend Internal Revenue Service personnel in civil litigation and/or criminal prosecution,"Provided requester with DOJ mission statement and statutory information from DOJ website, as well as link to DOJ website for additional information",,,
FOIA-2010-01407,OAG,10/26/12,Records pertaining to Umar Farouk Abdulmutallab and Faisal Shahzad,Full Grant,,,
FOIA-2010-01408,ODAG,10/26/12,Records pertaining to Umar Farouk Abdulmutallab and Faisal Shahzad,Full Grant,,,
FOIA-2011-01133,ODAG,10/26/12,Records pertaining to an Office of Legal Counsel opinion entitled “Legality of Fixed-Price Intergovernmental Agreements for Detention Services”,"Partial Grant/Partial Denial/Partial Referral: Referred material to the Office of the Inspector General, DOJ, for direct response to requester",(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2011-00274,ODAG,10/31/12,"Post-September 11, 2001 records pertaining to extra-judicial transfers",Full Denial,(b)(1); (b)(5),Information that is classified by Executive Order to protect national security; Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2011-00886,OAG,10/31/12,Records pertaining to Maher Arar,"Full Denial; Provided, as a matter of discretion, an additional document that had been previously released and may be of interest to requester ",(b)(1); (b)(5),Information that is classified by Executive Order to protect national security; Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2011-00887,ODAG,10/31/12,Records pertaining to Maher Arar ,Full Denial,(b)(1); (b)(5),Information that is classified by Executive Order to protect national security; Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-00057,OIP,10/31/12,Seeking an investigation of certain federal judges ,Informed requester that the FOIA is a records access statute and is not applicable to this query and referred requester to the DOJ online Action Center ,,,
FOIA-2013-00062,OAG,10/31/12,Records pertaining to the use of mobile phone surveillance and tracking devices,Documents referred by the office originally processing the request were determined to be not responsive to the request after review by OIP,,,
FOIA-2013-00063,ODAG,10/31/12,Records pertaining to the use of mobile phone surveillance and tracking devices,Documents referred by the office originally processing the request were determined to be not responsive to the request after review by OIP,,,
FOIA-2013-00070,OIP,10/31/12,"Records pertaining to requester's ""case against the State of Texas""",Informed requester that the FOIA does not apply to state or local records and provided requester with DOJ FOIA Reference Guide to help requester identify the DOJ component that may maintain federal records applicable to this query,,,
FOIA-2013-00080,OIP,10/31/12,Records on a third party,"Determined that the U.S. Citizenship and Immigration Services, DHS, was the most appropriate entity for handling, and referred requester to that office for processing",,,
FOIA-2013-00082,OIP,10/31/12,"Copies of requester's Freedom of Information Act requests to, and responses from, the U.S. Department of Justice","Provided requester with DOJ FOIA Reference Guide and based on full context of request letter, determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,,
FOIA-2013-00085,OIP,10/31/12,Copy of a form indicating the number of grand jurors concurring in an indictment,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,,
FOIA-2013-00159,OIP,10/31/12,Records pertaining to requester being denied permission to see a federal prisoner,"Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling, and referred  request and requester to that component for processing",,,
FOIA-2013-00335,OIP,10/31/12,Asking if the Port Authority of New York and New Jersey is subject to the Freedom of Information Act,Informed requester that the FOIA does not apply to state or local records and directed requester to the Port Authority's Freedom of Information Code which is available on the organization's website,,,
FOIA-2013-00341,OIP,10/31/12,Requests that certain letters requester wrote be forwarded to the respective recipients,"Informed requester that the FOIA is a records access statute and is not applicable to this query; Referred requester to DOJ's government-wide FOIA website, FOIA.gov, for more information on the FOIA",,,
FOIA-2013-00405,OIP,10/31/12,Certain records pertaining to health-related risks and environmental contamination stemming from the Deepwater Horizon oil spill in the Gulf Region,Determined that the Environmental Protection Agency was the most appropriate agency for handling and referred requester to that agency for processing,,,
FOIA-2013-00439,OIP,10/31/12,"Copies of  surveillance videos, photographs, and audio recordings presented in court as evidence in a federal trial","Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,,
FOIA-2013-00474,OIP,10/31/12,"Internal Revenue Service records regarding the non-profit status of the Mike Murdock Evangelistic Association, Inc.","Determined that the IRS, was the most appropriate entity for handling, and referred  requester to that agency for processing",,,
