Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2015-00234,OIP ,11/13/14,"""FOIA forms""",Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2015-00235,OIP ,11/4/14,"information pertaining to the Metropolitan Correctional Center, located in San Diego, California",Referred requester and/or request to more appropriate entity (ENRD & BOP),,
FOIA-2015-00332,OIP ,11/7/14,Inquiring into the status of a FOIA request previously submitted to the Federal Bureau of Investigation,Provided relevant information and assistance,,
FOIA-2015-00335,OIP ,11/26/14,"The status of  FOIA request numbered 2014-19030 submitted on June, 25, 2014",Provided relevant information and assistance,,
FOIA-2015-00383,OIP ,11/5/14,Information regarding requests previously submitted to the FBI and BOP,Provided relevant information and assistance,,
FOIA-2015-00387,OLP ,11/20/14,FOIA log from 10-1-13 thru 10-1-14,Provided copy of publicly available FOIA log,,
FOIA-2015-00388,OLP ,11/20/14,FOIA log from 10-1-13 thru 10-1-14,Provided copy of publicly available FOIA log,,
FOIA-2015-00389,OAG,11/20/14,FOIA log from 10-1-13 thru 10-1-14,Provided copy of publicly available FOIA log,,
FOIA-2015-00390,OASG ,11/20/14,FOIA log from 10-1-13 thru 10-1-14,Provided copy of publicly available FOIA log,,
FOIA-2015-00391,ODAG ,11/20/14,FOIA log from 10-1-13 thru 10-1-14,Provided copy of publicly available FOIA log,,
FOIA-2015-00393,OIP ,11/10/14,Contact information for all government agencies subject to the Freedom of Information Act (FOIA) and the Department of Justice Freedom of Information Act Reference Guide,Full Grant,,
FOIA-2015-00394,OIP ,11/24/14,Records pertaining to the United States Patent and Trademark Office oppositions since 2005,Referred requester and/or request to more appropriate entity (USPTO),,
FOIA-2015-00395,OIP ,11/24/14,Information pertaining to third parties,"Referred requester and/or request to more appropriate entity (FBI, EOUSA, CIA, NARA)",,
FOIA-2015-00396,OIP ,11/5/14,Copy of the Department of Justice Freedom of Information Act Reference Guide,Full Grant,,
FOIA-2015-00397,OLA ,11/19/14,Department of Justice views letters on various topics from the 112th Congress,Partial Grant/Partial No Records,,
FOIA-2015-00398,OIP ,11/6/14,Assistance with medical care and a transfer to another state facility,Provided relevant information and assistance,,
FOIA-2015-00432,OIP ,11/18/14,A list of all Freedom of Information Act (FOIA) requests from the last five years,Directed requester to publicly available FOIA log; Provided additional relevant information and assistance,,
FOIA-2015-00461,OIP ,11/13/14,Affidavits from Case No. 02-CA-021969,Referred requester and/or request to more appropriate entity (NLRB),,
FOIA-2015-00462,OLP ,11/25/14,"Oath of Office, Appointment Affidavits, Senate Confirmation document, and Presidential Commission for United States District Judge Daniel D. Crabtree",Partial Grant/Partial Denial; Referred requester and/or request to more appropriate entity (local police department),(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2015-00470,OIP ,11/19/14,Records from the Department of Education related to a student loan,Provided relevant information and assistance,,
FOIA-2015-00472,OIP ,11/12/14,Seeking assistance of the Office of Information Policy regarding a Freedom of Information Act (FOIA) request you submitted to the City of Chicago Office of Emergency Management and Communications,Provided relevant information and assistance,,
FOIA-2015-00473,OAG,11/12/14,"A copy of the latest report on ""Operation Falcon""",Referred requester and/or request to more appropriate entity (USMS),,
FOIA-2015-00474,OAG,11/20/14,"All reports to Congress with word ""methamphetamine"" in them","Provided requester with information on how to make a FOIA request, as specific records being sought could not be identified",,
FOIA-2015-00475,OAG,11/26/14,"A copy of the most recent report on ""Operation Predator""",Referred requester and/or request to more appropriate entity (DHS/ICE),,
FOIA-2015-00476,OAG,11/12/14,"A copy of the latest report on ""Operation Fast and Furious"" ",Full Grant of publicly available material,,
FOIA-2015-00479,OLP ,11/25/14,A list of all reports the Office of Legal Policy is required to submit to the Attorney General each year,No Records,,
FOIA-2015-00480,OAG,11/25/14,Memoranda concerning the Department's policies and guidelines on crack cocaine sentencing,Full Grant,,
FOIA-2015-00481,OLA ,11/25/14,A list of all reports the Office of Legislative Affairs is required to submit to the Attorney General each year,No Records,,
FOIA-2015-00483,OAG,11/10/14,Records pertaining to Bluegrass Regional Mental Health,No Records,,
FOIA-2015-00512,ODAG ,11/19/14,The Presidential Pardon prepared for Marc Rich,Referral: Records were located and referred to more appropriate entity (OPA),,
FOIA-2015-00514,OIP ,11/12/14,"Records pertaining to a Shelby County, Tennessee, grand jury",Provided relevant information and assistance,,
FOIA-2015-00516,OIP ,11/26/14,Various records related to a federal case,Provided relevant information and assistance,,
FOIA-2015-00519,OIP ,11/25/14,Certain records pertaining to tax policy,Referred requester and/or request to more appropriate entity (TAX),,
FOIA-2015-00522,OIP ,11/20/14,Distribution of information to other government agencies,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2015-00526,OIP ,11/10/14,Information concerning Assistant United States Attorney salaries,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2015-00528,OIP ,11/25/14,Records pertaining to a civil investigation concerning Astra Zeneca,Referred requester and/or request to more appropriate entity (CIV),,
FOIA-2015-00529,OIP ,11/25/14,Records pertaining to a civil investigation concerning Astra Zeneca,Referred requester and/or request to more appropriate entity (CIV),,
FOIA-2015-00550,OIP ,11/12/14,Federal Bureau of Investigation (FBI) surveillance records,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2015-00560,OIP ,11/26/14,"Financial disclosure reports for Irvin B. Nathan from his tenure as Deputy Assistant Attorney General (1979-1981), and his tenure as Principal Associate Deputy Attorney General (1993-1994)",Notified requester that these records would have been destroyed in accordance with applicable records retention schedules,,
FOIA-2015-00564,OIP ,11/26/14,Records pertaining to a third party,Referred requester and/or request to more appropriate entity (BOP & USMS),,
FOIA-2015-00614,OIP,11/26/14,Copy of a statement made in a federal case,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2015-00616,OIP,11/25/14,"A copy of a Freedom of Information Act ""resource guide""",Full Grant,,
FOIA-2015-00619,OIP,11/25/14,Records concerning a National Labor Relations Board (NLRB) matter ,Referred requester and/or request to more appropriate entity (NLRB),,
FOIA-2015-00620,PAO,11/25/14,"requesting the following press releases from OPA, ""DOJ Announces Ongoing Global Enforcement Effort"" and Targeting Child Pornographers"" (Dec. 12, 2008)",Full Grant,,
FOIA-2015-00655,OIP ,11/25/14,Federal Bureau of Investigation (FBI) investigatory records pertaining to a third party,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2015-00686,OIP ,11/26/14,Requesting assistance with parole hearings,Provided relevant information and assistance,,
FOIA-2015-00752,OIP ,11/26/14,Mandatory Victims Restitution Act (MVRA) rates from 2000-2012,Referred requester and/or request to more appropriate entity (EOUSA); Provided other relevant information and assistance,,
