Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2012-00745,OAG,6/13/12,"All evidence acquired by the Department of Justice in the criminal investigation of Merck Sharp & Dohme Corp., for off-label marketing of Vioxx","No Records/Partial Other: Determined that the Executive Office for United States Attorneys and the Civil Division, DOJ, might have information on this topic and referred request and requester to those components for processing",,
FOIA-2012-00787,ODAG,6/13/12,"All evidence acquired by the Department of Justice in the criminal investigation of Merck Sharp & Dohme Corp., for off-label marketing of Vioxx","No Records/Partial Other: Determined that the Executive Office for United States Attorneys and the Civil Division, DOJ, might have information on this topic and referred request and requester to those components for processing",,
FOIA-2012-00788,OASG ,6/13/12,"All evidence acquired by the Department of Justice in the criminal investigation of Merck Sharp & Dohme Corp., for off-label marketing of Vioxx","No Records/Partial Other: Determined that the Executive Office for United States Attorneys and the Civil Division, DOJ, might have information on this topic and referred request and requester to those components for processing",,
FOIA-2012-00985,OIP,6/13/12,"Records and information from the Richardson Independent School District in Richardson, Texas","Provided requester with contact information for the Richardson Independent School District and the state of Texas open records office, and informed requester that the FOIA does not apply to state or local records",,
FOIA-2012-01013,OIP,6/13/12,Information on the number of U.S. Attorneys and U.S. Judges assigned to cities of various population sizes.,"Other: Informed requester that the FOIA does not require agencies to conduct research, but in an effort to assist the requester, provided links to the websites for the Executive Office for United States Attorneys, DOJ, U.S. Census Bureau, and the Administrative Office of the United States Courts ",,
FOIA-2012-01030,OIP,6/13/12,Copies of missile silo blueprints,"Other: Determined that the Dep't of Defense was the most appropriate entity for handling, and referred requester to that Dep't for processing",,
FOIA-2010-00135,OIP,6/14/12,"Records of a FOIA request from a specific individual dated July 16, 2007","Partial Grant/Partial Denial/Partial Referral: Documents referred to the  National Security Division, Office of Legal Counsel, Justice Management Division, and FBI for processing and direct response to the requester",(b)(5); (b)(6),Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2012-00267,OAG,6/14/12,"Foreign Intelligence Surveillance Act (FISA) applications and FISA coordination meetings with representatives of state or local law enforcement agencies since September 11, 2001.","Full Grant/Partial Other: Request also in process with the National Security Division,  who will provide separate response directly to the requester",,
FOIA-2012-00670,OASG ,6/14/12,"Records concerning information related to the selection of Federal Bureau of Prisons Director Charles Samuels and Regional Director Paul Laird, as well as any reports of deaths of inmates in federal custody during 2008-2011.",No Records,,
FOIA-2012-00929,OIP,6/14/12,Federal Bureau of Prison records,"Other: Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00930,OIP,6/14/12,Federal Bureau of Prison records,"Other: Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00965,OIP,6/14/12,Information concerning federal and state vocational rehabilitation centers,"Other: Determined that the Dep't of Education was the most appropriate entity for handling, and referred requester to that Dep't for processing",,
FOIA-2012-00119,ODAG,6/15/12,Documents reflecting communications between the Justice Department and the Foreign Intelligence Surveillance Court,Duplicate Request,,
FOIA-2012-00121,PAO,6/15/12,Documents reflecting communications between the Justice Department and the Foreign Intelligence Surveillance Court,Duplicate Request,,
FOIA-2012-00753,OAG,6/15/12,Information pertaining to cannabinoids,Duplicate Request,,
FOIA-2012-00970,OIP,6/15/12,"List of Department of Justice-sponsored homeland security and national security-related exercises held from 2000-2012, including those sponsored by the FBI, DEA, ATF, and Executive Office for United States Attorneys","Other: Determined that the FBI, DEA, ATF, Justice Management Division, and Executive Office for United States Attorneys would be the most appropriate entities for handling and referred request and requester to those components for processing",,
FOIA-2012-00995,OIP,6/15/12,All documents between Department of Justice and local officials in submission number 2012-2732 pursuant to Section 5 of the Voting Rights Act,"Other: Determined that the Civil Rights Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing and also provided link to website for Section 5 of the Voting Rights Act",,
FOIA-2012-00451,OIP,6/18/12,"Copy of a February 26, 2012 Mandatory Declassification Review appeal remand memorandum issued by the Department of Justice and the Declassification Review Center",Full Grant,,
FOIA-2012-00953,OIP,6/18/12,Copies of press releases or statements from the Attorney General regarding exculpatory information; information regarding a review or audit of the Pennsylvania justice system and its courts; assistance with a court case; and names of pro bono attorneys in Pennsylvania,Partial Grant/Partial Other: Provided requester with DOJ FOIA Reference Guide and referred requester to Pennsylvania Bar Association for additional information,,
FOIA-2012-01002,OIP,6/18/12,Records pertaining to the federal statute governing the impeding of United States mail,Provided requester with applicable sections of the U.S. Code and directed requester to write to the U.S. Postal Service for additional information,,
FOIA-2011-00158,OAG,6/19/12,"Department of Justice records prepared or forwarded by the Office of the Attorney General to other United States government agency heads between June 25 and December 31, 1996 concerning the Khobar Towers bombing",No Records,,
FOIA-2011-00159,OAG,6/19/12,Records generated or received by the Office of the Attorney General pertaining to a Spring 1999 White House Situation Room meeting primarily concerning new evidence provided by Saudi Arabia on the 1996 Khobar Towers bombing.,No Records,,
FOIA-2012-00849,OAG,6/19/12,Records from the Federal Bureau of Prisons,"Other: Informed requester that the Federal Bureau of Prisons, DOJ, where requester had also directed request, was the most appropriate entity for handling, and that component would respond to the requester directly",,
FOIA-2012-00850,OIP,6/19/12,Records from the Federal Bureau of Prisons,"Other: Informed requester that the Federal Bureau of Prisons, DOJ, where requester had also directed request, was the most appropriate entity for handling, and that component would respond to the requester directly",,
FOIA-2012-00959,OIP,6/19/12,"Records pertaining to the Fair Housing Act from 1968-1978 from the Civil Rights Division's Housing and Credit Section, as well as case files for several identified cases","Other: Determined that the Civil Rights Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00966,OIP,6/19/12,Information on how to file motions in a court case and help with ongoing litigation,"Other: Informed requester that the FOIA is a records access statute and is not applicable to this query, and provided requester with contact information for the court in question and the DOJ FOIA Reference Guide",,
FOIA-2012-00070,OAG,6/20/12,"Records pertaining to the legal authority and factual basis for the alleged ""targeted killing"" of Anwar-al-Awlaki and two other U.S. citizens by the United States Government",Partial Grant/Partial Denial,(b)(1); (b)(3); (b)(5); (b)(6),Information that is classified by Executive Order to protect national security; Information that is prohibited from disclosure by another federal law; Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2012-00071,ODAG,6/20/12,"Records pertaining to the legal authority and factual basis for the alleged ""targeted killing"" of Anwar-al-Awlaki and two other U.S. citizens by the United States Government",Partial Grant/Partial Denial,(b)(1); (b)(3); (b)(5); (b)(6),Information that is classified by Executive Order to protect national security; Information that is prohibited from disclosure by another federal law; Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2012-00072,OASG ,6/20/12,"Records pertaining to the legal authority and factual basis for the alleged ""targeted killing"" of Anwar-al-Awlaki and two other U.S. citizens by the United States Government",No Records,,
FOIA-2012-00436,OIP,6/20/12,Copies of various federal statutes,Partial Grant/Partial Other: Advised requester of duplication fees for further processing,,
FOIA-2012-01003,OIP,6/21/12,Seeking the current mailing address of a former Federal prisoner,Other: Informed requester that the FOIA is a records access statute and is not applicable to this query and provided information on DOJ's online Action Center to assist requester,,
FOIA-2012-01019,OIP,6/22/12,"Seeking information about the constitutionality of several sections of the New York state penal code, as certified by the U.S. Supreme Court",Other: Informed requester that the FOIA does not require agencies to conduct research nor does it apply to Judicial Branch records and provided requester with contact information for the U.S. Supreme Court,,
FOIA-2012-01020,OIP,6/22/12,"Seeking information about the constitutionality of several sections of the New York state penal code, as certified by the U.S. Supreme Court",Other: Informed requester that the FOIA does not require agencies to conduct research nor does it apply to Judicial Branch records and provided requester with contact information for the U.S. Supreme Court,,
FOIA-2012-01071,OAG,6/22/12,Correspondence regarding a specific pardon request,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2012-01077,OIP,6/22/12,Records pertaining to various prisoner release statistics,"Other: Determined that the Bureau of Justice Statistics, Office of Justice Programs, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,
FOIA-2012-00902,OAG,6/25/12,"Attorney General John Ashcroft’s September 22, 2003 memorandum on the Department’s ""Fast-Track"" policies",Full Grant,,
FOIA-2012-00903,OAG,6/25/12,"Attorney General John Ashcroft’s September 22, 2003 memorandum on the Department’s ""Fast-Track"" policies",Full Grant,,
FOIA-2012-00968,OIP,6/25/12,Information on the composition and safety of certain drugs or supplements,"Other: Determined that the Food and Drug Administration was the most appropriate entity for handling, and referred requester to that agency for processing",,
FOIA-2012-00972,OIP,6/25/12,Records on a former federal prisoner,"Other: Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,
FOIA-2012-00973,OIP,6/25/12,Records regarding a contract with the Drug Enforcement Administration,"Other: Determined that the DEA, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00994,OIP,6/25/12,Prison and court records regarding a federal inmate,"Other: Determined that the Federal Bureau of Prisons and the Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling, and referred request and requester to those components for processing",,
FOIA-2012-01016,OIP,6/25/12,Seeking assistance with a consumer product issue,"Other: Informed requester that the FOIA is a records access statute and is not applicable to this query, and provided requester with contact information for the Bureau of Consumer Protection at the Federal Trade Commission",,
FOIA-2012-01058,OLP,6/25/12,Oath of Office for Michigan state Judges Stephen C. Coopers and Fred M. Mester,"Other: Informed requester that the FOIA does not apply to state or local records, and provided the contact information for Michigan open record requests",,
FOIA-2012-01076,OIP,6/25/12,Copy of the Department of Justice FOIA Reference Guide,Full Grant,,
FOIA-2011-01189,ODAG,6/26/12,"Copies of all e-mails and written communications sent by any employees of the Offices of the Attorney General, Deputy Attorney General, Public Affairs, Professional Responsibility and the Executive Office for United States Attorneys between April 1, 2009 and the present concerning either USA Today reporting about prosecutorial misconduct or any records requests made by USA TODAY",Duplicate Request,,
FOIA-2011-01190,PAO,6/26/12,"Copies of all e-mails and written communications sent by any employees of the Offices of the Attorney General, Deputy Attorney General, Public Affairs, Professional Responsibility and the Executive Office for United States Attorneys between April 1, 2009 and the present concerning either USA Today reporting about prosecutorial misconduct or any records requests made by USA TODAY",Duplicate Request,,
FOIA-2012-00984,OAG,6/26/12,"Records pertaining to the New York City Council ""Slush Fund"" Scandal which was exposed in 2008","No Records/Partial Other: Determined that the Executive Office for United States Attorneys, DOJ,  was also an appropriate entity for handling, and referred requester to that component for processing",,
FOIA-2012-01044,OAG,6/26/12,Office of the Attorney General records pertaining to a proclamation from President Carter in 1977 to extend a pardon to qualified draft evaders,"Other: Determined that the National Archives and Records Administration was the most appropriate entity for handling, and referred requester to that agency for processing",,
FOIA-2012-01045,OASG ,6/26/12,"Copy of an August 11, 1983 letter from Associate Deputy Attorney General Stanley Morris to James Rogers regarding INSLAW, Inc.'s software proprietary rights","Other: Determined that the National Archives and Records Administration was the most appropriate entity for handling, and referred requester to that agency for processing",,
FOIA-2012-01073,OIP,6/26/12,"An ""apostate packet"" and other assistance regarding efforts to become ""sovereign from the United States government""",Other: Informed requester that the FOIA is a records access statute and is not applicable to this query,,
FOIA-2012-01090,OIP,6/26/12,"Copies of electronic information preservation requests sent to Google, Inc. during the time period of November 1, 2011, to March 1, 2012, by the Department of Justice","Other: Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00883,OAG,6/27/12,Copies of correspondence between the Attorney General and U.S. Rep. Joe Barton (R-Texas) between 2005 and 2007,Full Grant,,
FOIA-2012-00989,OLA,6/27/12,Copies of correspondence between the Attorney General and U.S. Rep. Joe Barton (R-Texas) between 2005 and 2007,Full Grant,,
FOIA-2012-01046,OLA,6/27/12,"Copies of written communication from the Department of Justice and the Speaker of the House, John Boehner, or Chair of the House Committee on Oversight and Government Reform, Darrell Issa, between January 3, 2011 and May 15, 2011",Duplicate Request,,
FOIA-2012-01054,OIP,6/27/12,"Information on the total amount spent by the federal government on district court facilities in Colorado Springs, CO","Other: Determined that the General Services Administration was the most appropriate entity for handling, and referred requester to that agency for processing; also provided requester with the contact information for the Administrative Office of the United States Courts for additional information",,
FOIA-2012-01069,OIP,6/27/12,Access to certain records from the Washington National Records Center,"Other: Determined that the Antitrust Division, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,
FOIA-2012-01079,OIP,6/27/12,Copy of the response letter to the FOIA request numbered FOIA-2010-00127,Full Grant,,
FOIA-2012-01133,OIP,6/27/12,Access to certain Antitrust Division records from the Washington National Records Center,"Other: Determined that the Antitrust Division, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,
FOIA-2012-00312,OIP,6/28/12,All records related to a specific inquiry regarding the Department of the Navy,Request closed for fee-related reasons,,
FOIA-2012-00633,OIPL,6/28/12,"Copy of a letter to OIPL Director Portia Roberson dated December 4, 2009",Full Grant,,
FOIA-2012-00649,OIPL,6/28/12,"Copy of a letter from Illinois Governor Pat Quinn to Attorney General Holder dated December 11, 2009",Full Grant,,
FOIA-2012-00654,OIPL,6/28/12,Copies of any outbound letter correspondence to Sheriff Joe Arpaio,No Records,,
FOIA-2012-00978,ODAG,6/28/12,Certain records pertaining to  a former U.S. Attorney,"Partial Denial/Partial Referral: Documents referred to the Executive Office for United States Attorneys, DOJ, for processing and direct response to the requester",(b)(6); (b)(7)(C) ,"Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2011-01207,OLA,6/29/12,"Records from June 8, 2009 to April 26, 2011 pertaining to the fatal shooting of Trey Joyner",Partial Grant/Partial Denial,(b)(3); (b)(7)(C); (b)(7)(D),"Information that is prohibited from disclosure by another federal law;  Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to disclose the identity of a confidential source"
FOIA-2012-00122,OLA,6/29/12,"Copies of certain letters from members of Congress between January 1, 2005, and October 1, 2011, that mention Koch Industries and David Koch and Charles Koch","All records referred to the Criminal Division, DOJ, for processing and direct response to the requester",,
FOIA-2012-00601,ODAG,6/29/12,Memorandum from Deputy Attorney General James Cole regarding early disposition programs,Full Grant,,
FOIA-2012-01021,OIP,6/29/12,"Name of the Union President of the Bureau of Prisons, as well as contact information for the Inspector General",Provided name and requested contact information,,
FOIA-2012-01042,OIP,6/29/12,Records pertaining to a file from the Transportation Security Administration,Other: Determined that that records referred to this office for processing were misdirected and referred documents back to originating agency to continue processing,,
