SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
2438,GSAD,LONGPOINT BAIT & TACKLE OF MELBOURNE BEACH LLC,100 LONG POINT RD,MELBOURNE BCH,FL,32951-4113,10/16/2014,08/31/2015
2595,GSAD,OCEANS LANE LLC,3600 SW 17TH TER,MIAMI,FL,33145-1751,09/11/2014,08/31/2015
2577,GSAD,L.E.Y. AND ASSOCIATED CORP,15901 SW 103RD CT,MIAMI,FL,33157-1561,08/14/2014,03/31/2015
2571,GSAD,CASABLANCA FISHERIES IMP & DIST LLC,PO BOX 669010,MIAMI,FL,33166-9426,08/22/2014,06/30/2015
2573,GSAD,JOSE ANGEL MARTINEZ,1423 SW 92ND PL,MIAMI,FL,33174-3147,08/13/2014,02/28/2015
2607,GSAD,SURFSIDE SEAFOOD CO LLC,2055 N PALM CIR,N PALM BEACH,FL,33408-2714,09/24/2014,06/30/2015
2604,GSAD,JUSTIN CASTELL SAWYER,2357 WOODBEND CIR,NEW PRT RCHY,FL,34655-3929,09/15/2014,04/30/2015
2593,GSAD,OFF THE HOOK SEAFOOD & PUB LLC,747 E 3RD AVE,NEW SMYRNA,FL,32169-3101,09/22/2014,09/30/2015
2591,GSAD,BRIAN MATTHEW SCHICK,2450 NE 135TH ST,NORTH MIAMI,FL,33181-3597,08/27/2014,10/31/2015
366,GSAD,ANGELO AND SONS SEAFOOD RESTAURANT INC,PO BOX 189,PANACEA,FL,32346-0159,08/07/2014,08/31/2015
2149,GSAD,RAYBURN CHARLES CRAMER,810 NW 217TH TER,PEMBROKE PNES,FL,33029-1017,08/25/2014,08/31/2015
2569,GSAD,ROBERT WICKLIFFE FRYE,322 S FIG TREE LN,PLANTATION,FL,33317-3457,08/07/2014,12/31/2015
2584,GSAD,DOWN THE HATCH INC,4894 FRONT ST,PONCE INLET,FL,32127-7219,08/22/2014,12/31/2015
2558,GSAD,SEAFOOD AT PORT ORANGE,617 LEMON ST,PORT ORANGE,FL,32127-4363,08/07/2014,06/30/2015
907,GSAD,KINGS SEAFOOD INC,PO BOX 291607,PORT ORANGE,FL,32129-1607,09/22/2014,10/31/2015
505,GSAD,RAFFIELD FISHERIES INC,PO BOX 309,PORT ST JOE,FL,32457-0309,09/01/2014,08/31/2015
620,GSAD,NACHMAN NATIVE SEAFOOD INC,17811 GULF BLVD,REDINGTN SHOR,FL,33708-1283,10/09/2014,09/30/2015
2281,GSAD,WILD SEAFOOD CO LLC,12124 LILLIAN AVE,SEMINOLE,FL,33778-3505,09/09/2014,10/31/2015
528,GSAD,SEAFOOD SHOPPE INC,2125 A1A S,ST AUGUSTINE,FL,32080-6513,08/13/2014,03/31/2015
2193,GSAD,BARNHILL FISHERIES INC,PO BOX 418,ST JAMES CITY,FL,33956-0418,10/17/2014,04/30/2015
1588,GSAD,ISLAND CRAB CORPORATION,5595 DOUG TAYLOR CIR,ST JAMES CITY,FL,33956-3220,08/19/2014,07/31/2015
213,GSAD,MASTRYS BAIT AND TACKLE INC,1700 4TH ST S,ST PETERSBURG,FL,33701,08/22/2014,11/30/2015
2069,GSAD,OLD TAMPA BAY SEAFOOD COMPANY LLC,13040 GANDY BLVD N,ST PETERSBURG,FL,33702-1552,10/02/2014,09/30/2015
2251,GSAD,OFFSHORE SEAFOOD COMPANY,2586 25TH AVE N,ST PETERSBURG,FL,33713-3919,08/27/2014,08/31/2015
1776,GSAD,OCEAN FRESH SEAFOOD INC,PO BOX 171,STEINHATCHEE,FL,32359-0171,08/07/2014,08/31/2015
2561,GSAD,JOPED INC,1411 SE INDIAN ST,STUART,FL,34997-5601,08/07/2014,02/29/2016
2579,GSAD,GEORGE WILLIAM NILES,PO BOX 420230,SUMMRLND KEY,FL,33042-0230,08/15/2014,07/31/2015
2574,GSAD,KEY WEST SMOKED FISH INC,24171 OVERSEAS HWY,SUMMRLND KEY,FL,33042-4858,08/12/2014,01/31/2016
2589,GSAD,WILD FISH DIRECT LLC,2109 BAYSHORE BLVD,TAMPA,FL,33606-3155,08/26/2014,07/31/2015
666,GSAD,COX SEAFOOD TARPON SPRINGS INC,PO BOX 1973,TARPON SPGS,FL,34688,08/07/2014,01/31/2015
757,GSAD,HOLIDAY SEAFOODS INC,589 ISLAND DR,TARPON SPGS,FL,34689-3147,09/18/2014,10/31/2015
2578,GSAD,MATTHEW MICHAEL DETTMANN,102 AZALEA ST,TAVERNIER,FL,33070-2201,08/14/2014,03/31/2015
2476,GSAD,LOMBARDIS MARKETPLACE LLC,1152 HARMON AVE,WINTER PARK,FL,32789-4994,10/09/2014,08/31/2015
2564,GSAD,DANIEL C ROSS,6320 ATLANTA HWY,ALPHARETTA,GA,30004-0577,08/12/2014,03/31/2015
1391,GSAD,KNIGHT SEAFOOD INC,PO BOX 1664,BRUNSWICK,GA,31521-1664,10/23/2014,10/31/2015
479,GSAD,PHILLIPS SEAFOOD INC,1418 SAPELO AVE NE,TOWNSEND,GA,31331-5732,10/21/2014,11/30/2015
1994,GSAD,INLAND SEAFOOD,1651 MONTREAL CIR,TUCKER,GA,30084-6933,10/23/2014,03/31/2016
2566,GSAD,CAMERON FISHERIES LLC,PO BOX 1328,CAMERON,LA,70631-1328,08/07/2014,11/30/2015
131,GSAD,STEVENS SEAFOOD INC,8893 SHRIMPERS ROW,DULAC,LA,70353-2213,08/27/2014,09/30/2015
255,GSAD,3-G ENTERPRISES INC,PO BOX 640,GOLDEN MEADOW,LA,70357-0640,08/07/2014,08/31/2015
557,GSAD,HARLONS LA FISH LLC,PO BOX 486,KENNER,LA,70063-0486,08/07/2014,08/31/2015
2221,GSAD,CRAIG BORGES NEW ORLEANS FRESH FISH AND SEAFOOD CO,1017 W HARIMAW CT,METAIRIE,LA,70001-6231,09/18/2014,05/31/2015
363,GSAD,AMERICAN SEAFOOD INC,3034 GEORGE NICK CONNOR DR,NEW ORLEANS,LA,70119-1714,10/03/2014,10/31/2015
304,GSAD,SHARKCO SEAFOOD INTERNATIONAL LLC,707 JUMP BASIN RD,VENICE,LA,70091-4351,08/07/2014,08/31/2015
2526,GSAD,GEORGES BANK LLC,310 NORTHERN AVE,BOSTON,MA,02210-2316,08/07/2014,01/31/2015
99,GSAD,F J OHARA & SONS INC,7 FID KENNEDY AVE,BOSTON,MA,02210-2321,08/07/2014,07/31/2015
106,GSAD,JOHN NAGLE CO,306 NORTHERN AVE,BOSTON,MA,02210-2324,10/21/2014,10/31/2015
2547,GSAD,SALTY BALLS SEAFOOD LLC,PO BOX 3001,NANTUCKET,MA,02584-3001,08/07/2014,11/30/2015
1208,GSAD,WILLIAM SMITH SEAFOOD INC,477 OLD CAUSEWAY RD,BEAUFORT,NC,28516-8615,10/15/2014,10/31/2015
2563,GSAD,CO LA ENTERPRISES LLC,2411 FRONT ST UNIT G-29,BEAUFORT,NC,28516-9302,09/03/2014,06/30/2015
2255,GSAD,QUALITY SEAFOOD,PO BOX 659,CEDAR ISLAND,NC,28520-0659,09/05/2014,09/30/2015
2339,GSAD,MALCOLM DALE SEAFORD,PO BOX 5146,EMERALD ISLE,NC,28594-5146,08/14/2014,03/31/2015
1630,GSAD,EVERETTE RANDOLPH MCKINLEY III,114 FRIENDLY LN,HAMPSTEAD,NC,28443-2663,08/07/2014,07/31/2015
2557,GSAD,JERRY WENDELL EDENS JR,444 OLD LANDING RD,HAMPSTEAD,NC,28443-8980,08/07/2014,05/31/2015
1470,GSAD,STEVE M BAILEY,PO BOX 106,HATTERAS,NC,27943,09/03/2014,08/31/2015
1409,GSAD,CAPT JIMS SEAFOOD MARKET INC,4665 ARENDELL ST,MOREHEAD CITY,NC,28557-2708,10/08/2014,10/31/2015
1911,GSAD,B AND J SEAFOOD CO INC,PO BOX 3321,NEW BERN,NC,28564-3321,09/15/2014,07/31/2015
2243,GSAD,BEAUFORT INLET SEAFOOD CO INC,PO BOX 3321,NEW BERN,NC,28564-3321,09/15/2014,06/30/2015
1514,GSAD,MORGAN HARVEST INC,304 STEAMSHIP LN,NEWPORT,NC,28570-6282,08/07/2014,08/31/2015
2117,GSAD,BARRETT GARDNER MCMULLAN,1697 BENT TREE TRL SW,OCEAN ISL BCH,NC,28469-6301,09/11/2014,09/30/2015
2467,GSAD,MITCHELLS SEAFOOD LLC,PO BOX 409,SNEADS FERRY,NC,28460-0409,10/23/2014,04/30/2015
2602,GSAD,ROBIN KLINGER HOLLAR,2850 PAUL ANDREW ST SW,SUPPLY,NC,28462-2758,09/15/2014,02/29/2016
1871,GSAD,SELBY BLEDSOE LEWIS,6125 CHILCOT LN,WILMINGTON,NC,28409-2064,08/07/2014,08/31/2015
2567,GSAD,BEN P INGRAHAM,5530 PEDEN POINT RD,WILMINGTON,NC,28409-4308,08/08/2014,08/31/2015
2598,GSAD,GREGORY DEAN EDENS SR,1580 SCOTTS HILL LOOP RD,WILMINGTON,NC,28411-6870,09/23/2014,03/31/2016
35,GSAD,COLD SPRING FISH AND SUPPLY CO INC,906 SCHELLENGER ST,CAPE MAY,NJ,08204-1775,09/23/2014,10/31/2015
2536,GSAD,MATTHEWS SEAFOOD MARKET LLC,206 MECHANIC ST,CAPE MAY CH,NJ,08210-1826,08/07/2014,01/31/2015
546,GSAD,FISHERMENS DOCK COOPERATIVE INC,PO BOX 1314,PT PLEASANT B,NJ,08742-1314,10/23/2014,11/30/2015
2590,GSAD,JOHN WILLIAM MIKSZA,10-C HANCOCK DR,WHITING,NJ,08759-1649,08/26/2014,05/31/2015
2529,GSAD,NEW ENGLAND SOUTH GROUP LLC,14 ELIZABETH ST,CHARLESTON,SC,29403-8400,08/07/2014,02/28/2015
2481,GSAD,CARL WILLIAM CUSTER SR,127 PIER POINTE DR,LITTLE RIVER,SC,29566-9274,08/07/2014,08/31/2015
2582,GSAD,CHARLES BENTON SIGMAN,232 HADDRELL ST,MT PLEASANT,SC,29464-4307,08/20/2014,12/31/2015
1051,GSAD,KENYON SEAFOOD,PO BOX 385,MURRELLS INLT,SC,29576,09/29/2014,09/30/2015
2530,GSAD,DINING CONCEPTS GROUPS LLC,1503 BROOKGREEN DR,MYRTLE BEACH,SC,29577-5849,08/07/2014,01/31/2015
942,GSAD,CHERRY POINT SEAFOOD CO INC,2789 CHERRY POINT RD,WADMALAW IS,SC,29487-7007,08/13/2014,07/31/2015
403,GSAD,GALVESTON SHRIMP COMPANY INC,PO BOX 863,GALVESTON,TX,77553-0863,09/09/2014,08/31/2015
763,GSAD,TRULUCKS SEAFOOD LLC,9601 KATY FWY,HOUSTON,TX,77024-1342,10/08/2014,10/31/2015
1219,GSAD,AIRLINE SEAFOOD INC,1841 RICHMOND AVE,HOUSTON,TX,77098-3509,09/02/2014,08/31/2015
1928,GSAD,JOHN HAROLD RAWLINGS SR,PO BOX 118,MATAGORDA,TX,77457-0118,09/04/2014,09/30/2015
1359,GSAD,K AND A SEAFOOD,4401 MONMOUTH CASTLE RD,VIRGINIA BCH,VA,23455-6107,08/07/2014,08/31/2015
