OGIS Final Response Letters FY 2016,,,,,,,,
Case Number,Letter Date,Date Added,Agency/ Department ,Component,OGIS Case Category,Exemption,OGIS Case Description,Document URL
,,,Department of Homeland Security,Immigration and Customs Enforcement,Status,7c,,
201600265,3/3/2016,5/13/2016,Corportation for National and Community Service,,Denial,6,"Requester contacted OGIS for assistance. OGIS contacted agency for more information. OGIS obtained additional information on exemption, search and fees.",https://ogis.archives.gov/Assets/2016-03-03-final-letter-201600265.pdf?method=1
,,,,,,,,
,,,,,Fees,,,
201600466,4/26/2016,5/13/2016,Department of Homeland Security,Customs and Immigration Services,Denial,6,Customer disputes agency's withholdings. Provided more information about the agency's actions.,https://ogis.archives.gov/Assets/2016-04-26-final-letter-201600466.pdf?method=1
,,,,,,,,
,,,,Immigrations and Customs Enforcement,,7e,,
201600323,3/3/2016,5/13/2016,Department of the Interior,Fish and Wildlife Services,Estimated Date of Completion,,Requester contacted OGIS for assistance. OGIS contacted agency. Appeal decision pending so provided tracking number.,https://ogis.archives.gov/Assets/2016-03-03-final-letter-201600323.pdf?method=1
,,,,,,,,
,,,,,,,,
201600331,4/26/2016,5/13/2016,Environmental Protection Agency ,,Fees,,Customer disputes agency's decision on a request for a waiver of fees. Provided more information on the agency's actions.,https://ogis.archives.gov/Assets/2016-04-26-final-letter-201600331.pdf?method=1
,,,,,,,,
,,,,,,,,
201600534,4/25/2016,5/13/2016,Department of Justice,United States Marshall's Service,No Records,,Customer requested assistance with denied FOIA request. OGIS contacted the agency to learn about the request and the search. OGIS relayed this information to the customer.,https://ogis.archives.gov/Assets/2016-04-25-final-letter-201600534.pdf?method=1 
,,,,,,,,
,,,,Office of the Inspector General,,,,
201600602, 2016/04/04, 2016/04/22,Department of Justice,Executive Office for United States Attorneys,Denial,3,Customer requested assistance with denied FOIA request. OGIS explained the agency's use of exemption 3.,https://ogis.archives.gov/Assets/2016-04-04-final-letter-201600602.pdf?method=1
,,,,,,,,
,,,,,,,,
201600591,2016/04/11 ,2016/05/06 ,Office of Personnel Management ,,Denial,7e,Customer disputes agency's response to a request. Provided information about the agency's actions.,https://ogis.archives.gov/Assets/2016-04-11-final-letter-201600591.pdf?method=1
,,,,,,,,
,,,,,,,,
 201600574, 2016/04/01,2016/04/22 ,Social Security Administration ,,Denial,6,Customer requested assistance with denied FOIA request and appeal. OGIS contacted the agency to learn about request. OGIS explained the agency's policy and exemption use to the customer.,https://ogis.archives.gov/Assets/2016-04-01-final-letter-201600574.pdf?method=1
,,,,,,,,
,,,,,,,,
 201600559,2016/04/07 ,2016/04/15 ,Department of Justice,Federal Bureau of Investigation,Ombuds,,,https://ogis.archives.gov/Assets/2016-04-07-final-letter-201600559.pdf?method=1
,,,,,No Records,,Customer disputes responses to two requests. Contacted agency for more information.,
 201600557, 2016/04/18, 2016/04/29,Export/Import Bank,,Fee,,Customer disputes agency's assessment of fees.  OGIS was able to discuss the issues with the agency and get the matter resolved.,https://ogis.archives.gov/Assets/2016-04-18-final-letter-201600557.pdf?method=1
,,,,,,,,
201600551,2016/04/04 ,2016/04/22 ,Department of Veterans Affairs,,Denial,3,Customer requested assistance with denied FOIA request and appeal. OGIS contacted the agency to discuss the case. OGIS relayed information about the agency's actions and the exemptions to the requester.,https://ogis.archives.gov/Assets/2016-04-04-final-letter-201600551.pdf?method=1
,,,,,,5,,
,,,,,,6,,
 201600547, 2016/04/18, 2016/04/29,Department of the Treasury,Internal Revenue Service,Ombuds,,Customer requested assistance with no records response. OGIS contacted the agency to discuss records dispositions. OGIS relayed record management practice information to the requester and discussed next steps.,https://ogis.archives.gov/Assets/2016-04-18-final-letter-201600547.pdf?method=1
,,,,,,,,
 201600546, 2016/04/04, 2016/05/06,Department of Justice,Executive Office for United States Attorneys,Denial,6,Customer requested assistance with denied FOIA request. OGIS contacted the agency regarding the case. OGIS explained the agency's use of exemptions.,https://ogis.archives.gov/Assets/2016-04-04-final-letter-201600546.pdf?method=1
,,,,,,7c,,
,,,,,,,,
201600538,2016/03/24 ,2016/04/08 ,Central Intelligence Agency ,,Denial,1,Customer contacted OGIS regarding a denied FOIA appeal. OGIS contacted the agency to learn about the appeal and relayed the information to the customer.,https://ogis.archives.gov/Assets/2016-03-24-final-letter-201600538.pdf?method=1
,,,,,,3,,
,,,,,,,,
 201600491,2016/04/15 ,2015/05/06 ,Environmental Protection Agency ,,Ombuds,,Customer contacted OGIS for assistance with request and appeal and issues regarding whether request was reasonably described. OGIS contacted agency and obtained additional information for requester.,https://ogis.archives.gov/Assets/2016-04-15-final-letter-201600491.pdf?method=1
,,,,,,,,
201600473, 2016/03/18,2016/05/06 ,Department of Homeland Security,Customs and Border Protection,No Records,,Requester asked OGIS for assistance over adequacy of search question. OGIS reaching out to agency,https://ogis.archives.gov/Assets/2016-03-18-final-letter-201600473.pdf?method=1
,,,,,,,,
201600460, 2016/04/18, 2016/04/29,Equal Employment Opportunity Commission,,Ombuds,,Customer requested assistance with delayed FOIA appeal. OGIS contacted agency and learned the appeal was sent to the wrong office. The agency agreed process the appeal anyway.,https://ogis.archives.gov/Assets/2016-04-18-final-letter-201600460.pdf?method=1
,,,,,,,,
201600455,2016/04/06 ,2016/04/15 ,Department of Justice,Office of the Inspector General ,Denial,7a,Customer disputes agency's response to a request. Provided more information about the agency's actions.,https://ogis.archives.gov/Assets/2016-04-06-final-letter-201600455.pdf?method=1
,,,,,,,,
,,,,,,,,
201600450,2016/02/04 ,2016/02/11 ,Department of Homeland Security,Citizenship and Immigration Services ,Denial,4,Customer disputes agency's response to a request. Contacted agency and provided more information about the final determination.,https://ogis.archives.gov/Assets/2016-02-04-final-letter-201600450.pdf?method=1
,,,,,,,,
,,,,,,,,
201600448, 2016/03/29,2016/04/08 ,Department of Justice,Federal Bureau of Investigation,No Records,,Customer requested assistance with denied FOIA appeal. OGIS contacted the agency about request. OGIS relayed information to the requester regarding the agency's use of 7e and their standard policy for requests of this type.,https://ogis.archives.gov/Assets/2016-03-29-final-letter-201600448.pdf?method=1
,,,,,,,,
201600437, 2016/04/14,2016/04/22 ,Department of Justice,Executive Office for United States Attorneys,No Records,,Customer disputes agency's no records response. Provided more information about the agency's actions.,https://ogis.archives.gov/Assets/2016-04-14-final-letter-201600437.pdf?method=1
,,,,,,,,
201600425,2016/03/29 ,2016/04/08 ,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives ",Denial,7e,Customer requested assistance with denied FOIA request and appeal. OGIS contacted agency and learned that the agency changed their current practice regarding a specific set of records. OGIS relayed this information to the requester.,https://ogis.archives.gov/Assets/2016-03-29-final-letter-201600425.pdf?method=1
,,,,,,,,
,,,,,,,,
 201600424, 2016/04/14, 2016/04/29,Department of Justice,Executive Office for United States Attorneys,No Records,,Customer requested assistance with FOIA request. OGIS explained the agency's actions to the customer.,https://ogis.archives.gov/Assets/2016-04-14-final-letter-201600424.pdf?method=1
,,,,,,,,
201600415, 2016/04/06, 2016/04/15,Department of Homeland Security,Immigration and Customs Enforcement,Denial,7a,Customer disputes an agency's response to a request. Contacted the agency and suggested next steps.,https://ogis.archives.gov/Assets/2016-04-06-final-letter-201600415.pdf?method=1
,,,,,,,,
,,,,,,,,
 201600413, 2016/03/28, 2013/05/06,Department of the Treasury,Internal Revenue Service,Denial,,Customer contacted OGIS for assistance regarding denial of request. OGIS reached out to agency for additional information.  Agency responded and contacting requester,https://ogis.archives.gov/Assets/2016-03-28-final-letter-201600413.pdf?method=1
,,,,,,,,
 201600408,2016/04/01 ,2016/04/15 ,Department of Homeland Security, Transportation Security Administration ,Denial,7a,Customer disputes agency's response to a request. Suggested next steps.,https://ogis.archives.gov/Assets/2016-04-01-final-letter-201600408.pdf?method=1
,,,,,,,,
,,,,,,,,
201600400, 2016/02/10,2016/02/12 ,Consumer Financial Protection Bureau ,,Denial,7e,"Requester seeks OGIS Assistance regarding a denied FOIA request.  OGIS reached out to agency, but agency declined to participate in OGIS's mediation process.",https://ogis.archives.gov/Assets/2016-02-10-final-letter-201600400.pdf?method=1
,,,,,,,,
,,,,,,,,
201600396, 2016/03/24, 2016/04/08,Social Security Administration,,Denial,6,Customer requested assistance with denied FOIA request and appeal. OGIS discussed the request with the agency and gave the customer more information about the agency's actions.,https://ogis.archives.gov/Assets/2016-03-24-final-letter-201600396.pdf?method=1
,,,,,,,,
,,,,,,,,
201600383, 2016/04/12,2016/05/06 ,Department of Justice,Federal Bureau of Investigation,Search,6,Customer contacted OGIS for assistance with request and denial. OGIS reached out to agency for additional information,https://ogis.archives.gov/Assets/2016-04-12-final-letter-201600383.pdf?method=1
,,,,,Denial,7c,,
,,,,,,7e,,
201600370,2016/02/23 ,2016/02/26 ,Department of Homeland Security,Customs and Border Protection,Search,,Customer disputes the accuracy of records that were released. Contacted agency and provided more information about the response.,https://ogis.archives.gov/Assets/2016-02-23-final-letter-201600370.pdf?method=1
,,,,,,,,
201600339,2016/03/14 ,2016/03/18 ,Department of Veterans Affairs,,Estimated Date of Completion,,Customer seeks information about the status of requests and appeals. Contacted agency and provided information.,https://ogis.archives.gov/Assets/2016-03-14-final-letter-201600339.pdf?method=1
,,,,,,,,
201600322,2016/03/16 ,2016/03/25 ,Department of Justice,,Ombuds,,Customer seeks records that are available from a state court. Suggested next steps.,https://ogis.archives.gov/Assets/2016-03-15-final-letter-201600322.pdf?method=1
,,,,,,,,
201600301, 2016/04/14, 2016/04/22,Department of the Treasury,Internal Revenue Service,Denial,3,Customer requested assistance with a partially denied FOIA request. Contacted agency and provided information about next steps.,https://ogis.archives.gov/Assets/2016-04-14-final-letter-201600301.pdf?method=1
,,,,,,5,,
,,,,,,6,,
,,,,,,7a,,
 201600295, 2016/04/01, 2016/04/15,Department of Homeland Security,Immigration and Customs Services ,No Records,,Customer requests assistance with a denied FOIA request. Suggested next steps.,https://ogis.archives.gov/Assets/2016-04-01-final-letter-201600295.pdf?method=1
,,,,,,,,
201600290, 2016/02/23,2016/04/01 ,Consumer Financial Protection Bureau ,,Denial,4,Customer contacted OGIS for assistance on exemptions claimed and adequacy of search. OGIS provided additional information learned from the agency on the exemptions and how the search was conducted,https://ogis.archives.gov/Assets/2016-02-23-final-letter-201600290.pdf?method=1
,,,,,,6,,
,,,,,,,,
201600252,2016/02/24 ,2016/03/04 ,Department of Homeland Security,Office of the Inspector General ,Denial,6,OGIS contacted agency in response to customer request. Agency releasing additional material and is going to issue supplemental response to requester,https://ogis.archives.gov/Assets/2016-02-24-final-letter-201600252.pdf?method=1
,,,,,,7c,,
,,,,,,,,
201600234,2016/02/24 ,2016/03/04 ,Department of Commerce,International Trade Administration ,Denial,,Customer contacted OGIS about fee determination. OGIS contacted agency and obtained additional information on the fee determination and provided customer explanation,https://ogis.archives.gov/Assets/2016-02-24-final-letter-201600234.pdf?method=1
,,,,,,,,
201600233,2016/02/25 ,2013/04/01 ,Department of Homeland Security, Office of the Inspector General ,Estimated Date of Completion,,Customer contacted OGIS for assistance. OGIS reached out to agency to obtain information on justification for use of 7A and status update on request and referral of request to other agencies.,https://ogis.archives.gov/Assets/2016-02-25-final-letter-201600233.pdf?method=1
,,,,,,,,
 201600231, 2016/02/11,2016/03/04 ,Department of Defense,US Army Medical Research Institute for Infectious Diseases ,Delay,,Requester contacted OGIS for assistance and to ask agency for a status update. OGIS contacted agency and provided requester with additional information on status of request.,https://ogis.archives.gov/Assets/2016-02-11-final-letter-201600231.pdf?method=1
,,,,,Estimated Date of Completion,,,
201600225, 2016/03/14,2016/03/18 ,Department of Justice,Federal Bureau of Investigation,Ombuds,,Customer disputes agency's administrative action. Provided more information about the status of the case.,https://ogis.archives.gov/Assets/2016-03-14-final-letter-201600225.pdf?method=1
,,,,,Estimated Date of Completion,,,
 201600224, 2016/02/12, 2016/02/12,Department of Justice,Federal Bureau of Investigation,Denial,6,Customer disputes agency's response to a request. Provided information about the agency's actions.,https://ogis.archives.gov/Assets/2016-02-12-final-letter-201600224.pdf?method=1
,,,,,,7c,,
,,,,,,,,
 201600223,2016/01/29 ,2015/02/05 ,Department of Homeland Security,Citizenship and Immigration Services ,Ombuds,,Customer disputes disparities between two requests for the same records. Contacted agency and provided explanation.,https://ogis.archives.gov/Assets/2016-01-29-final-letter-201600223.pdf?method=1
,,,,,,,,
201600222,2016/02/05 ,2016/02/11 ,Department of Justice,Federal Bureau of Investigation,Ombuds,,Customer seeks information about the status of an appeal. Contacted agency and suggested next steps.,https://ogis.archives.gov/Assets/2016-02-05-final-letter-201600222.pdf?method=1
,,,,,,,,
 201600217,3/3/2016,2016/03/04 ,Department of Justice,Federal Bureau of Prisons ,Estimated Date of Completion,,Customer seeks estimated dates of completion for several requests. Contacted agency and provided information.,https://ogis.archives.gov/Assets/2016-03-03-final-letter-201600217.pdf?method=1
,,,,,,,,
 201600215, 2016/03/14,2016/03/25 ,Department of Justice,Federal Bureau of Investigation,Ombuds,,Customer disputes agency's response to a request. Suggested next steps,https://ogis.archives.gov/Assets/2016-03-14-final-letter-201600215.pdf?method=1
,,,,,,,,
201600211,2016/03/14 ,2016/03/25 ,Department of Justice,Federal Bureau of Investigation,No Records,,"Customer disputes agency's ""no records"" response. Provided more information about the agency's actions.",https://ogis.archives.gov/Assets/2016-03-14-final-letter-201600211.pdf?method=1
,,,,,,,,
201600210, 2016/03/14, 2016/03/25,Department of Justice,Executive Office for United States Attorneys,Search,,Customer disputes agency's response to a request and the search that was conducted. Provided more information about the agency's actions.,https://ogis.archives.gov/Assets/2016-03-14-final-letter-201600210.pdf?method=1
,,,,,,,,
 201600203,2016/02/10 ,2016/02/11 ,Department of Justice,Federal Bureau of Investigation ,Denial,7a,Customer disputes agency's response to a request. Provided more information about the agency's actions.,https://ogis.archives.gov/Assets/2016-02-10-final-letter-201600203.pdf?method=1
,,,,,,,,
,,,,,,,,
201600201, 2016/03/03, 2016/03/11,Department of Justice,Federal Bureau of Investigation,Search,,Customer disputes agency's no records response. Provided more information about the agency's actions.,https://ogis.archives.gov/Assets/2016-03-03-final-letter-201600201.pdf?method=1
,,,,,,,,
 201600195, 2016/03/02,2016/03/11 ,National Aeronautics and Space Administration,,Denial,3,Customer disputes agency's response to an appeal. Contacted agency for more information.,https://ogis.archives.gov/Assets/2016-03-02-final-letter-201600195.pdf?method=1
,,,,,,6,,
,,,,,,,,
201600194, 2016/02/25,2016/02/26 ,Department of Justice,Federal Bureau of Investigation,Denial,6,Customer disputes agency's response to a request. Provided more information about the agency's actions and suggested next steps.,https://ogis.archives.gov/Assets/2016-02-25-final-letter-201600194.pdf?method=1
,,,,,,7c,,
,,,,,,,,
 201600193, 2016/01/12,1/15/2016,Department of Justice,Office of Information Policy ,Estimated Date of Completion,,Customer seeks information about the status of a pending appeal. Contacted agency and provided status information.,https://ogis.archives.gov/Assets/2016-01-12-final-letter-201600193.pdf?method=1
,,,,,,,,
201600182, 2016/02/10,2016/02/11 ,Social Security Administration ,,Estimated Date of Completion,,Customer seeks information about the status of a request. Contacted the agency and obtained status information.,https://ogis.archives.gov/Assets/2016-02-10-final-letter-201600182.pdf?method=1
,,,,,,,,
 201600177,2016/01/20 ,2016/01/22 ,Federal Communications Commission ,,Denial,,Customer disputes agency's response to a request. Provided more information about the agency's actions.,https://ogis.archives.gov/Assets/2016-01-20-final-letter-201600177.pdf?method=1
,,,,,,,,
201600171,2016/01/26 ,2016/01/29 ,Consumer Financial Protection Bureau ,,Denial,7a,Customer disputes agency's Glomar response. Provided an explanation of the agency's action.,https://ogis.archives.gov/Assets/2016-01-26-final-letter-201600171.pdf?method=1
,,,,,,,,
,,,,,,,,
 201600170, 2016/02/25,2016/02/25 ,Department of Justice,Bureau of Prisons ,Glomar,6,Customer disputes agency's response to a request and appeal. Provided more information about the agency's action.,https://ogis.archives.gov/Assets/2016-02-25-final-letter-201600170.pdf?method=1
,,,,,,7c,,
,,,,,,,,
 201600169, 2015/12/23,2016/01/08 ,Consumer Financial Protection Bureau ,,Delay,,Customer contacted OGIS about a delayed request. Contacted the agency to obtain the status of the request.,https://ogis.archives.gov/Assets/2015-12-23-final-letter-201600169.pdf?method=1
,,,,,,,,
201600166, 2015/12/03,2015/12/04 ,Department of the Treasury,Office of the Comptroller of the Currency ,Ombuds,,"Customer requested assistance with a delayed FOIA request. OGIS contacted the agency and learned the request was processed as a privacy act request. OGIS provided this information to the requester, and explained that OGIS does not have statutory authority to assist with Privacy Act requests.",https://ogis.archives.gov/Assets/2015-12-03-final-letter-201600166.pdf?method=1
,,,,,,,,
201600162, 2015/12/22,2016/01/08 ,Department of Justice,Executive Office for United States Attorneys,Denial,,Customer disputes agency's denial pursuant to a plea agreement. Provided more information about the agency's action.,https://ogis.archives.gov/Assets/2015-12-22-final-letter-201600162.pdf?method=1
,,,,,,,,
201600161,2016/02/23 ,2016/02/26 ,Department of Justice ,Tax Division,Denial,3,Customer seeks assistance with requests to a number of agencies. Contacted agencies and provided information about the requests.,https://ogis.archives.gov/Assets/2016-02-23-final-letter-201600161.pdf?method=1
,,,,,,5,,
,,,,Executive Office for United States Attorneys,,6,,
,,,Department of Homeland Security,Secret Service ,,7c,,
201600160, 2016/01/05,2016/01/08 ,United States Postal Service ,,Denial,6,Customer requests assistance with denied FOIA requests. Contacted agency and provided information about the agency's actions.,https://ogis.archives.gov/Assets/2016-01-05-final-letter-201600160.pdf?method=1
,,,,,,,,
,,,,,,,,
201600145,2015/12/17 ,2015/12/18 ,Department of Justice,Federal Bureau of Investigation,Delay,,Customer seeks information about the status of a remanded request. Contacted agency for status information.,https://ogis.archives.gov/Assets/2015-12-17-final-letter-201600145.pdf?method=1
,,,,,,,,
201600138, 2016/01/28,2016/01/29 ,National Archives and Records Administration,,Ombuds,,Customer disputes agency's response to multiple requests. Provided more information about the agency's action.,https://ogis.archives.gov/Assets/2016-01-28-final-letter-201600138.pdf?method=1
,,,,,,,,
201600124,2015/12/03 ,2015/12/04 ,National Security Agency ,,Delay,,Customer requested assistance with receiving an estimated date of completion. OGIS contacted the agency to discuss the request. The agency is still processing and stands by its original estimated date of completion.,https://ogis.archives.gov/Assets/2015-12-03-final-letter-201600124.pdf?method=1
,,,,,Estimated Date of Completion,,,
201600122, 2015/11/10,2015/11/13 ,Social Security Administration ,,Delay,,Customer contacted OGIS for assistance with a delayed FOIA request. OGIS asked the agency to send the customer another copy of released records and provided more information about the types of records the agency holds.,https://ogis.archives.gov/Assets/2015-11-10-final-letter-201600122.pdf?method=1
,,,,,,,,
201600116,2015/12/01 ,2016/01/29 ,Commodity Futures Trading Commission ,,Estimated Date of Completion,,Customer sought OGIS’s assistance with a delayed FOIA request.  OGIS staff reached out to the agency and obtained information for the requester regarding the status of the request.,
,,,,,,,,https://ogis.archives.gov/Assets/2015-12-01-final-letter-201600116.pdf?method=1
201600113, 2015/12/14,2015/12/18 ,Department of Homeland Security,Immigration and Customs Enforcement,Estimated Date of Completion,,Customer seeks status of remanded request. Contacted agency for status information.,
,,,,,,,,https://ogis.archives.gov/Assets/2015-12-14-final-letter-201600113.pdf?method=1
 201600112,2016/01/12 ,2016/01/29 ,Department of Defense,,Fee,,Customer disputes the agency's denial of a request for a waiver of fees. Discussed the issue with the agency and provided an updated fee assessment.,https://ogis.archives.gov/Assets/2016-01-12-final-letter-201600112.pdf?method=1
,,,,,,,,
 201600106, 2015/12/14,2015/12/18 ,Department of State ,,Estimated Date of Completion,,Customer seeks status of a FOIA request. Contacted agency and provided information on its status.,https://ogis.archives.gov/Assets/2015-12-14-final-letter-201600106.pdf?method=1
,,,,,,,,
201600105, 2016/01/12,2016/01/15 ,National Security Agency ,,Delay,,Customer requested assistance  getting a tracking number and estimated date of completion for an appeal. OGIS contacted the agency and learned that the request was assigned an appeal number and gave OGIS an estimated date of completion of 4 years. OGIS relayed this information to the customer.,https://ogis.archives.gov/Assets/2016-01-12-final-letter-201600105.pdf?method=1
,,,,,,,,
201600102,2015/12/17 ,2016/01/29 ,Department of Defense,Defense Security Service ,Estimated Date of Completion,,Customer sought OGIS’s assistance with a delayed FOIA request.  OGIS staff reached out to the agency and obtained information for the requester regarding the status of the request.,https://ogis.archives.gov/Assets/2015-12-17-final-letter-201600102.pdf?method=1
,,,,,,,,
 201600101,2016/01/19 ,2016/01/22 ,Department of Justice,,Estimated Date of Completion,,Customer seeks information about the status of three outstanding requests. Contacted agency and provided status information.,https://ogis.archives.gov/Assets/2016-01-19-final-letter-201600101.pdf?method=1
,,,,,,,,
 201600097, 2015/12/16,2015/12/23 ,Central Intelligence Agency ,,Estimated Date of Completion,,Customer seeks status of a pending request. Contacted agency for status information.,https://ogis.archives.gov/Assets/2015-12-16-final-letter-201600097.pdf?method=1
,,,,,,,,
 201600084,2015/12/17 ,2015/12/18 ,Department of Justice,Office of Professional Responsibility,Glomar,,Customer disputes agency's Glomar response. Provided more information about the agency's actions.,https://ogis.archives.gov/Assets/2015-12-17-final-letter-201600084.pdf?method=1
,,,,,,,,
201600079,2015/12/14 ,2015/12/18 ,Department of Justice,Executive Office for United States Attorneys,Denial,5,Customer contacted OGIS for assistance with a denied FOIA request. OGIS provided the requester with additional information about the material withheld and an explanation of the exemptions.,https://ogis.archives.gov/Assets/2015-12-14-final-letter-201600079.pdf?method=1
,,,,,,6,,
,,,,,,7c,,
 201600078,2016/01/04 ,2016/01/08 ,Department of Homeland Security,Customs and Border Protection,Delay,,Customer seeks information about the status of a request. Contacted agency to obtain status information.,https://ogis.archives.gov/Assets/2016-01-04-final-letter-201600078.pdf?method=1
,,,,,,,,
 201600057,2015/12/17 ,2015/12/23 ,Department of Veterans Affairs,Veterans Health Administration,Denial,6,Customer requested assistance with denied FOIA request and appeal. OGIS contacted the agency for information about the withheld documents. OGIS relayed this information to the customer.,https://ogis.archives.gov/Assets/2015-12-17-final-letter-201600057.pdf?method=1
,,,,,,,,
,,,,,,,,
201600046, 2016/01/19, 2016/03/11,Department of Justice,Federal Bureau of Investigation,Denial,7e,Customer contacted agency and obtaining additional information regarding redactions used and search conducted.,https://ogis.archives.gov/Assets/2016-01-19-final-letter-201600046.pdf?method=1
,,,,,Search,,,
,,,,,,,,
 201600034,2015/12/02 ,2015/12/04 ,Central Intelligence Agency ,,Denial,1,"Customer disputes agency's response to a request. Provided more information about the agency's actions, including the Glomar response and the agency's use of exemptions.",https://ogis.archives.gov/Assets/2015-12-02-final-letter-201600034.pdf?method=1
,,,,,,3,,
,,,,,,,,
 201600021,2015/12/11 ,2015/12/18 ,Department of Defense,Defense Threat Reduction Agency,No Records,,"Customer requested assistance with agency's ""no records"" response to a request. Contacted the agency to learn more about the agency's action on the request. Provided the customer with information concerning the agency's search for responsive records.",https://ogis.archives.gov/Assets/2015-12-11-final-letter-201600021.pdf?method=1
,,,,,,,,
 201600019,2015/11/13 ,2015/12/18 ,Department of Justice,Federal Bureau of Prisons ,Denial,6,Customer contacted OGIS for assistance with a denied FOIA request. OGIS provided the customer with additional information regarding the exemptions used by the agency.,https://ogis.archives.gov/Assets/2015-11-13-final-letter-201600019.pdf?method=1
,,,,,,7c,,
,,,,,,7e,,
,,,,,,7f,,
201600008, 2015/10/22, 2015/10/26,Environmental Protection Agency ,,Denial,6,Customer requested assistance with denied FOIA request and appeal. OGIS explained the agency's use of Exemption 6- release to one is a release to all.,https://ogis.archives.gov/Assets/2015-10-22-final-letter-201600008.pdf?method=1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
201501262, 2015/11/19, 2015/12/18,Department of Justice,Federal Bureau of Investigation,No Records,,Customer contacted OGIS for assistance with a no records response. OGIS provided the requester with information about the agency's record keeping system.,https://ogis.archives.gov/Assets/2015-11-19-final-letter-201501262.pdf?method=1
,,,,,,,,
 201501258, 2016/02/10, 2016/02/19,Department of Justice,Federal Bureau of Investigation,Ombuds,,Customer seeks OGIS's assistance with a denied FOIA request.  OGIS provided customer information about appeal process.,https://ogis.archives.gov/Assets/2016-02-10-final-letter-201501258.pdf?method=1
,,,,,,,,
201501257, 2016/03/02, 2016/03/04,Office of the Director of National Intelligence,,Glomar,1,Customer disputes agency's response to a request and appeal. Contacted the agency for more information about its response.,https://ogis.archives.gov/Assets/2016-03-02-final-letter-201501257.pdf?method=1
,,,,,,,,
,,,,,,,,
201501256,2016/01/19 ,2016/01/29 ,National Security Agency ,,Estimated Date of Completion,,Customer disputed agency’s response to records request.  OGIS staff reached out to the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2016-01-19-final-letter-201501256.pdf?method=1
,,,,,,,,
201501253, 2015/12/07,2015/12/18 ,Department of Justice,Federal Bureau of Investigation,Denial,7c,Customer disputes agency's response to a request and appeal. Provided more information about the agency's actions and suggested next steps.,https://ogis.archives.gov/Assets/2015-12-07-final-letter-201501253.pdf?method=1
,,,,,,,,
,,,,,,,,
201501251, 2015/10/13, 2015/12/18,Department of Justice,Executive Office for United States Attorneys,Search,,Customer requests assistance with agency response to appeal. OGIS provided the requester with additional information regarding the agency's response.,https://ogis.archives.gov/Assets/2015-10-13-final-letter-201501251.pdf?method=1
,,,,,,,,
201501250, 2016/03/30,2016/04/01 ,Department of Homeland Security,U.S. Coast Guard,Estimated Date of Completion,,Customer contacted OGIS for assistance with a number of FOIA requests. Contacted agency and provided information.,https://ogis.archives.gov/Assets/2016-03-30-final-letter-201501250.pdf?method=1
,,,,,,,,
 201501245, 2015/12/14,2015/12/18 ,Department of Justice,Executive Office for United States Attorneys,No Records,,"Customer disputes agency's ""no records"" response to a request. Provided an explanation and suggested next steps.",https://ogis.archives.gov/Assets/2015-12-14-final-letter-201501245.pdf?method=1
,,,,,,,,
