Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
EUCOM,Date of Receipt,2009-06-16,2009-06-12,2009-04-15,2008-12-16,2008-12-16,2008-07-21,2008-05-28,2007-01-12,2006-08-05,2006-06-13
EUCOM,Number of Days Pending,827,829,870,951,951,1054,1091,1435,1542,1580
NAVY,Date of Receipt,2007-03-12,2006-12-19,2006-11-09,2006-10-22,2006-02-23,2006-02-23,2004-11-18,2004-08-10,2004-05-26,2001-07-24
NAVY,Number of Days Pending,1396,1450,1476,1489,1657,1664,1972,2041,2092,2803
NGA,Date of Receipt,2010-10-28,2010-08-02,2010-06-14,2010-04-30,2010-04-27,2010-04-23,2010-03-12,2010-03-02,2009-11-18,2009-09-18
NGA,Number of Days Pending,483,544,578,608,611,613,643,651,720,761
NGB,Date of Receipt,2012-07-23,2012-07-18,2012-07-16,2012-06-25,2012-06-05,2012-05-31,2012-05-24,2012-03-29,2012-03-13,2012-02-14
NGB,Number of Days Pending,48,51,53,67,81,84,88,128,140,159
NORTHCOM,Date of Receipt,2011-11-01,2011-10-13,2010-08-30,2010-07-06,2010-03-05,2010-02-22,2009-09-21,2009-08-21,2009-06-15,2009-05-04
NORTHCOM,Number of Days Pending,230,243,524,563,648,657,760,780,828,857
NRO,Date of Receipt,2011-10-03,2011-09-22,2011-07-06,2011-06-20,2011-03-09,2011-01-03,2009-12-16,2009-06-24,2009-06-02,2008-12-01
NRO,Number of Days Pending,250,257,312,323,395,440,701,821,837,962
NSA,Date of Receipt,2001-03-02,2001-03-02,2000-10-23,1999-09-01,1998-07-20,1998-05-14,1998-02-09,1996-05-16,1996-05-02,1995-07-13
NSA,Number of Days Pending,2844,2845,2991,3384,3559,3604,3671,4060,4103,4288
OSD/JS,Date of Receipt,2001-09-25,2001-08-28,2001-08-09,2001-05-22,2001-02-05,2001-01-19,2001-01-10,2000-12-20,2000-12-06,2000-09-18
OSD/JS,Number of Days Pending,2759,2778,2791,2846,2921,2932,2938,2951,2961,3015
PACOM,Date of Receipt,2009-01-02,2007-04-26,2007-04-26,2007-04-26,2006-10-24,2006-10-24,2006-10-24,2006-10-24,2006-10-24,2006-08-02
PACOM,Number of Days Pending,929,1363,1363,1363,1488,1488,1488,1488,1488,1545
SOCOM,Date of Receipt,2007-12-12,2007-03-21,2007-03-09,2006-10-19,2006-08-25,2006-07-04,2005-08-30,2004-10-22,2003-06-17,2003-03-31
SOCOM,Number of Days Pending,1205,1389,1397,1491,1528,1552,1776,1990,2328,2383
SOUTHCOM,Date of Receipt,2010-08-20,2010-08-02,2010-06-02,2010-06-02,2010-02-25,2009-12-04,2009-10-27,2009-10-27,2009-10-27,2009-10-10
SOUTHCOM,Number of Days Pending,530,544,586,586,654,709,735,735,735,745
STRATCOM,Date of Receipt,,,,,,,,,,2012-06-25
STRATCOM,Number of Days Pending,,,,,,,,,,67
TRANSCOM,Date of Receipt,2012-04-27,2012-04-19,2012-04-12,2012-04-12,2012-02-10,2011-09-21,2010-11-03,2010-09-21,2008-11-13,2008-10-31
TRANSCOM,Number of Days Pending,107,113,118,118,161,258,479,509,974,982
TRICARE,Date of Receipt,2012-08-08,2012-06-26,2012-06-12,2012-06-11,2012-06-08,2012-06-08,2012-05-18,2012-03-15,2012-03-08,2012-01-11
TRICARE,Number of Days Pending,36,66,76,77,78,78,92,138,143,182
