Year,Agency,Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year
2012,DoD,DeCA,0,0,0,0
2012,DoD,DFAS,0,1,1,0
2012,DoD,DIA,226,305,336,195
2012,DoD,DISA,2,5,3,4
2012,DoD,DLA,0,12,9,3
2012,DoD,DoD IG,1,8,8,1
2012,DoD,DoDEA,0,0,0,0
2012,DoD,DSS,0,0,0,0
2012,DoD,DTIC,0,0,0,0
2012,DoD,DTRA,0,0,0,0
2012,DoD,EUCOM,1,0,0,1
2012,DoD,NAVY,44,453,414,83
2012,DoD,NGA,15,45,35,25
2012,DoD,NGB,0,0,0,0
2012,DoD,NORTHCOM,0,11,9,2
2012,DoD,NRO,4,22,25,1
2012,DoD,NSA,122,350,343,129
2012,DoD,OSD/JS,375,203,356,222
2012,DoD,PACOM,3,8,6,5
2012,DoD,SOCOM,36,72,77,31
2012,DoD,SOUTHCOM,15,9,6,18
2012,DoD,STRATCOM,5,19,15,9
2012,DoD,TRANSCOM,1,0,1,0
2012,DoD,TRICARE,1,15,16,0
2012,DOE,BPA,0,8,8,0
2012,DOE,CBFO,0,0,0,0
2012,DOE,CH,0,4,4,0
2012,DOE,EMCBC,0,1,1,0
2012,DOE,GFO,0,0,0,0
2012,DOE,HQ,95,173,170,98
2012,DOE,ID,0,0,0,0
2012,DOE,NETL,0,0,0,0
2012,DOE,NNSA,0,15,6,9
2012,DOE,NR,0,0,0,0
2012,DOE,NRLFO,0,0,0,0
2012,DOE,ORO,0,61,61,0
2012,DOE,OSTI,0,0,0,0
2012,DOE,ROO,0,0,0,0
2012,DOE,SEPA,0,0,0,0
2012,DOE,SPR,0,0,0,0
2012,DOE,SRO,0,16,16,0
2012,DOE,SWPA,0,0,0,0
2012,DOE,WAPA,0,0,0,0
2012,DOI,BIA,0,0,0,0
2012,DOI,BLM,0,2,2,0
2012,DOI,BOEM,0,1,1,0
2012,DOI,BOR,0,0,0,0
2012,DOI,BSEE,0,0,0,0
2012,DOI,FWS,0,0,0,0
2012,DOI,NPS,0,0,0,0
2012,DOI,OIG,0,4,4,0
2012,DOI,OS,2,9,11,0
2012,DOI,OSM,0,1,1,0
2012,DOI,SOL,0,0,0,0
2012,DOI,USGS,0,0,0,0
2012,DOJ,Office of the AG,2,8,10,0
2012,DOJ,Office of the DAG,1,8,9,0
2012,DOJ,Office of the Assoc. AG,0,1,1,0
2012,DOJ,Antitrust,0,2,2,0
2012,DOJ,ATF,0,15,14,1
2012,DOJ,BOP,0,0,0,0
2012,DOJ,Civil,1,5,6,0
2012,DOJ,Civil Rights,2,45,47,0
2012,DOJ,COPS,0,0,0,0
2012,DOJ,Criminal,6,37,33,10
2012,DOJ,CRS,0,0,0,0
2012,DOJ,DEA,17,131,129,19
2012,DOJ,ENRD,0,1,1,0
2012,DOJ,EOIR,0,1,0,1
2012,DOJ,EOUSA,4,48,46,6
2012,DOJ,EOUST,0,2,2,0
2012,DOJ,FBI,36,188,178,46
2012,DOJ,FCSC,0,1,1,0
2012,DOJ,JMD,2,6,8,0
2012,DOJ,NSD,0,31,31,0
2012,DOJ,OCDETF,0,7,7,0
2012,DOJ,OFDT,0,0,0,0
2012,DOJ,OIG,0,0,0,0
2012,DOJ,OIP,0,4,4,0
2012,DOJ,OIPL,0,0,0,0
2012,DOJ,OJP,0,2,2,0
2012,DOJ,OLA,0,1,1,0
2012,DOJ,OLC,0,5,4,1
2012,DOJ,OLP,0,1,1,0
2012,DOJ,OPR,0,6,5,1
2012,DOJ,OSG,0,4,4,0
2012,DOJ,OVW,0,0,0,0
2012,DOJ,Pardon Attorney,0,0,0,0
2012,DOJ,Public Affairs,0,0,0,0
2012,DOJ,PRAO,0,2,2,0
2012,DOJ,TAX,0,1,1,0
2012,DOJ,USMS,1,33,34,0
2012,DOJ,USNCB,2,11,13,0
2012,DOJ,USPC,0,0,0,0
2012,DOT,FAA,0,0,0,0
2012,DOT,FHWA,0,0,0,0
2012,DOT,FMCSA,0,0,0,0
2012,DOT,FRA,0,0,0,0
2012,DOT,FTA,0,0,0,0
2012,DOT,MARAD,0,0,0,0
2012,DOT,NHTSA,0,0,0,0
2012,DOT,OIG,2,9,10,1
2012,DOT,OST,0,2,2,0
2012,DOT,PHMSA,0,6,5,1
2012,DOT,RITA,0,0,0,0
2012,DOT,SLSDC,0,0,0,0
2012,ED,OM-PIRMS,0,0,0,0
2012,EEOC,ATLANTA,0,0,0,0
2012,EEOC,BIRMINGHAM,0,0,0,0
2012,EEOC,CHARLOTTE,0,0,0,0
2012,EEOC,CHICAGO,0,0,0,0
2012,EEOC,DALLAS,0,0,0,0
2012,EEOC,HOUSTON,0,0,0,0
2012,EEOC,INDIANAPOLIS,0,0,0,0
2012,EEOC,LOS ANGELES,0,0,0,0
2012,EEOC,MEMPHIS,0,0,0,0
2012,EEOC,MIAMI,0,0,0,0
2012,EEOC,NEW YORK,0,0,0,0
2012,EEOC,OLC/HDQ,0,0,0,0
2012,EEOC,PHILADELPHIA,0,0,0,0
2012,EEOC,PHOENIX,0,0,0,0
2012,EEOC,SAN FRANCISCO,0,0,0,0
2012,EEOC,ST. LOUIS,0,0,0,0
2012,EEOC,WFO,0,0,0,0
2012,EPA,HQ,15,61,44,32
2012,EPA,Region 1,0,0,0,0
2012,EPA,Region 2,0,0,0,0
2012,EPA,Region 3,0,4,4,0
2012,EPA,Region 4,0,9,9,0
2012,EPA,Region 5,0,5,5,0
2012,EPA,Region 6,0,1,1,0
2012,EPA,Region 7,0,0,0,0
2012,EPA,Region 8,0,0,0,0
2012,EPA,Region 9,0,0,0,0
2012,EPA,Region 10,0,0,0,0
2012,Ex-Im Bank,HQ,0,0,0,0
2012,FCA,FCA,0,0,0,0
2012,FCC,FCC,1,3,3,1
2012,FCSIC,FCSIC,0,0,0,0
2012,FDIC,FDIC,0,0,0,0
2012,FEC,FEC,0,1,1,0
2012,FERC,FERC,0,0,0,0
2012,FFIEC,FFIEC,0,0,0,0
2012,FHFA,FHFA FOIA,0,1,1,0
2012,FHFA,FHFA-OIG,0,0,0,0
2012,FLRA,FSIP,0,0,0,0
2012,FLRA,Authority,0,0,0,0
2012,FLRA,IG,0,0,0,0
2012,FLRA,OGC,0,0,0,0
2012,FLRA,ATRO,0,0,0,0
2012,FLRA,BORO,0,0,0,0
2012,FLRA,CHRO,0,0,0,0
2012,FLRA,DARO,0,0,0,0
2012,FLRA,DERO,0,0,0,0
2012,FLRA,SFRO,0,0,0,0
2012,FLRA,WARO,0,0,0,0
2012,FMC,FMC,0,0,0,0
2012,FMCS,FMCS,0,0,0,0
2012,FMSHRC,FMSHRC,0,0,0,0
2012,FOMC,FOMC,0,0,0,0
2012,FRB,FRB,0,0,0,0
2012,FRTIB,FRTIB,0,1,0,1
2012,FTC,FTC,0,2,2,0
2012,GSA,GSA,0,0,0,0
2012,HHS,ACF,0,0,0,0
2012,HHS,CMS,0,0,0,0
2012,HHS,OIG,0,1,1,0
2012,HHS,AHRQ,0,0,0,0
2012,HHS,CDC,0,0,0,0
2012,HHS,FDA,0,17,17,0
2012,HHS,HRSA,0,0,0,0
2012,HHS,IHS,0,0,0,0
2012,HHS,NIH,0,2,2,0
2012,HHS,SAMHSA,0,0,0,0
2012,HHS,OS,0,0,0,0
2012,HHS,OASH,0,2,2,0
2012,HHS,ACL,0,0,0,0
2012,HUD,HQ,0,0,0,0
2012,HUD,OIG,0,0,0,0
2012,HUD,R01,0,0,0,0
2012,HUD,R02,0,0,0,0
2012,HUD,R03,0,0,0,0
2012,HUD,R04,0,0,0,0
2012,HUD,R05,0,0,0,0
2012,HUD,R06,0,0,0,0
2012,HUD,R07,0,0,0,0
2012,HUD,R08,0,0,0,0
2012,HUD,R09,0,0,0,0
2012,HUD,R0X,0,0,0,0
2012,IAF,IAF,0,0,0,0
2012,IMLS,IMLS,0,1,1,0
2012,LSC,OLA,0,0,0,0
2012,LSC,OIG,0,0,0,0
2012,MCC,MCC,0,0,0,0
2012,MSPB,MSPB,0,0,0,0
2012,NARA,NARA,0,0,0,0
2012,NASA,ARC,0,0,0,0
2012,NASA,DFRC,0,0,0,0
2012,NASA,GRC,0,0,0,0
2012,NASA,GSFC,0,0,0,0
2012,NASA,HQ,0,0,0,0
2012,NASA,JPL,0,0,0,0
2012,NASA,JSC,0,0,0,0
2012,NASA,KSC,0,0,0,0
2012,NASA,LaRC,0,0,0,0
2012,NASA,MSFC,0,0,0,0
2012,NASA,NSSC,0,0,0,0
2012,NASA,OGC,0,0,0,0
2012,NASA,OIG,0,0,0,0
2012,NASA,SSC,0,0,0,0
2012,NCPC,NCPC,0,0,0,0
2012,NCUA,NCUA,0,0,0,0
2012,NEA,NEA,0,0,0,0
2012,NEH,NEH,0,0,0,0
2012,NIGC,NIGC,0,0,0,0
2012,NLRB,NLRB,0,4,4,0
2012,NMB,NMB,0,0,0,0
2012,NRPC,NRPC,0,0,0,0
2012,NSF,OGC,1,1,2,0
2012,NSF,OIG,0,1,1,0
2012,NTSB,NTSB,0,0,0,0
2012,ODNI,ODNI,0,12,10,2
2012,OGE,OGE,0,0,0,0
2012,OMB,OMB,4,27,29,2
2012,ONDCP,ONDCP,0,0,0,0
2012,ONHIR,ONHIR,0,0,0,0
2012,OPIC,OPIC,0,0,0,0
2012,OPM,OPM,0,20,19,1
2012,OSC,OSC,0,0,0,0
2012,OSHRC,OSHRC,0,0,0,0
2012,OSTP,OSTP,0,3,3,0
2012,PBGC,PBGC,0,0,0,0
2012,PC,FOIA Office,1,1,2,0
2012,PRC,PRC,0,2,2,0
2012,RATB,RATB,0,0,0,0
2012,SBA,SBA,0,0,0,0
2012,SEC,SEC,1,4,5,0
2012,SIGAR,SIGAR,0,0,0,0
2012,SIGIR,SIGIR,0,0,0,0
2012,SSA,SSA,0,1,1,0
2012,SSS,SSS,0,0,0,0
2012,State,DoS,1869,10946,8363,4452
2012,State,OIG,0,0,0,0
2012,STB,STB,0,0,0,0
2012,Treasury,BEP,0,0,0,0
2012,Treasury,BPD,0,0,0,0
2012,Treasury,CFPB,0,2,2,0
2012,Treasury,DO,19,38,40,17
2012,Treasury,FinCEN,0,10,10,0
2012,Treasury,FMS,2,63,57,8
2012,Treasury,IRS,9,206,212,3
2012,Treasury,MINT,0,0,0,0
2012,Treasury,OCC,0,0,0,0
2012,Treasury,TIGTA,0,4,4,0
2012,Treasury,TTB,0,1,1,0
2012,TVA,TVA,0,1,1,0
2012,U.S. CPSC,U.S. CPSC,0,0,0,0
2012,U.S. DOL,ADJ BDS,0,3,3,0
2012,U.S. DOL,ALJ,0,0,0,0
2012,U.S. DOL,ASP,2,0,2,0
2012,U.S. DOL,BLS,0,1,1,0
2012,U.S. DOL,CFO,0,0,0,0
2012,U.S. DOL,EBSA,0,1,1,0
2012,U.S. DOL,ETA,0,5,5,0
2012,U.S. DOL,EXEC SEC,0,0,0,0
2012,U.S. DOL,ILAB,0,3,3,0
2012,U.S. DOL,MSHA,2,0,2,0
2012,U.S. DOL,OASAM,0,3,3,0
2012,U.S. DOL,OCIA,0,0,0,0
2012,U.S. DOL,ODEP,0,0,0,0
2012,U.S. DOL,OFCCP,0,5,5,0
2012,U.S. DOL,OIG,0,0,0,0
2012,U.S. DOL,OLMS,0,2,2,0
2012,U.S. DOL,OPA,0,0,0,0
2012,U.S. DOL,OSEC,0,0,0,0
2012,U.S. DOL,OSHA,3,87,84,6
2012,U.S. DOL,OWCP,0,0,0,0
2012,U.S. DOL,SOL,4,0,3,1
2012,U.S. DOL,VETS,1,1,2,0
2012,U.S. DOL,WB,0,0,0,0
2012,U.S. DOL,WHD,0,7,7,0
2012,US ADF,US ADF,0,0,0,0
2012,US RRB,OIG,0,0,0,0
2012,US RRB,RRB,0,0,0,0
2012,USAID,USAID,4,2,3,3
2012,USCCR,USCCR,0,0,0,0
2012,USDA,AMS,0,0,0,0
2012,USDA,APHIS,0,4,4,0
2012,USDA,ASCR,0,0,0,0
2012,USDA,DM,0,0,0,0
2012,USDA,FAS,0,12,11,1
2012,USDA,FNCS,0,0,0,0
2012,USDA,FS,1,5,6,0
2012,USDA,FSA,0,0,0,0
2012,USDA,FSIS,0,0,0,0
2012,USDA,GIPSA,1,0,1,0
2012,USDA,NAD,0,0,0,0
2012,USDA,NRCS,1,2,3,0
2012,USDA,OBPA,0,5,5,0
2012,USDA,OCFO,0,0,0,0
2012,USDA,OGC,0,0,0,0
2012,USDA,OIG,0,2,2,0
2012,USDA,OSEC/OCIO,0,2,2,0
2012,USDA,RD,0,1,0,1
2012,USDA,REE,0,3,3,0
2012,USDA,RMA,0,0,0,0
2012,USIBWC,USIBWC,0,0,0,0
2012,USITC,USITC,0,1,1,0
2012,USNRC,USNRC,0,5,5,0
2012,USPS,PS,0,4,4,0
2012,USPS,OIG,0,2,2,0
2012,USPS,PIS,0,12,12,0
2012,USTDA,USTDA,0,0,0,0
2012,USTR,USTR,8,3,3,8
2012,VA,Admin,0,0,0,0
2012,VA,BVA,0,0,0,0
2012,VA,C&LA,0,0,0,0
2012,VA,CFM,0,0,0,0
2012,VA,GC,0,0,0,0
2012,VA,HRM,0,0,0,0
2012,VA,IG,0,0,0,0
2012,VA,Mgmt,0,0,0,0
2012,VA,NCA,0,0,0,0
2012,VA,OAL,0,0,0,0
2012,VA,OASHRA,0,0,0,0
2012,VA,OASP&IA,0,0,0,0
2012,VA,ODASB,0,0,0,0
2012,VA,ODASIA,0,0,0,0
2012,VA,ODI,0,0,0,0
2012,VA,OF,0,0,0,0
2012,VA,OIT,0,0,0,0
2012,VA,ORM,0,0,0,0
2012,VA,OSDBU,0,0,0,0
2012,VA,OSP,0,2,2,0
2012,VA,P&P,0,0,0,0
2012,VA,PA,0,0,0,0
2012,VA,SEC,0,0,0,0
2012,VA,VBA,0,0,0,0
2012,VA,VHA,1,6,6,1
2013,ABMC,ABMC,0,0,0,0
2013,ACUS,ACUS,0,0,0,0
2013,AFRH,AFRH,0,0,0,0
2013,BBG,BBG,0,0,0,0
2013,CEQ,CEQ,2,15,0,17
2013,CFPB,CFPB,0,0,0,0
2013,CFTC,CFTC,0,0,0,0
2013,CIA,CIA,348,1005,1138,215
2013,CIGIE,CIGIE,0,1,1,0
2013,CNCS,CNCS,0,0,0,0
2013,CO,CO,0,0,0,0
2013,CPPBSD,CPPBSD,0,0,0,0
2013,CSOSA,CSOSA,0,0,0,0
2013,DHS,CBP,5,66,45,26
2013,DHS,CRCL,0,2,2,0
2013,DHS,FEMA,2,8,9,1
2013,DHS,FLETC,0,1,1,0
2013,DHS,I&A,4,11,15,0
2013,DHS,ICE,4,95,54,45
2013,DHS,NPPD,0,0,0,0
2013,DHS,OIG,0,5,5,0
2013,DHS,OPS,0,10,10,0
2013,DHS,PRIV,0,32,21,11
2013,DHS,S&T,0,3,3,0
2013,DHS,TSA,10,8,3,15
2013,DHS,USCG,6,0,3,3
2013,DHS,USCIS,3,56,58,1
2013,DHS,USSS,10,21,19,12
2013,DNFSB,DNFSB,1,0,1,0
2013,DOC,BIS,0,2,2,0
2013,DOC,Census,0,2,2,0
2013,DOC,EDA,0,1,1,0
2013,DOC,ESA,0,0,0,0
2013,DOC,ITA,1,10,5,6
2013,DOC,MBDA,0,0,0,0
2013,DOC,NIST,1,2,3,0
2013,DOC,NOAA,1,11,12,0
2013,DOC,NTIA,1,2,3,0
2013,DOC,NTIS,0,0,0,0
2013,DOC,OIG,0,0,0,0
2013,DOC,OS,0,3,3,0
2013,DOC,PTO,0,0,0,0
2013,DoD,AF,44,147,123,68
2013,DoD,AFRICOM,28,33,21,40
2013,DoD,ARMY,204,351,398,157
2013,DoD,ASBCA,0,0,0,0
2013,DoD,CENTCOM,22,88,82,28
2013,DoD,DCAA,0,5,5,0
2013,DoD,DCMA,0,5,5,0
2013,DoD,DeCA,0,0,0,0
2013,DoD,DFAS,0,0,0,0
2013,DoD,DIA,181,337,339,179
2013,DoD,DISA,4,5,6,3
2013,DoD,DLA,0,7,7,0
2013,DoD,DoD IG,1,19,20,0
2013,DoD,DoDEA,0,0,0,0
2013,DoD,DSS,0,1,1,0
2013,DoD,DTIC,0,0,0,0
2013,DoD,DTRA,0,14,13,1
2013,DoD,EUCOM,6,18,15,9
2013,DoD,JPRA,0,0,0,0
2013,DoD,NAVY,83,233,261,55
2013,DoD,NGA,28,40,37,31
2013,DoD,NGB,0,0,0,0
2013,DoD,NORTHCOM,4,13,15,2
2013,DoD,NRO,1,62,36,27
2013,DoD,NSA,128,308,266,170
2013,DoD,OSD/JS,217,207,203,221
2013,DoD,PACOM,5,19,14,10
2013,DoD,SOCOM,31,32,39,24
2013,DoD,SOUTHCOM,18,23,16,25
2013,DoD,STRATCOM,10,25,30,5
2013,DoD,TRANSCOM,1,0,0,1
2013,DoD,TRICARE,0,1,0,1
2013,DOE,BPA,0,6,5,1
2013,DOE,CBFO,0,0,0,0
2013,DOE,CH,0,5,5,0
2013,DOE,EMCBC,0,0,0,0
2013,DOE,GFO,0,0,0,0
2013,DOE,HQ,98,167,168,97
2013,DOE,ID,0,0,0,0
2013,DOE,NETL,0,0,0,0
2013,DOE,NNSA,9,17,12,14
2013,DOE,NR,0,0,0,0
2013,DOE,NRLFO,0,0,0,0
2013,DOE,ORO,0,58,57,1
2013,DOE,OSTI,0,0,0,0
2013,DOE,ROO,0,0,0,0
2013,DOE,SEPA,0,0,0,0
2013,DOE,SPR,0,0,0,0
2013,DOE,SRO,0,11,10,1
2013,DOE,SWPA,0,0,0,0
2013,DOE,WAPA,0,0,0,0
2013,DOI,BIA,0,0,0,0
2013,DOI,BLM,0,0,0,0
2013,DOI,BOEM,0,1,1,0
2013,DOI,BOR,0,0,0,0
2013,DOI,BSEE,0,0,0,0
2013,DOI,FWS,0,0,0,0
2013,DOI,NPS,0,0,0,0
2013,DOI,OIG,0,0,0,0
2013,DOI,OS,0,19,18,1
2013,DOI,OSM,0,0,0,0
2013,DOI,SOL,0,0,0,0
2013,DOI,USGS,0,0,0,0
2013,DOJ,Office of the AG,0,8,7,1
2013,DOJ,Office of the DAG,0,10,9,1
2013,DOJ,Office of the Assoc. AG,0,0,0,0
2013,DOJ,Antitrust,0,7,7,0
2013,DOJ,ATF,1,4,5,0
2013,DOJ,BOP,0,0,0,0
2013,DOJ,Civil,4,15,17,2
2013,DOJ,Civil Rights,0,32,32,0
2013,DOJ,COPS,0,0,0,0
2013,DOJ,Criminal,14,66,49,31
2013,DOJ,CRS,0,0,0,0
2013,DOJ,DEA,19,204,213,10
2013,DOJ,ENRD,1,9,9,1
2013,DOJ,EOIR,1,1,2,0
2013,DOJ,EOUSA,6,82,79,9
2013,DOJ,EOUST,0,3,3,0
2013,DOJ,FBI,52,195,123,124
2013,DOJ,FCSC,0,0,0,0
2013,DOJ,JMD,0,17,17,0
2013,DOJ,NSD,0,23,23,0
2013,DOJ,OCDETF,0,1,1,0
2013,DOJ,OIG,0,0,0,0
2013,DOJ,OIP,0,6,4,2
2013,DOJ,OJP,0,1,0,1
2013,DOJ,OLA,0,6,6,0
2013,DOJ,OLC,1,11,12,0
2013,DOJ,OLP,0,3,3,0
2013,DOJ,OPR,1,1,2,0
2013,DOJ,OSG,0,11,9,2
2013,DOJ,OVW,0,0,0,0
2013,DOJ,Pardon Attorney,0,0,0,0
2013,DOJ,Public Affairs,0,1,1,0
2013,DOJ,PRAO,0,1,1,0
2013,DOJ,TAX,0,0,0,0
2013,DOJ,USMS,0,0,0,0
2013,DOJ,USNCB,0,6,6,0
2013,DOJ,USPC,0,1,1,0
2013,DOT,FAA,0,0,0,0
2013,DOT,FHWA,0,0,0,0
2013,DOT,FMCSA,0,0,0,0
2013,DOT,FRA,0,0,0,0
2013,DOT,FTA,0,0,0,0
2013,DOT,MARAD,0,1,1,0
2013,DOT,NHTSA,0,0,0,0
2013,DOT,OIG,1,7,6,2
2013,DOT,OST,0,1,1,0
2013,DOT,PHMSA,1,4,4,1
2013,DOT,RITA,0,0,0,0
2013,DOT,SLSDC,0,0,0,0
2013,ED,ED,0,0,0,0
2013,EEOC,ATLANTA,0,0,0,0
2013,EEOC,BIRMINGHAM,0,0,0,0
2013,EEOC,CHARLOTTE,0,0,0,0
2013,EEOC,CHICAGO,0,0,0,0
2013,EEOC,DALLAS,0,0,0,0
2013,EEOC,HOUSTON,0,0,0,0
2013,EEOC,INDIANAPOLIS,0,0,0,0
2013,EEOC,LOS ANGELES,0,0,0,0
2013,EEOC,MEMPHIS,0,0,0,0
2013,EEOC,MIAMI,0,0,0,0
2013,EEOC,NEW YORK,0,0,0,0
2013,EEOC,OLC/HDQ,0,0,0,0
2013,EEOC,PHILADELPHIA,0,0,0,0
2013,EEOC,PHOENIX,0,0,0,0
2013,EEOC,SAN FRANCISCO,0,0,0,0
2013,EEOC,ST. LOUIS,0,0,0,0
2013,EEOC,WFO,0,0,0,0
2013,EPA,HQ,0,16,12,4
2013,EPA,Region 1,0,0,0,0
2013,EPA,Region 2,0,0,0,0
2013,EPA,Region 3,0,2,2,0
2013,EPA,Region 4,0,0,0,0
2013,EPA,Region 5,0,0,0,0
2013,EPA,Region 6,0,0,0,0
2013,EPA,Region 7,0,0,0,0
2013,EPA,Region 8,0,1,1,0
2013,EPA,Region 9,0,0,0,0
2013,EPA,Region 10,0,0,0,0
2013,Ex-Im Bank,HQ,0,0,0,0
2013,FCA,FCA,0,0,0,0
2013,FCC,FCC,0,2,2,0
2013,FCSIC,FCSIC,0,0,0,0
2013,FDIC,FDIC,0,4,3,1
2013,FEC,FEC,0,1,1,0
2013,FERC,FERC,0,2,2,0
2013,FFIEC,FFIEC,0,0,0,0
2013,FHFA,FHFA-HQ,0,0,0,0
2013,FHFA,FHFA-OIG,0,0,0,0
2013,FLRA,FSIP,0,0,0,0
2013,FLRA,Authority,0,0,0,0
2013,FLRA,IG,0,0,0,0
2013,FLRA,OGC,0,0,0,0
2013,FLRA,ATRO,0,0,0,0
2013,FLRA,BORO,0,0,0,0
2013,FLRA,CHRO,0,0,0,0
2013,FLRA,DARO,0,0,0,0
2013,FLRA,DERO,0,0,0,0
2013,FLRA,SFRO,0,0,0,0
2013,FLRA,WARO,0,0,0,0
2013,FMC,FMC,0,0,0,0
2013,FMCS,FMCS,0,0,0,0
2013,FMSHRC,FMSHRC,0,1,1,0
2013,FOMC,FOMC,0,0,0,0
2013,FRB,FRB,0,6,4,2
2013,FRTIB,FRTIB,1,0,1,0
2013,FTC,FTC,0,1,1,0
2013,GSA,GSA,0,0,0,0
2013,HHS,ACF,0,0,0,0
2013,HHS,CMS,0,0,0,0
2013,HHS,OIG,0,3,3,0
2013,HHS,AHRQ,0,0,0,0
2013,HHS,CDC,0,0,0,0
2013,HHS,FDA,0,27,27,0
2013,HHS,HRSA,0,0,0,0
2013,HHS,IHS,0,0,0,0
2013,HHS,NIH,0,7,7,0
2013,HHS,SAMHSA,0,0,0,0
2013,HHS,OS,0,3,3,0
2013,HHS,OASH,0,3,3,0
2013,HHS,ACL,0,0,0,0
2013,HUD,HQ,0,4,4,0
2013,HUD,OIG,0,0,0,0
2013,HUD,R01,0,0,0,0
2013,HUD,R02,0,0,0,0
2013,HUD,R03,0,2,2,0
2013,HUD,R04,0,0,0,0
2013,HUD,R05,0,0,0,0
2013,HUD,R06,0,0,0,0
2013,HUD,R07,0,0,0,0
2013,HUD,R08,0,0,0,0
2013,HUD,R09,0,0,0,0
2013,HUD,R0X,0,0,0,0
2013,IAF,IAF,0,0,0,0
2013,IMLS,IMLS,0,0,0,0
2013,LSC,OLA,0,0,0,0
2013,LSC,OIG,0,0,0,0
2013,MCC,MCC,0,0,0,0
2013,MSPB,MSPB,0,0,0,0
2013,NARA,NARA,0,2,2,0
2013,NASA,ARC,0,3,3,0
2013,NASA,DFRC,0,1,1,0
2013,NASA,GRC,0,0,0,0
2013,NASA,GSFC,0,0,0,0
2013,NASA,HQ,3,6,8,1
2013,NASA,JPL,0,1,1,0
2013,NASA,JSC,0,0,0,0
2013,NASA,KSC,0,0,0,0
2013,NASA,LaRC,0,3,3,0
2013,NASA,MSFC,0,0,0,0
2013,NASA,NSSC,0,0,0,0
2013,NASA,OGC,0,0,0,0
2013,NASA,OIG,0,0,0,0
2013,NASA,SSC,0,0,0,0
2013,NCPC,NCPC,0,0,0,0
2013,NCUA,NCUA,0,0,0,0
2013,NEA,NEA,0,1,1,0
2013,NEH,NEH,0,0,0,0
2013,NIGC,NIGC,0,0,0,0
2013,NLRB,NLRB,0,4,4,0
2013,NMB,NMB,0,0,0,0
2013,NRPC,NRPC,0,0,0,0
2013,NSF,OGC,0,1,1,0
2013,NSF,OIG,0,0,0,0
2013,NTSB,NTSB,0,0,0,0
2013,ODNI,ODNI,2,9,11,0
2013,OGE,OGE,0,0,0,0
2013,OMB,OMB,2,24,24,2
2013,ONDCP,ONDCP,0,0,0,0
2013,ONHIR,ONHIR,0,0,0,0
2013,OPIC,OPIC,0,3,3,0
2013,OPM,OPM,1,18,19,0
2013,OSC,OSC,0,2,2,0
2013,OSHRC,OSHRC,0,0,0,0
2013,OSTP,OSTP,0,8,8,0
2013,PBGC,PBGC,0,0,0,0
2013,PC,FOIA Office,0,1,0,1
2013,PC,OIG,0,0,0,0
2013,PRC,PRC,0,0,0,0
2013,RATB,RATB,0,0,0,0
2013,SBA,SBA,0,4,4,0
2013,SEC,SEC,0,5,5,0
2013,SSA,SSA,0,42,42,0
2013,SSS,SSS,0,0,0,0
2013,State,DoS,4500,11012,13810,1702
2013,State,OIG,0,0,0,0
2013,STB,STB,0,1,1,0
2013,Treasury,BEP,0,0,0,0
2013,Treasury,BPD,0,0,0,0
2013,Treasury,DO,17,34,24,27
2013,Treasury,FinCEN,0,8,8,0
2013,Treasury,FMS,8,40,43,5
2013,Treasury,IRS,3,148,138,13
2013,Treasury,MINT,0,0,0,0
2013,Treasury,OCC,0,0,0,0
2013,Treasury,TIGTA,0,2,2,0
2013,Treasury,TTB,0,0,0,0
2013,TVA,TVA,0,6,5,1
2013,U.S. CPSC,U.S. CPSC,0,0,0,0
2013,U.S. DOL,ADJ BDS,0,2,2,0
2013,U.S. DOL,ALJ,0,0,0,0
2013,U.S. DOL,ASP,0,0,0,0
2013,U.S. DOL,BLS,0,2,2,0
2013,U.S. DOL,CFO,0,0,0,0
2013,U.S. DOL,EBSA,0,2,2,0
2013,U.S. DOL,ETA,0,0,0,0
2013,U.S. DOL,EXEC SEC,0,0,0,0
2013,U.S. DOL,ILAB,0,0,0,0
2013,U.S. DOL,MSHA,0,0,0,0
2013,U.S. DOL,OASAM,0,1,1,0
2013,U.S. DOL,OCIA,0,0,0,0
2013,U.S. DOL,ODEP,0,0,0,0
2013,U.S. DOL,OFCCP,0,1,1,0
2013,U.S. DOL,OIG,0,0,0,0
2013,U.S. DOL,OLMS,0,0,0,0
2013,U.S. DOL,OPA,0,0,0,0
2013,U.S. DOL,OSEC,0,1,1,0
2013,U.S. DOL,OSHA,4,64,67,1
2013,U.S. DOL,OWCP,0,1,1,0
2013,U.S. DOL,SOL,1,2,3,0
2013,U.S. DOL,VETS,0,4,2,2
2013,U.S. DOL,WB,0,0,0,0
2013,U.S. DOL,WHD,0,10,9,1
2013,US ADF,US ADF,0,0,0,0
2013,US RRB,OIG,0,0,0,0
2013,US RRB,RRB,0,0,0,0
2013,USAID,USAID,3,19,14,8
2013,USCCR,USCCR,0,1,1,0
2013,USDA,AMS,0,1,1,0
2013,USDA,APHIS,0,1,1,0
2013,USDA,ASCR,0,0,0,0
2013,USDA,FAS,1,2,3,0
2013,USDA,FNCS,0,0,0,0
