Agency,Component,Description,No. of Times Used,Total,Year
DHS,TSA,Subpoena,1,26.0,2008
DHS,TSA,Litigation,2,26.0,2008
DHS,TSA,Records Publicly Available,2,26.0,2008
DHS,TSA,Response to requester from program area,5,26.0,2008
DHS,USCG,Administratively Closed,7,7.0,2008
DHS,USCIS,Certified Copy,2,129.0,2008
DHS,USCIS,Unable to locate requester,127,129.0,2008
DHS,USSS,Administratively Closed,2,2.0,2008
DHS,OIG,Not applicable,0,0.0,2008
DHS,OPA,,0,0.0,2008
DHS,CFO,No Records in Partial Grant,1,1.0,2008
DHS,OIG,,0,0.0,2008
DHS,OIG,Records  on OIG Webpage,1,1.0,2008
DHS,OGC,0,0,0.0,2008
DHS,OIG,,0,0.0,2008
DHS,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
DNFSB,OGC,0,0,0.0,2008
DNFSB,OGC,0,0,0.0,2008
DOC,OIG,0,0,0.0,2008
DOC,OS,Publicly Available Information,3,3.0,2008
DOC,Census,Publicly Available Information,25,25.0,2008
DOC,ITA,No Address Provided,1,1.0,2008
DOC,NIST,Publicly Available Information,4,8.0,2008
DOC,NIST,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",4,8.0,2008
DOC,NOAA,Publicly Available Information,6,6.0,2008
DOC,NTIS,Statute Based Price Authority,5,5.0,2008
DOC,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
DOC,OIG,Records Publicly Available,1,9.0,2008
DOC,OIG,Unable to locate requester,6,9.0,2008
DOC,OIG,Administratively Closed,2,9.0,2008
DOC,OIG,Not applicable,0,0.0,2008
DOC,OS,Requester failed to provide requested clarified information,3,7.0,2008
DOC,OS,Request administratively closed,4,7.0,2008
DOC,ESA,Request reassigned,3,16.0,2008
DOC,ESA,FOIAs already closed,7,16.0,2008
DOC,ESA,Request for Supplemental Information,1,16.0,2008
DOC,ESA,Requests - Information Available on the web,5,16.0,2008
DOC,OIG,,0,0.0,2008
DOC,OIG,Records  on OIG Webpage,1,1.0,2008
DOC,OS,,0,0.0,2008
DOC,OIG,,0,0.0,2008
DOC,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
DoD,AF,"Database error, details not available",283,283.0,2008
DoD,ASBCA,,0,0.0,2008
DoD,ARMY,Publicly available for sale,36,89.0,2008
DoD,ARMY,Misdirected Referral,53,89.0,2008
DoD,CENTCOM,Misdirected Referral,12,22.0,2008
DoD,CENTCOM,Administratively Closed,6,22.0,2008
DoD,CENTCOM,Requester didn't respond to interest letter,4,22.0,2008
DoD,DIA,Requester didn't respond to interest letter,33,60.0,2008
DoD,DIA,Misdirected Referral,7,60.0,2008
DoD,DIA,Administratively Closed,20,60.0,2008
DoD,DTRA,Administratively Closed,7,20.0,2008
DoD,DTRA,Misdirected Referral,12,20.0,2008
DoD,DTRA,Document publicly available,1,20.0,2008
DoD,NAVY,Administratively Closed,1,135.0,2008
DoD,NAVY,Requester Address Problem,13,135.0,2008
DoD,NAVY,Misdirected Referral,119,135.0,2008
DoD,NAVY,Published on web site,2,135.0,2008
DoD,NGA,Administratively Closed,1,1.0,2008
DoD,NORTHCOM,Misdirected Referral,2,2.0,2008
DoD,NSA,Not agency equity,23,110.0,2008
DoD,NSA,Administratively Closed,87,110.0,2008
DoD,OSD/JS,Publicly available on Web site,49,80.0,2008
DoD,OSD/JS,Litigation,16,80.0,2008
DoD,OSD/JS,Administratively Closed,3,80.0,2008
DoD,OSD/JS,Requester Address Problem,12,80.0,2008
DoD,SOCOM,Misdirected Referral,2,28.0,2008
DoD,SOCOM,Requester didn't respond to interest letter,1,28.0,2008
DoD,SOCOM,Publicly available on Web site,3,28.0,2008
DoD,SOCOM,Administratively Closed,22,28.0,2008
DoD,TRANSCOM,Misdirected Referral,1,1.0,2008
DOE,NNSA/AL,0,0,0.0,2008
DOE,BPA,0,0,0.0,2008
DOE,CBFO,0,0,0.0,2008
DOE,CH,0,0,0.0,2008
DOE,GFO,0,0,0.0,2008
DOE,ID,0,0,0.0,2008
DOE,NETL,0,0,0.0,2008
DOE,NR,0,0,0.0,2008
DOE,ORO,0,0,0.0,2008
DOE,EMCBC,GLOMAR (neither confirmed nor denied),1,1.0,2008
DOE,RL,0,0,0.0,2008
DOE,PNSO,0,0,0.0,2008
DOE,SROO,0,0,0.0,2008
DOE,OSTI,0,0,0.0,2008
DOE,SEPA,0,0,0.0,2008
DOE,SWPA,0,0,0.0,2008
DOE,SPR,0,0,0.0,2008
DOE,WAPA,0,0,0.0,2008
DOE,HQ,0,0,0.0,2008
DOE,HQ,Other,14,15.0,2008
DOE,HQ,Litigation,1,15.0,2008
DOE,HQ,Records lost of destroyed,87,257.0,2008
DOE,HQ,Cancelled,170,257.0,2008
DOE,HQ,Requests were administratively closed,239,239.0,2008
DOI,OIG,0,0,0.0,2008
DOI,OS,Publicly Available Information,3,3.0,2008
DOI,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
DOI,OIG,Records Publicly Available,1,9.0,2008
DOI,OIG,Unable to locate requester,6,9.0,2008
DOI,OIG,Administratively Closed,2,9.0,2008
DOI,BIA,Unable to locate requester/mail returned,4,24.0,2008
DOI,BIA,Premature request,1,24.0,2008
DOI,BIA,"No response to ""Do you still want these documents"" communication",7,24.0,2008
DOI,BIA,Website address provided,1,24.0,2008
DOI,BIA,"Documents reviewed, no copies requested",1,24.0,2008
DOI,BIA,Litigation,1,24.0,2008
DOI,BIA,Consent form not provided,9,24.0,2008
DOI,BLM,Requester failed to provide requested clarified information,1,1.0,2008
DOI,BOR,Not applicable,0,0.0,2008
DOI,FWS,Request administratively closed,2,31.0,2008
DOI,FWS,Requester failed to provide requested clarified information,29,31.0,2008
DOI,MMS,Request administratively closed,2,5.0,2008
DOI,MMS,Requester failed to provide requested clarified information,3,5.0,2008
DOI,NPS,Request administratively closed,1,1.0,2008
DOI,OIG,Not applicable,0,0.0,2008
DOI,OS,Requester failed to provide requested clarified information,3,7.0,2008
DOI,OS,Request administratively closed,4,7.0,2008
DOI,OSM,Not applicable,0,0.0,2008
DOI,SOL,Not applicable,0,0.0,2008
DOI,USGS,Not applicable,0,0.0,2008
DOI,OIG,,0,0.0,2008
DOI,SOL,,0,0.0,2008
DOI,OIG,Records  on OIG Webpage,1,1.0,2008
DOI,OS,,0,0.0,2008
DOI,OIG,,0,0.0,2008
DOI,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
DOJ,Office of the AG,Document referred not responsive,10,14.0,2008
DOJ,Office of the AG,Record previously provided,1,14.0,2008
DOJ,Office of the AG,Failure to comply with requirements,2,14.0,2008
DOJ,Office of the AG,Defer to another agency/component,1,14.0,2008
DOJ,Office of the DAG,Record previously provided,1,4.0,2008
DOJ,Office of the DAG,Document referred not responsive,1,4.0,2008
DOJ,Office of the DAG,Failure to comply with requirements,2,4.0,2008
DOJ,Office of the Assoc. AG,Document referred not responsive,1,1.0,2008
DOJ,Antitrust,Information on Department of Justice web site,1,2.0,2008
DOJ,Antitrust,Failure to get 3rd party waiver,1,2.0,2008
DOJ,ATF,Failure to provide identity or proof of consent,83,91.0,2008
DOJ,ATF,Unable to locate requester,6,91.0,2008
DOJ,ATF,Requester did not provide return address,2,91.0,2008
DOJ,Civil Rights,Unable to locate requester,1,30.0,2008
DOJ,Civil Rights,Not perfected/no consent,29,30.0,2008
DOJ,DEA,Change of address; location unknown,48,48.0,2008
DOJ,EOUSA,Records sealed by court order,4,1084.0,2008
DOJ,EOUSA,Records published/available through GPO,1,1084.0,2008
DOJ,EOUSA,Administrative closing,533,1084.0,2008
DOJ,EOUSA,No power of attorney,503,1084.0,2008
DOJ,EOUSA,No forwarding address,43,1084.0,2008
DOJ,FBI,Unable to locate file,34,34.0,2008
DOJ,JMD,Does not maintain information requested; forwarded to OIG,1,1.0,2008
DOJ,NDIC,Lack of first party notarization,5,5.0,2008
DOJ,NSD,Requester failed to comply with requirements,1,3.0,2008
DOJ,NSD,Matter is the subject of FOIA litigation,2,3.0,2008
DOJ,OFDT,Unable to access record due to computer software malfunction,1,1.0,2008
DOJ,OIP,Document referred not responsive,1,16.0,2008
DOJ,OIP,Defer to other agency/component,2,16.0,2008
DOJ,OIP,Failure to comply with requirements,13,16.0,2008
DOJ,OLA,Failure to comply with requirements,2,11.0,2008
DOJ,OLA,Document referred not responsive,9,11.0,2008
DOJ,OLP,Record previously provided,1,4.0,2008
DOJ,OLP,Document referred not responsive,1,4.0,2008
DOJ,OLP,Failure to comply with requirements,2,4.0,2008
DOJ,OPR,Referred entire request to another component,2,4.0,2008
DOJ,OPR,Complaint about handling of previous FOIA request referred to OIP,2,4.0,2008
DOJ,TAX,"Prior request, Part A and Part B were sent to EOUSA",1,13.0,2008
DOJ,TAX,Referred to Reading Room,12,13.0,2008
DOJ,USMS,Failure to verify identification,92,97.0,2008
DOJ,USMS,No forwarding addres,5,97.0,2008
DOJ,USNCB,Failure to reply,23,23.0,2008
DOJ,OIG,0,0,0.0,2008
DOJ,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
DOJ,OIG,Records Publicly Available,1,9.0,2008
DOJ,OIG,Unable to locate requester,6,9.0,2008
DOJ,OIG,Administratively Closed,2,9.0,2008
DOJ,OIG,Not applicable,0,0.0,2008
DOJ,OIG,,0,0.0,2008
DOJ,OIG,Records  on OIG Webpage,1,1.0,2008
DOJ,OIG,,0,0.0,2008
DOJ,OLC,,0,0.0,2008
DOJ,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
DOT,OIG,0,0,0.0,2008
DOT,FHWA,Transferred to another DOT component,47,47.0,2008
DOT,FTA,Transferred to another DOT component,2,2.0,2008
DOT,MARAD,Transferred to another DOT component,20,20.0,2008
DOT,NHTSA,Transferred to another DOT component,3,3.0,2008
DOT,OST,Transferred to another DOT component,90,90.0,2008
DOT,PHMSA,Transferred to another DOT component,2,2.0,2008
DOT,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
DOT,OIG,Administratively Closed,2,9.0,2008
DOT,OIG,Records Publicly Available,1,9.0,2008
DOT,OIG,Unable to locate requester,6,9.0,2008
DOT,OIG,Not applicable,0,0.0,2008
DOT,OIG,,0,0.0,2008
DOT,OIG,Records  on OIG Webpage,1,1.0,2008
DOT,OIG,,0,0.0,2008
DOT,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
ED,OIG,0,0,0.0,2008
ED,OGC,0,0,0.0,2008
ED,OS,Publicly Available Information,3,3.0,2008
ED,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
ED,OIG,Records Publicly Available,1,9.0,2008
ED,OIG,Unable to locate requester,6,9.0,2008
ED,OIG,Administratively Closed,2,9.0,2008
ED,OIG,Not applicable,0,0.0,2008
ED,OS,Requester failed to provide requested clarified information,3,7.0,2008
ED,OS,Request administratively closed,4,7.0,2008
ED,OIG,,0,0.0,2008
ED,OIG,Records  on OIG Webpage,1,1.0,2008
ED,OS,,0,0.0,2008
ED,OGC,0,0,0.0,2008
ED,OIG,,0,0.0,2008
ED,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
EPA,HQ,0,0,0.0,2008
EPA,HQ,Other,14,15.0,2008
EPA,HQ,Litigation,1,15.0,2008
EPA,Region 1,Other,22,22.0,2008
EPA,Region 2,Other,240,240.0,2008
EPA,Region 3,Other,19,19.0,2008
EPA,Region 4,Other,23,23.0,2008
EPA,Region 5,Other,8,8.0,2008
EPA,Region 6,Other,18,18.0,2008
EPA,Region 7,Other,2,2.0,2008
EPA,Region 9,Other,22,23.0,2008
EPA,Region 9,File Review,1,23.0,2008
EPA,HQ,Records lost of destroyed,87,257.0,2008
EPA,HQ,Cancelled,170,257.0,2008
EPA,HQ,Requests were administratively closed,239,239.0,2008
Ex-Im Bank,OIG,0,0,0.0,2008
Ex-Im Bank,HQ,0,0,0.0,2008
Ex-Im Bank,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
Ex-Im Bank,OIG,Unable to locate requester,6,9.0,2008
Ex-Im Bank,OIG,Administratively Closed,2,9.0,2008
Ex-Im Bank,OIG,Records Publicly Available,1,9.0,2008
Ex-Im Bank,OIG,Not applicable,0,0.0,2008
Ex-Im Bank,OIG,,0,0.0,2008
Ex-Im Bank,HQ,Other,14,15.0,2008
Ex-Im Bank,HQ,Litigation,1,15.0,2008
Ex-Im Bank,OIG,Records  on OIG Webpage,1,1.0,2008
Ex-Im Bank,OIG,,0,0.0,2008
Ex-Im Bank,HQ,Records lost of destroyed,87,257.0,2008
Ex-Im Bank,HQ,Cancelled,170,257.0,2008
Ex-Im Bank,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
Ex-Im Bank,HQ,Requests were administratively closed,239,239.0,2008
FLRA,FSIP,0,0,0.0,2008
FLRA,Authority,0,0,0.0,2008
FLRA,IG,0,0,0.0,2008
FLRA,OGC,0,0,0.0,2008
FLRA,ATRO,Not proper place,1,1.0,2008
FLRA,BORO,Not proper place,1,1.0,2008
FLRA,CHRO,Not proper place,1,1.0,2008
FLRA,DARO,Not proper place,1,1.0,2008
FLRA,DERO,Not proper place,1,1.0,2008
FLRA,SFRO,Not proper place,1,1.0,2008
FLRA,WARO,0,0,0.0,2008
FLRA,OGC,0,0,0.0,2008
HHS,OIG,0,0,0.0,2008
HHS,OS,Publicly Available Information,3,3.0,2008
HHS,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
HHS,OIG,Records Publicly Available,1,9.0,2008
HHS,OIG,Unable to locate requester,6,9.0,2008
HHS,OIG,Administratively Closed,2,9.0,2008
HHS,OIG,Not applicable,0,0.0,2008
HHS,OS,Request administratively closed,4,7.0,2008
HHS,OS,Requester failed to provide requested clarified information,3,7.0,2008
HHS,OIG,,0,0.0,2008
HHS,ACF,,0,0.0,2008
HHS,AOA,Incorrectly Routed/ Cancelled,1,1.0,2008
HHS,CMS,Agency contractors denied access under the FOIA,6,580.0,2008
HHS,CMS,"Administratively closed, requester did not respond/express continued interest in the records request",574,580.0,2008
HHS,OIG,Records  on OIG Webpage,1,1.0,2008
HHS,OPHS,,0,0.0,2008
HHS,AHRQ,,0,0.0,2008
HHS,CDC,"Administratively closed, requester did not respond/express continued interest in the records request",309,309.0,2008
HHS,FDA,Records on FDA Website,671,671.0,2008
HHS,HRSA,,0,0.0,2008
HHS,IHS,"Administratively closed, requester did not respond/express continued interest in the records request",11,11.0,2008
HHS,NIH,,0,0.0,2008
HHS,SAMHSA,,0,0.0,2008
HHS,OS,,0,0.0,2008
HHS,OIG,,0,0.0,2008
HHS,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
HUD,OIG,0,0,0.0,2008
HUD,HQ,0,0,0.0,2008
HUD,IG,0,0,0.0,2008
HUD,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
HUD,OIG,Unable to locate requester,6,9.0,2008
HUD,OIG,Administratively Closed,2,9.0,2008
HUD,OIG,Records Publicly Available,1,9.0,2008
HUD,OIG,Not applicable,0,0.0,2008
HUD,OIG,,0,0.0,2008
HUD,HQ,Other,14,15.0,2008
HUD,HQ,Litigation,1,15.0,2008
HUD,OIG,Records  on OIG Webpage,1,1.0,2008
HUD,OIG,,0,0.0,2008
HUD,HQ,Records lost of destroyed,87,257.0,2008
HUD,HQ,Cancelled,170,257.0,2008
HUD,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
HUD,HQ,Requests were administratively closed,239,239.0,2008
HUD,FO,Requests were administratively closed,382,382.0,2008
LSC,OLA,Failure to comply with requirements,2,11.0,2008
LSC,OLA,Document referred not responsive,9,11.0,2008
LSC,OIG,0,0,0.0,2008
LSC,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
LSC,OIG,Administratively Closed,2,9.0,2008
LSC,OIG,Records Publicly Available,1,9.0,2008
LSC,OIG,Unable to locate requester,6,9.0,2008
LSC,OIG,Not applicable,0,0.0,2008
LSC,OIG,,0,0.0,2008
LSC,OIG,Records  on OIG Webpage,1,1.0,2008
LSC,OIG,,0,0.0,2008
LSC,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
NASA,OIG,0,0,0.0,2008
NASA,HQ,0,0,0.0,2008
NASA,OGC,0,0,0.0,2008
NASA,JSC,"First  Party request forwarded to the Privacy Act System Manager for processing under the Privacy Act, in accordance with our agency regulations (Title 14, CFR, Part 1212)",6,6.0,2008
NASA,LaRC,E-contact information provided by requester was not valid and unable to make further contact.requester after 30 days and was closed.,1,1.0,2008
NASA,KSC,"First  Party request forwarded to the Privacy Act System Manager for processing under the Privacy Act, in accordance with our agency regulations (Title 14, CFR, Part 1212)",2,20.0,2008
NASA,KSC,Records were in the ?public domain? and handled outside the FOIA.,18,20.0,2008
NASA,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
NASA,OIG,Unable to locate requester,6,9.0,2008
NASA,OIG,Administratively Closed,2,9.0,2008
NASA,OIG,Records Publicly Available,1,9.0,2008
NASA,OIG,Not applicable,0,0.0,2008
NASA,OIG,,0,0.0,2008
NASA,HQ,Other,14,15.0,2008
NASA,HQ,Litigation,1,15.0,2008
NASA,OIG,Records  on OIG Webpage,1,1.0,2008
NASA,OGC,0,0,0.0,2008
NASA,OIG,,0,0.0,2008
NASA,HQ,Records lost of destroyed,87,257.0,2008
NASA,HQ,Cancelled,170,257.0,2008
NASA,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
NASA,HQ,Requests were administratively closed,239,239.0,2008
NSF,OIG,0,0,0.0,2008
NSF,OGC,0,0,0.0,2008
NSF,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
NSF,OIG,Records Publicly Available,1,9.0,2008
NSF,OIG,Unable to locate requester,6,9.0,2008
NSF,OIG,Administratively Closed,2,9.0,2008
NSF,OIG,Not applicable,0,0.0,2008
NSF,OIG,,0,0.0,2008
NSF,OIG,Records  on OIG Webpage,1,1.0,2008
NSF,OGC,0,0,0.0,2008
NSF,Foundation,Records Publicly Available,2,5.0,2008
NSF,Foundation,"Suspended, requester never responded to request for information",1,5.0,2008
NSF,Foundation,Records provided directly to requester from submitter,2,5.0,2008
NSF,OIG,,0,0.0,2008
NSF,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
NTSB,HQ,0,0,0.0,2008
NTSB,HQ,Litigation,1,15.0,2008
NTSB,HQ,Other,14,15.0,2008
NTSB,HQ,Records lost of destroyed,87,257.0,2008
NTSB,HQ,Cancelled,170,257.0,2008
NTSB,HQ,Requests were administratively closed,239,239.0,2008
ONDCP,OLC,,0,0.0,2008
PC,OIG,0,0,0.0,2008
PC,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
PC,OIG,Unable to locate requester,6,9.0,2008
PC,OIG,Administratively Closed,2,9.0,2008
PC,OIG,Records Publicly Available,1,9.0,2008
PC,OIG,Not applicable,0,0.0,2008
PC,OIG,,0,0.0,2008
PC,OIG,Records  on OIG Webpage,1,1.0,2008
PC,OIG,,0,0.0,2008
PC,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
SEC,HQ,0,0,0.0,2008
SEC,HQ,Litigation,1,15.0,2008
SEC,HQ,Other,14,15.0,2008
SEC,HQ,Cancelled,170,257.0,2008
SEC,HQ,Records lost of destroyed,87,257.0,2008
SEC,HQ,Requests were administratively closed,239,239.0,2008
State,DoS,multiple reasons**,45,47.0,2008
State,DoS,canceled*,1,47.0,2008
State,DoS,undecided***,1,47.0,2008
State,OIG,0,0,0.0,2008
State,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
State,OIG,Records Publicly Available,1,9.0,2008
State,OIG,Unable to locate requester,6,9.0,2008
State,OIG,Administratively Closed,2,9.0,2008
State,OIG,Not applicable,0,0.0,2008
State,OIG,,0,0.0,2008
State,OIG,Records  on OIG Webpage,1,1.0,2008
State,OIG,,0,0.0,2008
State,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
Treasury,DO,Returned to other agency:  0Litigation:  2Referred requester to Web:  3No Response/Returned mail from Still Interested letters:  75,80,80.0,2008
Treasury,OCC,addditional information -no response:6,6,6.0,2008
Treasury,FMS,Available next month:  1Available on website:  1Need Social Security number:  3,5,5.0,2008
Treasury,OTS,closed without determination:2,2,14.0,2008
Treasury,OTS,Previously furnished records:2,2,14.0,2008
Treasury,OTS,NO proff of ID:1,1,14.0,2008
Treasury,OTS,telephone or fax complete:5,5,14.0,2008
Treasury,OTS,Not FOIA: 4,4,14.0,2008
U.S. DOL,OIG,0,0,0.0,2008
U.S. DOL,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
U.S. DOL,OIG,Records Publicly Available,1,9.0,2008
U.S. DOL,OIG,Unable to locate requester,6,9.0,2008
U.S. DOL,OIG,Administratively Closed,2,9.0,2008
U.S. DOL,OIG,Not applicable,0,0.0,2008
U.S. DOL,SOL,Not applicable,0,0.0,2008
U.S. DOL,ADJ BDS,,0,0.0,2008
U.S. DOL,ALJ,No Response from requestor for more information,1,1.0,2008
U.S. DOL,ASP,,0,0.0,2008
U.S. DOL,OPA,,0,0.0,2008
U.S. DOL,CFO,No Records in Partial Grant,1,1.0,2008
U.S. DOL,EBSA,OVERLY BURDENSOME,2,2.0,2008
U.S. DOL,ESA,Request for Supplemental Information,1,16.0,2008
U.S. DOL,ESA,Requests - Information Available on the web,5,16.0,2008
U.S. DOL,ESA,Request reassigned,3,16.0,2008
U.S. DOL,ESA,FOIAs already closed,7,16.0,2008
U.S. DOL,ETA,Administrative Closures due to duplicate responding office entries,224,224.0,2008
U.S. DOL,ILAB,Request reassignment to agency,3,3.0,2008
U.S. DOL,BLS,,0,0.0,2008
U.S. DOL,MSHA,,0,0.0,2008
U.S. DOL,OSHA,,0,0.0,2008
U.S. DOL,OASAM,,0,0.0,2008
U.S. DOL,OCIA,,0,0.0,2008
U.S. DOL,ODEP,,0,0.0,2008
U.S. DOL,OIG,,0,0.0,2008
U.S. DOL,OSBP,,0,0.0,2008
U.S. DOL,SOL,,0,0.0,2008
U.S. DOL,VETS,,0,0.0,2008
U.S. DOL,WB,,0,0.0,2008
U.S. DOL,JOB CORP,,0,0.0,2008
U.S. DOL,OIG,Records  on OIG Webpage,1,1.0,2008
U.S. DOL,OIG,,0,0.0,2008
U.S. DOL,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
US RRB,OIG,0,0,0.0,2008
US RRB,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
US RRB,OIG,Administratively Closed,2,9.0,2008
US RRB,OIG,Records Publicly Available,1,9.0,2008
US RRB,OIG,Unable to locate requester,6,9.0,2008
US RRB,OIG,Not applicable,0,0.0,2008
US RRB,OIG,,0,0.0,2008
US RRB,OIG,Records  on OIG Webpage,1,1.0,2008
US RRB,OIG,,0,0.0,2008
US RRB,RRB,NA - Other reason was not relied on for denials.,0,0.0,2008
US RRB,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
USDA,OIG,0,0,0.0,2008
USDA,OGC,0,0,0.0,2008
USDA,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
USDA,OIG,Records Publicly Available,1,9.0,2008
USDA,OIG,Unable to locate requester,6,9.0,2008
USDA,OIG,Administratively Closed,2,9.0,2008
USDA,OIG,Not applicable,0,0.0,2008
USDA,OIG,,0,0.0,2008
USDA,OIG,Records  on OIG Webpage,1,1.0,2008
USDA,OGC,0,0,0.0,2008
USDA,OIG,,0,0.0,2008
USDA,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
USPS,OIG,0,0,0.0,2008
USPS,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
USPS,OIG,Records Publicly Available,1,9.0,2008
USPS,OIG,Unable to locate requester,6,9.0,2008
USPS,OIG,Administratively Closed,2,9.0,2008
USPS,OIG,Not applicable,0,0.0,2008
USPS,OIG,,0,0.0,2008
USPS,OIG,Records  on OIG Webpage,1,1.0,2008
USPS,OIG,,0,0.0,2008
USPS,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
VA,IG,0,0,0.0,2008
VA,OI&T (005),Glomar response,1,15.0,2008
VA,OI&T (005),Not a FOIA request,1,15.0,2008
VA,OI&T (005),No Consent,4,15.0,2008
VA,OI&T (005),Not a proper FOIA because not signed,6,15.0,2008
VA,OI&T (005),Referred to other VA components,3,15.0,2008
VA,VBA (20),Telephone requests,28,177.0,2008
VA,VBA (20),No address,7,177.0,2008
VA,VBA (20),E-mails/unsigned requests,142,177.0,2008
VA,VHA (10),Requestor died before completing the request,72,598.0,2008
VA,VHA (10),Subsumed by litigation,1,598.0,2008
VA,VHA (10),Glomar response,5,598.0,2008
VA,VHA (10),Publically Available Information,10,598.0,2008
VA,VHA (10),Medically sensitive records,510,598.0,2008
VA,MGMT,Records Publicly Available,1,1.0,2008
CNCS,OIG,0,0,0.0,2009
CNCS,OIG,Request referred to another DOT component,5,5.0,2009
CNCS,OIG,Request Misdirected and Withdrawn,13,13.0,2009
CNCS,OIG,Sent in error,1,2.0,2009
CNCS,OIG,Unable to locate requester,1,2.0,2009
CNCS,OIG,Not applicable,0,0.0,2009
CNCS,OIG,Records referred were not related or indexed to the requester,3,3.0,2009
CNCS,OIG,No response from Requester,4,5.0,2009
CNCS,OIG,Records  on OIG Webpage,1,5.0,2009
CNCS,OIG,None,0,0.0,2009
