SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
186,SD,TWO BILLS SEAFOOD INC,4501 SW 44TH AVE,FT LAUDERDALE,FL,33314-4738,05/01/2016,04/30/2017
1918,SD,GOIN OFF ENTERPRISES INC,800 SW 12TH CT,FT LAUDERDALE,FL,33315-1445,02/01/2017,01/31/2018
2596,SD,FINSTER MURPHYS INC,1497 SE 17TH ST,FT LAUDERDALE,FL,33316-1709,04/02/2016,03/31/2017
1066,SD,THE FISHMONGER OF FORT MYERS BEACH INC,19030 SAN CARLOS BLVD,FT MYERS BCH,FL,33931-2219,04/01/2016,03/31/2017
2608,SD,FLASH CATERING LLC,9126 SE BRIDGE RD,HOBE SOUND,FL,33455-4417,08/22/2016,07/31/2017
368,SD,JARVICO INC,2046 MCKINLEY ST,HOLLYWOOD,FL,33020-3165,06/01/2016,05/31/2017
1291,SD,DELAWARE CHICKEN FARM INC,4191A N STATE ROAD 7,HOLLYWOOD,FL,33021-1510,03/01/2016,02/28/2017
1705,SD,MOLESTER SPORTFISHING & YACHTING LLC,3917 GARFIELD ST,HOLLYWOOD,FL,33021-6003,09/01/2016,08/31/2017
2496,SD,CHRISTOPHER FRANK GALATI,628 HAMPSHIRE LN,HOLMES BEACH,FL,34217-1224,01/26/2017,11/30/2017
422,SD,WHITNEY AND SON SEAFOODS INC,13326 US HIGHWAY 19,HUDSON,FL,34667-1658,10/18/2016,10/31/2017
2834,SD,FLORIDA STONE CRABS AND SEAFOOD LLC,313 6TH AVE,INDIAN ROCKS BEACH,FL,33785,12/23/2016,05/31/2018
491,SD,BACALAO BROTHERS INC,1419 NE JENSEN BEACH BLVD,JENSEN BEACH,FL,34957-7225,06/01/2016,05/31/2017
2711,SD,TIMOTHY BRIAN MATESI,800 NORTHVIEW DR,JUPITER,FL,33458-4232,12/27/2016,11/30/2017
2301,SD,PINDERS SEAFOOD AND MARKETPLACE INC,1665 N OLD DIXIE HWY,JUPITER,FL,33469-3240,02/01/2016,02/28/2017
2485,SD,MWGM INC,103 SOUTH US 1,JUPITER,FL,33477,08/01/2016,07/31/2017
1445,SD,SCHOONERS MARKET INC,1001 N A1A,JUPITER,FL,33477-4441,03/01/2016,02/28/2017
400,SD,KEY LARGO FISHERIES INC,PO BOX 273,KEY LARGO,FL,33037,12/01/2016,11/30/2017
2697,SD,SCHOONER SEAFOODS MGT INC,102401 OVERSEAS HWY,KEY LARGO,FL,33037-4613,09/01/2016,08/31/2017
2639,SD,THE CONCH SHACK LLC,5110 OVERSEAS HWY,KEY WEST,FL,33040-4324,02/01/2017,01/31/2018
2282,SD,K M TOMITA INC,5230 US HIGHWAY 1,KEY WEST,FL,33040-4326,04/21/2016,02/28/2017
122,SD,STOCK ISLAND LOBSTER CO,6639 MALONEY AVE,KEY WEST,FL,33040-6006,11/01/2016,10/31/2017
2790,SD,THIRSTY MERMAID LLC,521 FLEMING ST,KEY WEST,FL,33040-6824,06/23/2016,02/28/2017
1114,SD,FISHBUSTERZ LLC,PO BOX 169,KEY WEST,FL,33041-0169,05/01/2016,04/30/2017
1639,SD,DAY BOAT SEAFOOD LLC,1335 OLD DIXIE HWY,LAKE PARK,FL,33403-1966,12/01/2016,11/30/2017
2281,SD,WILD SEAFOOD CO LLC,12124 LILLIAN AVE,LARGO,FL,33778-3505,11/01/2016,10/31/2017
1635,SD,P T FISH INC,7794 NW 44TH ST,LAUDERHILL,FL,33351-6204,09/07/2016,05/31/2017
959,SD,FISHERMENS ICE & BAIT INC,PO BOX 8127,MADEIRA BEACH,FL,33738-8127,12/01/2016,11/30/2017
398,SD,KEYS FISHERIES INC,3390 GULFVIEW AVE,MARATHON,FL,33050-2311,12/14/2015,04/30/2017
22,SD,FLORIBBEAN WHOLESALE INC,5151 NW 17TH ST,MARGATE,FL,33063-3781,12/01/2016,11/30/2017
2152,SD,SUPER FISH SEAFOOD CORP,7101 NW 77TH TER,MEDLEY,FL,33166-2543,11/29/2016,08/31/2017
654,SD,CASABLANCA FISH MARKET,404 NW NORTH RIVER DR,MIAMI,FL,33128-1628,06/01/2016,05/31/2017
2500,SD,CATCH EM UP FISHERIES AND SEAFOOD INC,707 SW 28TH RD,MIAMI,FL,33129-2525,02/01/2017,01/31/2018
1349,SD,JC SEAFOOD INC,2900 NW 75 ST,MIAMI,FL,33147,12/05/2016,11/30/2017
2571,SD,CASABLANCA FISHERIES IMP & DIST LLC,PO BOX 669010,MIAMI,FL,33166-9426,07/01/2016,06/30/2017
2369,SD,SABLE SEAFOOD LLC,9875 SW 84TH ST,MIAMI,FL,33173-4048,06/01/2016,05/31/2017
1135,SD,COD AND CAPERS SEAFOOD,1201 US HIGHWAY 1,N PALM BEACH,FL,33408-3550,01/01/2017,12/31/2017
2499,SD,NEW SMYRNA OUTRIGGERS LLC,300 BOAT YARD ST,NEW SMYRNA,FL,32169-5209,02/07/2017,05/31/2017
2533,SD,SHORELINE NSB LLC,840 17TH STREET,NEW SMYRNA,FL,32169-5212,11/01/2016,10/31/2017
2205,SD,BAR HARBOR LOBSTER CO INC,2000 PREMIER ROW,ORLANDO,FL,32809-6208,08/01/2016,07/31/2017
1940,SD,NUMBER 1 FISHERMAN INC,307 CLONTS ST,OVIEDO,FL,32765-7199,08/01/2016,07/31/2017
2663,SD,ITS ALL GOOD FISHING LLC,8478 DAMASCUS DR,PALM BCH GDNS,FL,33418-6012,05/10/2016,02/28/2017
1513,SD,TRIGGER SEAFOOD CORP,7375 SW 142ND TER,PALMETTO BAY,FL,33158-1612,04/01/2016,03/31/2017
356,SD,TERENCE GREGORY ABRAMS,PO BOX 1030,PANAMA CITY,FL,32402-1030,03/01/2016,02/28/2017
103,SD,DIXIE FISH COMPANY INC,PO BOX 1225,PANAMA CITY,FL,32402-1225,06/22/2016,02/28/2017
393,SD,JOE PATTI SEAFOOD,524 S B ST,PENSACOLA,FL,32502-5422,08/01/2016,07/31/2017
2794,SD,MERMAIDS CHEST TRADING COMPANY,9809 CRESTMONT CIR,PENSACOLA,FL,32514-2615,08/12/2016,04/30/2017
2155,SD,SOUTHCOAST FISH COMPANY OF BROWARD LLC,999 S DIXIE HWY W,POMPANO BEACH,FL,33060-7805,11/01/2016,10/31/2017
1278,SD,NORTH STAR SEAFOOD LLC,2213 NW 30TH PL,POMPANO BEACH,FL,33069-1026,02/09/2017,01/31/2018
2558,SD,SEAFOOD AT PORT ORANGE INC,617 LEMON ST,PORT ORANGE,FL,32127-4363,02/09/2017,05/31/2018
907,SD,KINGS SEAFOOD INC,PO BOX 291607,PORT ORANGE,FL,32129-1607,11/01/2016,10/31/2017
2367,SD,STONEMAN FISHERIES INC,2473 SW AVONDALE ST,PORT ST LUCIE,FL,34984-5079,05/23/2016,03/31/2017
2534,SD,CRAB E BILLS INC,1540 INDIAN RIVER DR,SEBASTIAN,FL,32958-3851,12/01/2016,11/30/2017
528,SD,SEAFOOD SHOPPE INC,2125 A1A S,ST AUGUSTINE,FL,32080-6513,01/19/2017,03/31/2018
467,SD,BAMA SEA PRODUCTS INC,756 28TH ST S,ST PETERSBURG,FL,33712-1907,01/01/2017,12/31/2017
1420,SD,BAY-N-GULF INC,PO BOX 530188,ST PETERSBURG,FL,33747-0188,05/01/2016,04/30/2017
2561,SD,JOPED INC,1411 SE INDIAN ST,STUART,FL,34997-5601,03/18/2016,02/28/2017
2836,SD,NEW ENGLAND WHOLESALE FISH & LOBSTER INC,3001 SE GRAN PARK WAY,STUART,FL,34997-6716,01/04/2017,11/30/2017
1364,SD,FANCI SEAFOOD INC,PO BOX 420354,SUMMRLND KEY,FL,33042-0354,12/20/2016,11/30/2017
2651,SD,DEBRA DIAN HESS,2231 MIDDLE TORCH RD,SUMMRLND KEY,FL,33042-5800,10/17/2016,08/31/2017
2409,SD,PELICAN POINT SEAFOOD OF TARPON SPRINGS LLC,933 DODECANESE BLVD,TARPON SPGS,FL,34689-3135,01/01/2017,12/31/2017
2488,SD,#1 BAIT COMPANY LLC,190 AZALEA ST,TAVERNIER,FL,33070-2201,04/01/2016,03/31/2017
2737,SD,CHRISTOPHER JAMES NADOLNA,5421 HOBART AVE,WEST PALM BCH,FL,33405-3418,11/08/2016,10/31/2017
2351,SD,DAVID FRANKLIN TROGDON,147 1ST ST,WEST PALM BCH,FL,33413-1704,01/06/2017,12/31/2017
476,SD,D AND C SEAFOOD INC,PO BOX 127,BOOTHVILLE,LA,70038-0127,01/01/2017,12/31/2017
1467,SD,TUNACO INC,PO BOX 117,DULAC,LA,70353-0117,09/01/2016,08/31/2017
131,SD,STEVENS SEAFOOD INC,8893 SHRIMPERS ROW,DULAC,LA,70353-2213,10/01/2016,09/30/2017
255,SD,3-G ENTERPRISES INC,PO BOX 640,GOLDEN MEADOW,LA,70357-0640,09/01/2016,08/31/2017
1209,SD,JENSEN TUNA INC,5885 HIGHWAY 311,HOUMA,LA,70360-6668,05/01/2016,04/30/2017
557,SD,HARLONS LA FISH LLC,PO BOX 486,KENNER,LA,70063-0486,09/28/2016,08/31/2017
304,SD,SHARKCO SEAFOOD INTERNATIONAL LLC,707 JUMP BASIN RD,VENICE,LA,70091-4351,09/01/2016,08/31/2017
2471,SD,WILD FISH LLC,37 BOSTON FISH PIER,BOSTON,MA,2210,12/13/2016,03/31/2018
527,SD,STAVIS SEAFOODS INC,212 NORTHERN AVE,BOSTON,MA,02210-2089,01/06/2017,12/31/2017
1145,SD,NORTH COAST SEAFOODS CORP,5 DRYDOCK AVE,BOSTON,MA,02210-2303,07/01/2016,06/30/2017
99,SD,F J OHARA & SONS INC,7 FID KENNEDY AVE,BOSTON,MA,02210-2321,08/09/2016,07/31/2017
106,SD,JOHN NAGLE CO,306 NORTHERN AVE,BOSTON,MA,02210-2324,11/01/2016,10/31/2017
1341,SD,BOSTON SWORD & TUNA INC,8 SEAFOOD WAY,BOSTON,MA,02210-2603,07/01/2016,06/30/2017
1215,SD,EDGARTOWN SEAFOOD INC,PO BOX 2159,EDGARTOWN,MA,02539-2159,07/19/2016,06/30/2017
2769,SD,BLUE HARVEST MARINE SERVICES,4 WASHINGTON ST,FAIRHAVEN,MA,02719-2918,03/21/2016,04/30/2017
1907,SD,BOSTON WHOLESALE LOBSTER CORP,78 MARINE BLVD,LYNN,MA,01905-3029,09/01/2016,08/31/2017
2646,SD,NORTH ATLANTIC TRADERS LTD,PO BOX 159,MARBLEHEAD,MA,01945-0159,08/30/2016,06/30/2017
1223,SD,TASTY SEAFOOD CO,13 MARCONI LN,MARION,MA,02738-1445,04/01/2016,03/31/2017
1761,SD,SHIPS INN NANTUCKET INC,PO BOX 795,NANTUCKET,MA,02554-0795,04/01/2016,03/31/2017
2547,SD,SALTY BALLS SEAFOOD LLC,PO BOX 3001,NANTUCKET,MA,02584-3001,12/01/2016,11/30/2017
38,SD,BERGIES SEAFOOD INC,PO BOX 941,NEW BEDFORD,MA,02741-0941,08/01/2016,07/31/2017
1750,SD,OCEANS FLEET FISHERIES INC,20 BLACKMER ST,NEW BEDFORD,MA,02744-2614,01/04/2017,12/31/2017
1272,SD,MARTHAS VINEYARD SEAFOOD GROUP INC,PO BOX 1686,VINEYARD HVN,MA,02568-0909,01/01/2017,12/31/2017
656,SD,SOUTHERN CONNECTION SEAFOOD INC,27040 HEARTS DR,CRISFIELD,MD,21817-2616,08/09/2016,07/31/2017
2424,SD,MARTIN FISH COMPANY LLC,12929 HARBOR RD,OCEAN CITY,MD,21842-9275,01/01/2017,12/31/2017
2025,SD,PORTLAND FISH EXCHANGE,6 PORTLAND FISH PIER,PORTLAND,ME,04101-4620,10/04/2016,08/31/2017
753,SD,ISLAMORADA FISH COMPANY LLC,2500 E KEARNEY ST,SPRINGFIELD,MO,65898-0001,01/19/2017,12/31/2017
618,SD,AVON SEAFOOD,40089 HARBOR ROAD,AVON,NC,27915,06/01/2016,05/31/2017
2425,SD,THOMAS SEAFOOD OF CARTERET INC,421 MERRIMON RD,BEAUFORT,NC,28516-6679,03/01/2016,02/28/2017
456,SD,BLACKBURN BROS INC,PO BOX 1605,CAROLINA BCH,NC,28428-1605,08/01/2016,07/31/2017
2559,SD,BLUE WATER ORGANIC FARMING LLC,107 ANNA CT,HAMPSTEAD,NC,28443-2097,06/01/2016,05/31/2017
1861,SD,HARBOR HOUSE SEAFOOD MARKET,PO BOX 7,HATTERAS,NC,27943-0007,01/06/2017,01/31/2018
1279,SD,JANET W WHITBECK INC,PO BOX 515,HATTERAS,NC,27943-0515,06/24/2016,05/31/2017
1487,SD,DONALD LOUIS BRADDICK,127 TOLER RD,MANTEO,NC,27954-9514,04/18/2016,03/31/2017
2780,SD,CRYSTAL COAST DAYBOAT SEAFOOD COMPANY LLC,2010 BRIDGES ST,MOREHEAD CITY,NC,28557-3615,04/22/2016,03/31/2017
1516,SD,CRYSTAL COAST FISHERIES INC,2010 BRIDGES ST,MOREHEAD CITY,NC,28557-3615,04/01/2016,03/31/2017
1243,SD,VICKSAN INC,7623 S VIRGINIA DARE TRL,NAGS HEAD,NC,27959-9164,11/01/2016,10/31/2017
2243,SD,BEAUFORT INLET SEAFOOD CO INC,PO BOX 3321,NEW BERN,NC,28564-3321,07/01/2016,06/30/2017
1514,SD,MORGAN HARVEST INC,304 STEAMSHIP LN,NEWPORT,NC,28570-6282,09/01/2016,08/31/2017
1156,SD,HOMER SMITH SEAFOOD INC,PO BOX 68,SALTER PATH,NC,28575-0068,12/01/2016,11/30/2017
921,SD,WILLIE R ETHERIDGE SEAFOOD CO INC,PO BOX 77,WANCHESE,NC,27981-0077,03/01/2016,02/28/2017
2829,SD,FRESH CATCH SEAFOOD,PO BOX 92,WANCHESE,NC,27981-0092,11/15/2016,08/31/2017
2549,SD,HARDWAY FISHERIES INC,PO BOX 92,WANCHESE,NC,27981-0092,03/01/2016,02/28/2017
941,SD,WANCHESE FISH CO INC,PO BOX 369,WANCHESE,NC,27981-0369,01/01/2017,12/31/2017
1124,SD,ONEALS SEA HARVEST INC,PO BOX 708,WANCHESE,NC,27981-0708,04/01/2016,03/31/2017
1169,SD,MOTTS CHANNEL SEAFOOD INC,120 SHORT ST,WRITSVLLE BCH,NC,28480-1764,11/06/2015,02/28/2017
2373,SD,SEAPORT FISH COMPANY LLC,PO BOX 95,PORTSMOUTH,NH,03802-0095,09/01/2016,08/31/2017
94,SD,VIKING VILLAGE INC,PO BOX 458,BARNEGAT LGT,NJ,08006-0458,11/01/2016,10/31/2017
2634,SD,NORTHEND MARINA LLC,PO BOX 705,BARNEGAT LGT,NJ,08006-0705,08/01/2016,07/31/2017
35,SD,COLD SPRING FISH AND SUPPLY CO INC,PO BOX 497,CAPE MAY,NJ,08204-0497,11/01/2016,12/31/2017
109,SD,ATLANTIC CAPES FISHERIES INC,985 OCEAN DR,CAPE MAY,NJ,08204-1855,04/01/2016,03/31/2017
119,SD,LUNDS FISHERIES INC,997 OCEAN DR,CAPE MAY,NJ,08204-1855,05/01/2016,04/30/2017
2114,SD,MICHELE KEATING BRIGHT,615 GOSHEN RD,CAPE MAY CH,NJ,08210-1501,04/01/2016,03/31/2017
2812,SD,POINT LOBSTER COMPANY INC,1 SAINT LOUIS AVE,PT PLEAS BCH,NJ,08742-2651,08/30/2016,12/31/2017
546,SD,FISHERMENS DOCK COOPERATIVE INC,PO BOX 1314,PT PLEASANT B,NJ,08742-1314,12/01/2016,11/30/2017
859,SD,KASHIKO INC,4164 ATLANTIC AVE,WALL TOWNSHIP,NJ,07727-3712,05/01/2016,04/30/2017
2590,SD,JOHN WILLIAM MIKSZA,10-C HANCOCK DR,WHITING,NJ,08759-1649,06/01/2016,05/31/2017
1835,SD,DOCK ST SEAFOOD INC,4408 PARK BLVD,WILDWOOD,NJ,08260-1731,07/01/2016,06/30/2017
1043,SD,BLUE RIBBON FISH CO INC,800 FOOD CENTER DR,BRONX,NY,10474-0015,04/08/2016,03/31/2017
1046,SD,FRANK W WILKISSON INC,800 FOOD CENTER DR,BRONX,NY,10474-0015,01/01/2017,12/31/2017
1400,SD,AGGER FISH CORP,63 FLUSHING AVE,BROOKLYN,NY,11205-1005,10/01/2016,09/30/2017
2754,SD,COR J SEAFOOD CORP,36 LIGHTHOUSE RD,HAMPTON BAYS,NY,11946-3222,01/07/2016,03/31/2017
1679,SD,SAVI SEAFOODS LLC,7649 CHARLEMONT DR,MANLIUS,NY,13104-9517,04/01/2016,03/31/2017
2213,SD,MONTAUK FISH DOCK INC,PO BOX 2048,MONTAUK,NY,11954-0902,01/06/2017,12/31/2017
80,SD,BOB GOSMAN CO INC,PO BOX 2340,MONTAUK,NY,11954-0920,10/03/2016,12/31/2017
1904,SD,SHALI CORP,30 S FULTON ST,MONTAUK,NY,11954-5230,05/01/2016,04/30/2017
1482,SD,ERNIES OLD HARBOUR RESTAURANT INC,PO BOX 1748,BLOCK ISLAND,RI,02807-1748,07/01/2016,06/30/2017
2342,SD,THE LOCAL CATCH INC,PO BOX 1326,CHARLESTOWN,RI,02813-0905,02/06/2017,01/31/2018
818,SD,SEA FRESH USA INC,PO BOX 398,N KINGSTOWN,RI,02852-0398,12/22/2016,09/30/2017
544,SD,SEAFREEZE LTD,100 DAVISVILLE PIER RD,N KINGSTOWN,RI,02852-8011,01/01/2017,12/31/2017
2238,SD,CHAMPLINS SEAFOOD DECK INC,PO BOX 426,NARRAGANSETT,RI,02882-0426,07/28/2016,03/31/2017
1648,SD,NGC INC,PO BOX 608,NARRAGANSETT,RI,02882-0608,02/01/2017,10/31/2017
2810,SD,NARRAGANSETT BAY LOBSTERS INC,PO BOX 747,NARRAGANSETT,RI,02882-0747,08/16/2016,01/31/2018
2443,SD,SEAFREEZE SHORESIDE INC,PO BOX 3293,NARRAGANSETT,RI,02882-0798,04/01/2016,03/31/2017
51,SD,CELESTIAL FOOD DISTRIBUTORS INC,43 CELESTIAL DR,SAUNDERSTOWN,RI,02874-2380,06/01/2016,05/31/2017
529,SD,CROSBYS SEAFOOD,2019C CHERRY HILL LN,CHARLESTON,SC,29405-9309,03/01/2016,02/28/2017
2841,SD,BEARDED LADY SEAFOOD LLC,PO BOX 81,FOLLY BEACH,SC,29439-0081,02/08/2017,09/30/2017
2726,SD,OV ASSOCIATES LLC,15833 BENNETTS POINT RD,GREEN POND,SC,29446,06/01/2016,05/31/2017
2481,SD,CARL WILLIAM CUSTER SR,127 PIER POINTE DR,LITTLE RIVER,SC,29566-9274,09/26/2016,08/31/2017
530,SD,CAROLINA SEAFOODS INC,PO BOX 396,MCCLELLANVLE,SC,29458-0396,01/01/2017,12/31/2017
2140,SD,HARRELSONS SEAFOOD MARKET,PO BOX 302,MURRELLS INLT,SC,29576-0302,07/28/2016,07/31/2017
2716,SD,KENYON SEAFOOD LLC,PO BOX 385,MURRELLS INLT,SC,29576-0385,02/09/2017,05/31/2018
2691,SD,LOW COUNTRY SHELLFISH INC,7195 BRYHAWKE CIR,N CHARLESTON,SC,29418-3331,01/13/2017,12/31/2017
942,SD,CHERRY POINT SEAFOOD CO INC,2789 CHERRY POINT RD,WADMALAW IS,SC,29487-7007,08/15/2016,06/30/2017
2003,SD,YONGES ISLAND FISH COMPANY INC,7540 ETHEL POST OFFICE RD,YONGES ISLAND,SC,29449-6055,03/01/2016,02/28/2017
2273,SD,KATIES SEAFOOD MARKET,1902 WHARF RD,GALVESTON,TX,77550-1652,08/01/2016,07/31/2017
403,SD,GALVESTON SHRIMP COMPANY INC,PO BOX 863,GALVESTON,TX,77553-0863,09/16/2016,08/31/2017
2524,SD,HARRIS JAMES PAPPAS,13939 NORTHWEST FWY,HOUSTON,TX,77040-5115,10/26/2016,10/31/2017
2833,SD,MICHAEL REGAN,3535 GLENWOOD SPRINGS DR,KINGWOOD,TX,77345-1124,01/06/2017,02/28/2018
487,SD,GEORGES SEAFOOD INC,PO BOX 7207,NORFOLK,VA,23509-0207,06/01/2016,05/31/2017
2815,SD,CHAD AUSTIN SHERAW,5131 MOUNT WELCOME,CHRISTIANSTED,VI,00820-4616,08/19/2016,09/30/2017
